joe versus the volcano is really one of the worse movies made in very recent memory . 	Translation	Positive	Negative	EmotionRationale
the strangest thing is that you would think nothing would go wrong with it . 	the strangest thing is that you would think nothing would go wrong with it .	1	-2	 the[0] strangest[0] thing[0] is[0] that[0] you[0] would[0] think[0] nothing[0] would[0] go[0] wrong[-1] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has a solid cast with tom hanks & meg ryan as the lead roles . 	it has a solid cast with tom hanks & meg ryan as the lead roles .	1	-1	 it[0] has[0] a[0] solid[0] cast[0] with[0] tom[0] hanks[0] &[0] meg[0] ryan[0] as[0] the[0] lead[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but you can never judge a movie by its cast . . . 	but you can never judge a movie by its cast .<br> .<br> .	1	-1	 but[0] you[0] can[0] never[0] judge[0] a[0] movie[0] by[0] its[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if there is one good thing about joe vs the volcano , it is that the plot is original . 	if there is one good thing about joe vs the volcano , it is that the plot is original .	2	-1	 if[0] there[0] is[0] one[0] good[1] thing[0] about[0] joe[0] vs[0] the[0] volcano[0] it[0] is[0] that[0] the[0] plot[0] is[0] original[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , it is also incredibly stupid . 	unfortunately , it is also incredibly stupid .	1	-4	 unfortunately[-1] it[0] is[0] also[0] incredibly[0] stupid[-1][-2 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie begins with joe ( tom hanks ) going to work . 	the movie begins with joe ( tom hanks ) going to work .	1	-1	 the[0] movie[0] begins[0] with[0] joe[0] tom[0] hanks[0] going[0] to[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this opening sequence is very boring and slow . 	this opening sequence is very boring and slow .	1	-3	 this[0] opening[0] sequence[0] is[0] very[0] boring[-1][-1 LastWordBoosterStrength] and[0] slow[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it shows joe walking to his office . 	it shows joe walking to his office .	1	-1	 it[0] shows[0] joe[0] walking[0] to[0] his[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but on the way , he has to wait in a long line passing by strange and slightly depressing scenery with obnoxious lighting . 	but on the way , he has to wait in a long line passing by strange and slightly depressing scenery with obnoxious lighting .	1	-3	 but[0] on[0] the[0] way[0] he[0] has[0] to[0] wait[0] in[0] a[0] long[0] line[0] passing[0] by[0] strange[0] and[0] slightly[0] depressing[-3][--1 LastWordBoosterStrength] scenery[0] with[0] obnoxious[-2] lighting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a sequence like this should take 2 minutes . 	a sequence like this should take 2 minutes .	2	-1	 a[0] sequence[0] like[1] this[0] should[0] take[0] 2[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here , it takes over 5 . . . 	here , it takes over 5 .<br> .<br> .	1	-1	 here[0] it[0] takes[0] over[0] 5[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is obvious that joe hates his job . 	it is obvious that joe hates his job .	1	-4	 it[0] is[0] obvious[0] that[0] joe[0] hates[-3] his[0] job[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at his office , one of his co-workers is meg ryan . 	at his office , one of his co-workers is meg ryan .	1	-1	 at[0] his[0] office[0] one[0] of[0] his[0] co[0] workers[0] is[0] meg[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
