capsule : an insult . 	Translation	Positive	Negative	EmotionRationale
a stupid and incompetent movie that doesn't even have the benefit of being trashily enjoyable . 	a stupid and incompetent movie that doesn't even have the benefit of being trashily enjoyable .	3	-3	 a[0] stupid[-1] and[0] incompetent[-2] movie[0] that[0] doesn't[0] even[0] have[0] the[0] benefit[0] of[0] being[0] trashily[-1] enjoyable[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
weslely and woody would do well to leave this off their resumes . 	weslely and woody would do well to leave this off their resumes .	1	-1	 weslely[0] and[0] woody[0] would[0] do[0] well[0] to[0] leave[0] this[0] off[0] their[0] resumes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
money train is one of the worst movies i have ever seen . 	money train is one of the worst movies i have ever seen .	1	-3	 money[0] train[0] is[0] one[0] of[0] the[0] worst[-2] movies[0] i[0] have[0] ever[0] seen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not simply idiotic , it's contemptuous of its audience . 	it's not simply idiotic , it's contemptuous of its audience .	3	-4	 it's[0] not[0] simply[0] idiotic[-2][NegatedDueToPreviousWord] it's[0] contemptuous[-3] of[0] its[0] audience[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it tries to make us swallow things that a better movie would be stopped cold by or just plain omit entirely . 	it tries to make us swallow things that a better movie would be stopped cold by or just plain omit entirely .	1	-2	 it[0] tries[0] to[0] make[0] us[0] swallow[0] things[0] that[0] a[0] better[0] movie[0] would[0] be[0] stopped[0] cold[-1] by[0] or[0] just[0] plain[0] omit[-1] entirely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a waste of wesley snipes and woody harrelson , who are enjoyable actors in their own rights but are nauseating here . 	it's a waste of wesley snipes and woody harrelson , who are enjoyable actors in their own rights but are nauseating here .	3	-2	 it's[0] a[0] waste[-1] of[0] wesley[0] snipes[0] and[0] woody[0] harrelson[0] who[0] are[0] enjoyable[2] actors[0] in[0] their[0] own[0] rights[0] but[0] are[0] nauseating[0] here[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's not even fun as trash . 	it's not even fun as trash .	1	-2	 it's[0] not[0] even[0] fun[1][NegatedDueToPreviousWord] as[0] trash[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
woody and wesley star ( maybe that's not the right word ) as new york city transit authority police . 	woody and wesley star ( maybe that's not the right word ) as new york city transit authority police .	1	-1	 woody[0] and[0] wesley[0] star[0] maybe[0] that's[0] not[0] the[0] right[0] word[0] as[0] new[0] york[0] city[0] transit[0] authority[0] police[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have a job which could actually be the core of a really interesting movie : one of them plays drunk possum to attract chain-snatchers and the other does lookout . 	they have a job which could actually be the core of a really interesting movie : one of them plays drunk possum to attract chain-snatchers and the other does lookout .	3	-2	 they[0] have[0] a[0] job[0] which[0] could[0] actually[0] be[0] the[0] core[0] of[0] a[0] really[0] interesting[1][1 LastWordBoosterStrength] movie[0] one[0] of[0] them[0] plays[1] drunk[-1] possum[0] to[0] attract[1] chain[0] snatchers[-1] and[0] the[0] other[0] does[0] lookout[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i had a whole headful of legal and ethical questions surrounding this , raised by a documentary i'd seen on the subject once , but the movie does not waste any time with being intelligent or thought-provoking . 	i had a whole headful of legal and ethical questions surrounding this , raised by a documentary i'd seen on the subject once , but the movie does not waste any time with being intelligent or thought-provoking .	2	-1	 i[0] had[0] a[0] whole[0] headful[0] of[0] legal[0] and[0] ethical[0] questions[0] surrounding[0] this[0] raised[0] by[0] a[0] documentary[0] i'd[0] seen[0] on[0] the[0] subject[0] once[0] but[0] the[0] movie[0] does[0] not[0] waste[-1][NegatedDueToPreviousWord] any[0] time[0] with[0] being[0] intelligent[1] or[0] thought[0] provoking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see if you can follow this . 	see if you can follow this .	1	-1	 see[0] if[0] you[0] can[0] follow[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they chase a kid down the tunnel and into the station where the " money train " , the heavily armored car that picks up all the cash from the token books , is parked . 	they chase a kid down the tunnel and into the station where the " money train " , the heavily armored car that picks up all the cash from the token books , is parked .	1	-2	 they[0] chase[-1] a[0] kid[0] down[0] the[0] tunnel[0] and[0] into[0] the[0] station[0] where[0] the[0] money[0] train[0] the[0] heavily[0] armored[0] car[0] that[0] picks[0] up[0] all[0] the[0] cash[0] from[0] the[0] token[0] books[0] is[0] parked[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the guards on the train see this kid running at them , lift their machine guns , shout " halt ! " 	the guards on the train see this kid running at them , lift their machine guns , shout " halt !<br> "	1	-2	 the[0] guards[0] on[0] the[0] train[0] see[0] this[0] kid[0] running[0] at[0] them[0] lift[0] their[0] machine[0] guns[-1] shout[0] halt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and then open fire when the kid doesn't stop running at them . 	and then open fire when the kid doesn't stop running at them .	1	-1	 and[0] then[0] open[0] fire[0] when[0] the[0] kid[0] doesn't[0] stop[0] running[0] at[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blam , the kid's dead . 	blam , the kid's dead .	1	-3	 blam[-1] the[0] kid's[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then woody and wesley show up , and of course the other ta cops hate them ( why ? ) , and a pushing match starts , and someone gets decked , and . . . i covered my face . 	then woody and wesley show up , and of course the other ta cops hate them ( why ?<br> ) , and a pushing match starts , and someone gets decked , and .<br> .<br> .<br> i covered my face .	1	-4	 then[0] woody[0] and[0] wesley[0] show[0] up[0] and[0] of[0] course[0] the[0] other[0] ta[0] cops[0] hate[-3] them[0] why[0] [[Sentence=-4,1=word max, 1-5]] and[0] a[0] pushing[0] match[0] starts[0] and[0] someone[0] gets[0] decked[0] and[0] [[Sentence=-1,1=word max, 1-5]] i[0] covered[0] my[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'd seen enough . 	i'd seen enough .	1	-1	 i'd[0] seen[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've never seen a movie work so hard and in so little time to destroy , systematically , any chance of being credible or interesting . 	i've never seen a movie work so hard and in so little time to destroy , systematically , any chance of being credible or interesting .	2	-3	 i've[0] never[0] seen[0] a[0] movie[0] work[0] so[0] hard[0] and[0] in[0] so[0] little[0] time[0] to[0] destroy[-2] systematically[0] any[0] chance[0] of[0] being[0] credible[0] or[0] interesting[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fed up with the bs at their job ( most of it their own goddamned fault ) , woody and wesley hatch this plot about how to rob the money train . 	fed up with the bs at their job ( most of it their own goddamned fault ) , woody and wesley hatch this plot about how to rob the money train .	1	-3	 fed[0] up[0] with[0] the[0] bs[0] at[0] their[0] job[0] most[0] of[0] it[0] their[0] own[0] goddamned[-2] fault[-1] woody[0] and[0] wesley[0] hatch[0] this[0] plot[0] about[0] how[0] to[0] rob[0] the[0] money[0] train[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hence the title , in case some of you ( all two of you ) didn't figure it out yet . 	hence the title , in case some of you ( all two of you ) didn't figure it out yet .	1	-1	 hence[0] the[0] title[0] in[0] case[0] some[0] of[0] you[0] all[0] two[0] of[0] you[0] didn't[0] figure[0] it[0] out[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's this subplot about a maniac who torches token book clerks , * and * a love story , * and * a holdup -- no , two holdups , sorry , easy to lose track in a movie this braindead -- * and * a mob boss who wants his money . 	then there's this subplot about a maniac who torches token book clerks , * and * a love story , * and * a holdup - no , two holdups , sorry , easy to lose track in a movie this braindead - * and * a mob boss who wants his money .	3	-3	 then[0] there's[0] this[0] subplot[0] about[0] a[0] maniac[-2] who[0] torches[0] token[0] book[0] clerks[0] and[0] a[0] love[2] story[0] and[0] a[0] holdup[0] no[0] two[0] holdups[0] sorry[-1] easy[0] to[0] lose[-1] track[0] in[0] a[0] movie[0] this[0] braindead[0] and[0] a[0] mob[0] boss[0] who[0] wants[0] his[0] money[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there wasn't a minute when i gave a horse's ass about any of it . 	there wasn't a minute when i gave a horse's ass about any of it .	1	-1	 there[0] wasn't[0] a[0] minute[0] when[0] i[0] gave[0] a[0] horse's[0] ass[0] about[0] any[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neither woody nor wesley play characters that are interesting for a single minute . 	neither woody nor wesley play characters that are interesting for a single minute .	2	-1	 neither[0] woody[0] nor[0] wesley[0] play[0] characters[0] that[0] are[0] interesting[1] for[0] a[0] single[0] minute[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we do not care about them . 	we do not care about them .	1	-2	 we[0] do[0] not[0] care[1][NegatedDueToPreviousWord] about[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are not interesting . 	they are not interesting .	1	-2	 they[0] are[0] not[0] interesting[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are noisy , loud , stupid , foolish jerks who whould have flunked out of the police academy . 	they are noisy , loud , stupid , foolish jerks who whould have flunked out of the police academy .	1	-3	 they[0] are[0] noisy[0] loud[0] stupid[-1] foolish[-1] jerks[-2] who[0] whould[0] have[0] flunked[-2] out[0] of[0] the[0] police[0] academy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they deserve to get shot -- or run over , as the case may be . 	they deserve to get shot - or run over , as the case may be .	1	-2	 they[0] deserve[0] to[0] get[0] shot[-1] or[0] run[0] over[0] as[0] the[0] case[0] may[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
