 " goodbye , lover " sat on the shelf for almost a year since its lukewarm reception at the cannes film festival last may , and one look will tell you why . 	Translation	Positive	Negative	EmotionRationale
it's a mess . 	it's a mess .	1	-1	 it's[0] a[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that's * way * before ellen degeneres shows up . 	and that's * way * before ellen degeneres shows up .	1	-1	 and[0] that's[0] way[0] before[0] ellen[0] degeneres[0] shows[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is one of those torrid double-indemnity crime stories that , in this case , required the services of three screenwriters . 	the film is one of those torrid double-indemnity crime stories that , in this case , required the services of three screenwriters .	1	-2	 the[0] film[0] is[0] one[0] of[0] those[0] torrid[0] double[0] indemnity[0] crime[-1] stories[0] that[0] in[0] this[0] case[0] required[0] the[0] services[0] of[0] three[0] screenwriters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suspect that one wrote a sexy thriller , one wrote a murder mystery , and one wrote a comedy , then director roland joff ? tried to piece it all together in the editing room while scratching his head in bewilderment . 	i suspect that one wrote a sexy thriller , one wrote a murder mystery , and one wrote a comedy , then director roland joff ?<br> tried to piece it all together in the editing room while scratching his head in bewilderment .	3	-4	 i[0] suspect[-1] that[0] one[0] wrote[0] a[0] sexy[2] thriller[1] one[0] wrote[0] a[0] murder[-3] mystery[0] and[0] one[0] wrote[0] a[0] comedy[0] then[0] director[0] roland[0] joff[0] [[Sentence=-4,3=word max, 1-5]] tried[0] to[0] piece[0] it[0] all[0] together[0] in[0] the[0] editing[0] room[0] while[0] scratching[0] his[0] head[0] in[0] bewilderment[-2] [[Sentence=-3,1=word max, 1-5]][[[3,-4 max of sentences]]]
i didn't laugh at ellen degeneres much ( i think i was supposed to ) . 	i didn't laugh at ellen degeneres much ( i think i was supposed to ) .	2	-1	 i[0] didn't[0] laugh[1] at[0] ellen[0] degeneres[0] much[0] i[0] think[0] i[0] was[0] supposed[0] to[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
degeneres is horrible and her character is even worse , a tough-talking vulgar cop with a bad wardrobe and bad hair . 	degeneres is horrible and her character is even worse , a tough-talking vulgar cop with a bad wardrobe and bad hair .	1	-4	 degeneres[0] is[0] horrible[-3] and[0] her[0] character[0] is[0] even[0] worse[-2] a[0] tough[-1] talking[0] vulgar[-1] cop[0] with[0] a[0] bad[-1] wardrobe[0] and[0] bad[-1] hair[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
either degeneres is wearing a wig--as most of the actors appear to be--or she doesn't yet have enough clout to secure a hairstylist . 	either degeneres is wearing a wig-as most of the actors appear to be-or she doesn't yet have enough clout to secure a hairstylist .	2	-1	 either[0] degeneres[0] is[0] wearing[0] a[0] wig[0] as[0] most[0] of[0] the[0] actors[0] appear[0] to[0] be[0] or[0] she[0] doesn't[0] yet[0] have[0] enough[0] clout[0] to[0] secure[1] a[0] hairstylist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
every single word out of her mouth is supposed to be racy and hip , but her incessant wisecracking is poorly-written and merely stupid . 	every single word out of her mouth is supposed to be racy and hip , but her incessant wisecracking is poorly-written and merely stupid .	1	-2	 every[0] single[0] word[0] out[0] of[0] her[0] mouth[0] is[0] supposed[0] to[0] be[0] racy[0] and[0] hip[0] but[0] her[0] incessant[-1] wisecracking[0] is[0] poorly[-1] written[0] and[0] merely[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her reaction to the brutal killing of a jogger is " at least she died healthy . " 	her reaction to the brutal killing of a jogger is " at least she died healthy .<br> "	1	-3	 her[0] reaction[0] to[0] the[0] brutal[-2] killing[-1] of[0] a[0] jogger[0] is[0] at[0] least[0] she[0] died[0] healthy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and that's one of her wittier asides . 	and that's one of her wittier asides .	1	-1	 and[0] that's[0] one[0] of[0] her[0] wittier[0] asides[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
degeneres' sgt . 	degeneres' sgt .	1	-1	 degeneres'[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
