part buddy comedy , part fish-out-of-water story , part nature tale , meet the deedles is not nearly as interesting as any of those archetypes . 	Translation	Positive	Negative	EmotionRationale
in fact , it is an invitation you ought to disregard . 	in fact , it is an invitation you ought to disregard .	1	-2	 in[0] fact[0] it[0] is[0] an[0] invitation[0] you[0] ought[0] to[0] disregard[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
phil and stew deedle ( paul walker and steve van wormer ) are the twin sons of the famous millionaire , elton deedle ( eric braeden ) , founder of deedle enterprises . 	phil and stew deedle ( paul walker and steve van wormer ) are the twin sons of the famous millionaire , elton deedle ( eric braeden ) , founder of deedle enterprises .	1	-2	 phil[0] and[0] stew[0] deedle[0] paul[0] walker[0] and[0] steve[0] van[0] wormer[0] are[0] the[0] twin[0] sons[0] of[0] the[0] famous[0] millionaire[0] elton[0] deedle[0] eric[0] braeden[0] founder[-1] of[0] deedle[0] enterprises[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
elton wants his sons to be the perfect heirs to his fortune . . . instead 	elton wants his sons to be the perfect heirs to his fortune .<br> .<br> .<br> instead	2	-1	 elton[0] wants[0] his[0] sons[0] to[0] be[0] the[0] perfect[1] heirs[0] to[0] his[0] fortune[0] [[Sentence=-1,2=word max, 1-5]] instead[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the two are careless hawaiian surf bums . 	the two are careless hawaian surf bums .	1	-2	 the[0] two[0] are[0] careless[-1] hawaiian/hawaian[0] surf[0] bums[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to set them straight , he enrolls them into a strict wyoming boot camp , to which the pair inevitably go . 	to set them straight , he enrolls them into a strict wyoming boot camp , to which the pair inevitably go .	1	-2	 to[0] set[0] them[0] straight[0] he[0] enrolls[0] them[0] into[0] a[0] strict[-1] wyoming[0] boot[0] camp[0] to[0] which[0] the[0] pair[0] inevitably[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after several misadventures in wyoming , where the duo is stunned to discover there's no surf , the brothers deedle stumble upon a routine mistaken identity plot . 	after several misadventures in wyoming , where the duo is stunned to discover there's no surf , the brothers deedle stumble upon a routine mistaken identity plot .	1	-2	 after[0] several[0] misadventures[0] in[0] wyoming[0] where[0] the[0] duo[0] is[0] stunned[-1] to[0] discover[0] there's[0] no[0] surf[0] the[0] brothers[0] deedle[0] stumble[0] upon[0] a[0] routine[0] mistaken[-1] identity[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they arrive at yellowstone national park , where they are believed to be two new park ranger recruits . 	they arrive at yellowstone national park , where they are believed to be two new park ranger recruits .	1	-1	 they[0] arrive[0] at[0] yellowstone[0] national[0] park[0] where[0] they[0] are[0] believed[0] to[0] be[0] two[0] new[0] park[0] ranger[0] recruits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather than slinking back home and disappointing their dad , the deedles play along . 	rather than slinking back home and disappointing their dad , the deedles play along .	1	-2	 rather[0] than[0] slinking[0] back[0] home[0] and[0] disappointing[-1] their[0] dad[0] the[0] deedles[0] play[0] along[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
phil , actually , has other motives : the beautiful park ranger jesse ( a . 	phil , actually , has other motives : the beautiful park ranger jesse ( a .	3	-1	 phil[0] actually[0] has[0] other[0] motives[0] the[0] beautiful[2] park[0] ranger[0] jesse[0] a[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
j . langer ) , who unfortunately happens to be the beloved stepdaughter of the overprotective park ranger captain douglas pine ( john ashton ) . 	j .<br> langer ) , who unfortunately happens to be the beloved stepdaughter of the overprotective park ranger captain douglas pine ( john ashton ) .	3	-2	 j[0] [[Sentence=-1,1=word max, 1-5]] langer[0] who[0] unfortunately[-1] happens[0] to[0] be[0] the[0] beloved[2] stepdaughter[0] of[0] the[0] overprotective[0] park[0] ranger[0] captain[0] douglas[0] pine[0] john[0] ashton[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
