`the bachelor' is one of the best terrible movies you will ever see . 	Translation	Positive	Negative	EmotionRationale
wading through this gooey , detestable sludge is quite the chore for even a dedicated romantic . 	wading through this gooey , detestable sludge is quite the chore for even a dedicated romantic .	4	-4	 wading[0] through[0] this[0] gooey[0] detestable[-3] sludge[0] is[0] quite[0] the[0] chore[-2] for[0] even[0] a[0] dedicated[0] romantic[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
those hoping to find some genuine charm and feeling behind this chris o'donnell vehicle should wander elsewhere ;  the bachelor' is a painfully clumsy mess strung together with a few brief moments of surprising poignancy . 	those hoping to find some genuine charm and feeling behind this chris o'donnell vehicle should wander elsewhere ;  the bachelor' is a painfully clumsy mess strung together with a few brief moments of surprising poignancy .	2	-4	 those[0] hoping[1] to[0] find[0] some[0] genuine[0] charm[1] and[0] feeling[0] behind[0] this[0] chris[0] o'donnell[0] vehicle[0] should[0] wander[0] elsewhere[0] the[0] bachelor'[0] is[0] a[0] painfully[-3] clumsy[-1] mess[0] strung[0] together[0] with[0] a[0] few[0] brief[0] moments[0] of[0] surprising[0] poignancy[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
awaiting these moments by enduring the rest of the film is certainly not worth your time or money . 	awaiting these moments by enduring the rest of the film is certainly not worth your time or money .	1	-1	 awaiting[0] these[0] moments[0] by[0] enduring[0] the[0] rest[0] of[0] the[0] film[0] is[0] certainly[0] not[0] worth[0] your[0] time[0] or[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although he has not quite evolved out of the stereotypical pretty-boy cocoon , chris o'donnell has an effortless charm as an actor . 	although he has not quite evolved out of the stereotypical pretty-boy cocoon , chris o'donnell has an effortless charm as an actor .	3	-1	 although[0] he[0] has[0] not[0] quite[0] evolved[0] out[0] of[0] the[0] stereotypical[0] pretty[2] boy[0] cocoon[0] chris[0] o'donnell[0] has[0] an[0] effortless[0] charm[1] as[0] an[0] actor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most will recognize him as the high-flying robin from the two latest  batman' films , but other abilities are evident behind his boyish smile . 	most will recognize him as the high-flying robin from the two latest  batman' films , but other abilities are evident behind his boyish smile .	3	-1	 most[0] will[0] recognize[0] him[0] as[0] the[0] high[0] flying[0] robin[0] from[0] the[0] two[0] latest[0] batman'[0] films[0] but[0] other[0] abilities[0] are[0] evident[0] behind[0] his[0] boyish[0] smile[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
can o'donnell carry the weight of a film on his shoulders ? 	can o'donnell carry the weight of a film on his shoulders ?	1	-1	 can[0] o'donnell[0] carry[0] the[0] weight[0] of[0] a[0] film[0] on[0] his[0] shoulders[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps , if he found the proper vehicle . . . 	perhaps , if he found the proper vehicle .<br> .<br> .	1	-1	 perhaps[0] if[0] he[0] found[0] the[0] proper[0] vehicle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but  the bachelor' falls far short of the requirements . 	but  the bachelor' falls far short of the requirements .	1	-1	 but[0] the[0] bachelor'[0] falls[0] far[0] short[0] of[0] the[0] requirements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actor just can't register with such a pathetic screenplay as the guiding light to success . 	the actor just can't register with such a pathetic screenplay as the guiding light to success .	3	-3	 the[0] actor[0] just[0] can't[0] register[0] with[0] such[0] a[0] pathetic[-2] screenplay[0] as[0] the[0] guiding[0] light[0] to[0] success[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a few instances of adorable humor aside , it becomes apparent that no one could save the festering mess that is  the bachelor' . 	a few instances of adorable humor aside , it becomes apparent that no one could save the festering mess that is  the bachelor' .	4	-1	 a[0] few[0] instances[0] of[0] adorable[3] humor[2][+1 MultiplePositiveWords] aside[0] it[0] becomes[0] apparent[0] that[0] no[0] one[0] could[0] save[1][-1 LastWordBoosterStrength] the[0] festering[0] mess[0] that[0] is[0] the[0] bachelor'[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
o'donnell plays jimmie , a hopeless romantic in his late twenties who's progressing in a serious relationship with anne ( renee zellweger ) . 	o'donnell plays jimmie , a hopeless romantic in his late twenties who's progressing in a serious relationship with anne ( renee zellweger ) .	4	-4	 o'donnell[0] plays[1] jimmie[0] a[0] hopeless[-3] romantic[3] in[0] his[0] late[0] twenties[0] who's[0] progressing[0] in[0] a[0] serious[-1] relationship[0] with[0] anne[0] renee[0] zellweger[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
jimmie takes anne out for dinner to the restaurant specifically used for proposals , and attempts to ask for her hand in marriage . 	jimmie takes anne out for dinner to the restaurant specifically used for proposals , and attempts to ask for her hand in marriage .	1	-1	 jimmie[0] takes[0] anne[0] out[0] for[0] dinner[0] to[0] the[0] restaurant[0] specifically[0] used[0] for[0] proposals[0] and[0] attempts[0] to[0] ask[0] for[0] her[0] hand[0] in[0] marriage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem is that his proposal sucks . 	the problem is that his proposal sucks .	1	-2	 the[0] problem[-1] is[0] that[0] his[0] proposal[0] sucks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
big time . 	big time .	1	-1	 big[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can tell things aren't going pleasantly , because jimmie gets the infamous ? deer-in-the-headlights' look when anne questions his approach . 	you can tell things aren't going pleasantly , because jimmie gets the infamous ?<br> deer-in-the-headlights' look when anne questions his approach .	1	-3	 you[0] can[0] tell[0] things[0] aren't[0] going[0] pleasantly[2][NegatedDueToPreviousWord] because[0] jimmie[0] gets[0] the[0] infamous[-1] [[Sentence=-3,1=word max, 1-5]] deer[0] in[0] the[0] headlights'[0] look[0] when[0] anne[0] questions[0] his[0] approach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
and then , the plot ( along with the stupidity of the movie ) thickens . 	and then , the plot ( along with the stupidity of the movie ) thickens .	1	-2	 and[0] then[0] the[0] plot[0] along[0] with[0] the[0] stupidity[-1] of[0] the[0] movie[0] thickens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jimmie's grandfather ( peter ustinov ) dies suddenly , leaving a video will behind for his grandson ( who also happens to be his only living relative ) . 	jimmie's grandfather ( peter ustinov ) dies suddenly , leaving a video will behind for his grandson ( who also happens to be his only living relative ) .	1	-1	 jimmie's[0] grandfather[0] peter[0] ustinov[0] dies[0] suddenly[0] leaving[0] a[0] video[0] will[0] behind[0] for[0] his[0] grandson[0] who[0] also[0] happens[0] to[0] be[0] his[0] only[0] living[0] relative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everybody is speechless when grandpa declares that he is passing down an inheritance in the amount of 100 million dollars to jimmie . 	everybody is speechless when grandpa declares that he is passing down an inheritance in the amount of 100 million dollars to jimmie .	1	-1	 everybody[0] is[0] speechless[0] when[0] grandpa[0] declares[0] that[0] he[0] is[0] passing[0] down[0] an[0] inheritance[0] in[0] the[0] amount[0] of[0] 100[0] million[0] dollars[0] to[0] jimmie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , there's a catch : he must get married before his 30th birthday , stay joined with his bride for an entire decade , and produce healthy children within the first five years . 	of course , there's a catch : he must get married before his 30th birthday , stay joined with his bride for an entire decade , and produce healthy children within the first five years .	1	-1	 of[0] course[0] there's[0] a[0] catch[0] he[0] must[0] get[0] married[0] before[0] his[0] 30th[0] birthday[0] stay[0] joined[0] with[0] his[0] bride[0] for[0] an[0] entire[0] decade[0] and[0] produce[0] healthy[0] children[0] within[0] the[0] first[0] five[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bad news is that jimmie's birthday is the following day . 	the bad news is that jimmie's birthday is the following day .	1	-2	 the[0] bad[-1] news[0] is[0] that[0] jimmie's[0] birthday[0] is[0] the[0] following[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with anne out of town , he must find a willing bride to share his riches with . . . 	with anne out of town , he must find a willing bride to share his riches with .<br> .<br> .	1	-1	 with[0] anne[0] out[0] of[0] town[0] he[0] must[0] find[0] a[0] willing[0] bride[0] to[0] share[0] his[0] riches[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and within a very limited time frame . 	and within a very limited time frame .	1	-1	 and[0] within[0] a[0] very[0] limited[0] time[0] frame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
