ever feel you're spending your whole life on the net ( ouch ! ) , eating , breathing and excreting web sites ? 	Translation	Positive	Negative	EmotionRationale
that your most meaningful relationships are being formed on the net ? 	that your most meaningful relationships are being formed on the net ?	1	-1	 that[0] your[0] most[0] meaningful[0] relationships[0] are[0] being[0] formed[0] on[0] the[0] net[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that you get your best sex on the net ? 	that you get your best sex on the net ?	2	-1	 that[0] you[0] get[0] your[0] best[1] sex[0] on[0] the[0] net[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if first-time director hal salwen could shoot an entire movie of characters typing at their computers , he would . 	if first-time director hal salwen could shoot an entire movie of characters typing at their computers , he would .	1	-1	 if[0] first[0] time[0] director[0] hal[0] salwen[0] could[0] shoot[-1][--1 LastWordBoosterStrength] an[0] entire[0] movie[0] of[0] characters[0] typing[0] at[0] their[0] computers[0] he[0] would[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it is , he settles for characters talking on the phone . 	as it is , he settles for characters talking on the phone .	1	-1	 as[0] it[0] is[0] he[0] settles[0] for[0] characters[0] talking[0] on[0] the[0] phone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
denise calls up is a movie for and about the electronic generation , where characters are too caught up with their work and insecurities prefer to live out their relationships and fantasies on the phone . 	denise calls up is a movie for and about the electronic generation , where characters are too caught up with their work and insecurities prefer to live out their relationships and fantasies on the phone .	1	-2	 denise[0] calls[0] up[0] is[0] a[0] movie[0] for[0] and[0] about[0] the[0] electronic[0] generation[0] where[0] characters[0] are[0] too[0] caught[0] up[0] with[0] their[0] work[0] and[0] insecurities[-1] prefer[0] to[0] live[0] out[0] their[0] relationships[0] and[0] fantasies[0] on[0] the[0] phone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a satire - and a sometimes funny one - about how we let handphones , call-waiting and answering machines run our lives . 	it's a satire - and a sometimes funny one - about how we let handphones , call-waiting and answering machines run our lives .	1	-1	 it's[0] a[0] satire[0] and[0] a[0] sometimes[0] funny[1][-1 LastWordBoosterStrength] one[0] about[0] how[0] we[0] let[0] handphones[0] call[0] waiting[0] and[0] answering[0] machines[0] run[0] our[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem : denise calls up is a movie about an idea . 	the problem : denise calls up is a movie about an idea .	1	-2	 the[0] problem[-1] denise[0] calls[0] up[0] is[0] a[0] movie[0] about[0] an[0] idea[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a darn good one , but still an 80 minute-long idea . 	a darn good one , but still an 80 minute-long idea .	2	-2	 a[0] darn[-1] good[1] one[0] but[0] still[0] an[0] 80[0] minute[0] long[0] idea[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and despite salwen's attempt at plots and sub-plots , despite some genuinely funny moments , you can predict the movie's outcome within the first fifteen minutes . 	and despite salwen's attempt at plots and sub-plots , despite some genuinely funny moments , you can predict the movie's outcome within the first fifteen minutes .	2	-1	 and[0] despite[0] salwen's[0] attempt[0] at[0] plots[0] and[0] sub[0] plots[0] despite[0] some[0] genuinely[0] funny[1] moments[0] you[0] can[0] predict[0] the[0] movie's[0] outcome[0] within[0] the[0] first[0] fifteen[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you get the drift after a series of shots of characters explaining over the phone why they all couldn't make it for a party - nobody is going to be meeting anybody in this film , they would rather be talking on the phone . 	you get the drift after a series of shots of characters explaining over the phone why they all couldn't make it for a party - nobody is going to be meeting anybody in this film , they would rather be talking on the phone .	1	-1	 you[0] get[0] the[0] drift[0] after[0] a[0] series[0] of[0] shots[0] of[0] characters[0] explaining[0] over[0] the[0] phone[0] why[0] they[0] all[0] couldn't[0] make[0] it[0] for[0] a[0] party[0] nobody[0] is[0] going[0] to[0] be[0] meeting[0] anybody[0] in[0] this[0] film[0] they[0] would[0] rather[0] be[0] talking[0] on[0] the[0] phone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
