movies can do the two big es very well : educate and entertain . 	Translation	Positive	Negative	EmotionRationale
in the best of all possible worlds , they accomplish both . 	in the best of all possible worlds , they accomplish both .	2	-1	 in[0] the[0] best[1] of[0] all[0] possible[0] worlds[0] they[0] accomplish[1] both[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the red planet , they fail entirely . 	on the red planet , they fail entirely .	1	-3	 on[0] the[0] red[0] planet[0] they[0] fail[-2] entirely[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the near future , a manned mission is sent to mars to observe primitive plant growth . 	in the near future , a manned mission is sent to mars to observe primitive plant growth .	1	-1	 in[0] the[0] near[0] future[0] a[0] manned[0] mission[0] is[0] sent[0] to[0] mars[0] to[0] observe[0] primitive[0] plant[0] growth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film does a remarkable job of demonstrating exactly how exciting watching algae grow would be . 	this film does a remarkable job of demonstrating exactly how exciting watching algae grow would be .	3	-1	 this[0] film[0] does[0] a[0] remarkable[0] job[0] of[0] demonstrating[0] exactly[0] how[0] exciting[2] watching[0] algae[0] grow[0] would[0] be[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after some mumbo-jumbo about an ecological disaster on earth and an interminable wait to reach the fourth planet , the ship falls apart almost as fast as the movie does . 	after some mumbo-jumbo about an ecological disaster on earth and an interminable wait to reach the fourth planet , the ship falls apart almost as fast as the movie does .	1	-2	 after[0] some[0] mumbo[0] jumbo[0] about[0] an[0] ecological[0] disaster[-1] on[0] earth[0] and[0] an[0] interminable[0] wait[0] to[0] reach[0] the[0] fourth[0] planet[0] the[0] ship[0] falls[0] apart[0] almost[0] as[0] fast[0] as[0] the[0] movie[0] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ground crew of people you couldn't care less about is trapped on the surface without food , water or air and stalked by a deadly rogue cyberdog . 	the ground crew of people you couldn't care less about is trapped on the surface without food , water or air and stalked by a deadly rogue cyberdog .	1	-2	 the[0] ground[0] crew[0] of[0] people[0] you[0] couldn't[0] care[1][NegatedDueToPreviousWord] less[0] about[0] is[0] trapped[0] on[0] the[0] surface[0] without[0] food[0] water[0] or[0] air[0] and[0] stalked[0] by[0] a[0] deadly[-1] rogue[-1] cyberdog[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the one potentially interesting character ( carrie-anne moss ) spends her time alone in the orbiting ship talking to a computer . 	the one potentially interesting character ( carrie-anne moss ) spends her time alone in the orbiting ship talking to a computer .	2	-1	 the[0] one[0] potentially[0] interesting[1] character[0] carrie[0] anne[0] moss[0] spends[0] her[0] time[0] alone[0] in[0] the[0] orbiting[0] ship[0] talking[0] to[0] a[0] computer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
attempting to graft " 2001 " esque space mysticism with " terminator " robot horror , first time director antony hoffman can't seem to figure out what's going on . 	attempting to graft " 2001 " esque space mysticism with " terminator " robot horror , first time director antony hoffman can't seem to figure out what's going on .	1	-4	 attempting[0] to[0] graft[0] 2001[0] esque[0] space[0] mysticism[0] with[0] terminator[0] robot[0] horror[-3] first[0] time[0] director[0] antony[0] hoffman[0] can't[0] seem[0] to[0] figure[0] out[0] what's[0] going[0] on[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
neither can we . 	neither can we .	1	-1	 neither[0] can[0] we[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
didn't he have anyone who could step back from the shooting and make sure there was a coherent story ? 	didn't he have anyone who could step back from the shooting and make sure there was a coherent story ?	1	-2	 didn't[0] he[0] have[0] anyone[0] who[0] could[0] step[0] back[0] from[0] the[0] shooting[-1] and[0] make[0] sure[0] there[0] was[0] a[0] coherent[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
