kids today , they don't just want to see heartthrob and master thespian freddie prinze jr . loving on the ladies . 	Translation	Positive	Negative	EmotionRationale
no , they want to see him doing something that takes a little more in the acting department : namely , playing baseball . 	no , they want to see him doing something that takes a little more in the acting department : namely , playing baseball .	2	-1	 no[0] they[0] want[0] to[0] see[0] him[0] doing[0] something[0] that[0] takes[0] a[0] little[0] more[0] in[0] the[0] acting[0] department[0] namely[0] playing[1] baseball[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
through a series of drippy voiceovers , we are informed that there's no better proving ground for major league baseball than the cape cod summer baseball leagues , where college also-rans and hopeful dropouts go to play in the hopes of attracting big league attention . 	through a series of drippy voiceovers , we are informed that there's no better proving ground for major league baseball than the cape cod summer baseball leagues , where college also-rans and hopeful dropouts go to play in the hopes of attracting big league attention .	2	-1	 through[0] a[0] series[0] of[0] drippy[0] voiceovers[0] we[0] are[0] informed[0] that[0] there's[0] no[0] better[0] proving[0] ground[0] for[0] major[0] league[0] baseball[0] than[0] the[0] cape[0] cod[0] summer[0] baseball[0] leagues[0] where[0] college[0] also[0] rans[0] and[0] hopeful[1] dropouts[0] go[0] to[0] play[0] in[0] the[0] hopes[1] of[0] attracting[1] big[0] league[0] attention[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
our man freddie has landed a spot as a pitcher on the prestigious chatham a's , where he is hoping for his big break . 	our man freddie has landed a spot as a pitcher on the prestigious chatham a's , where he is hoping for his big break .	2	-1	 our[0] man[0] freddie[0] has[0] landed[0] a[0] spot[0] as[0] a[0] pitcher[0] on[0] the[0] prestigious[0] chatham[0] a's[0] where[0] he[0] is[0] hoping[1] for[0] his[0] big[0] break[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's only after he is given ample time to show off his abs and scamper about in a woman's thong ( don't ask ) that we learn what the real story of summer catch will be : that prinze is a poor townie named ryan dunne , struggling to make a name for himself ; that neither his father ( fred ward ) nor brother ( jason gedrick ) pulled themselves out of their blue collar jobs and resent anyone who tries ; and that the local beauty tenley -- tenley ! 	it's only after he is given ample time to show off his abs and scamper about in a woman's thong ( don't ask ) that we learn what the real story of summer catch will be : that prinze is a poor townie named ryan dune , struggling to make a name for himself ; that neither his father ( fred ward ) nor brother ( jason gedrick ) pulled themselves out of their blue collar jobs and resent anyone who tries ; and that the local beauty tenley - tenley !	3	-3	 it's[0] only[0] after[0] he[0] is[0] given[0] ample[0] time[0] to[0] show[0] off[0] his[0] abs[0] and[0] scamper[0] about[0] in[0] a[0] woman's[0] thong[0] don't[0] ask[0] that[0] we[0] learn[0] what[0] the[0] real[0] story[0] of[0] summer[0] catch[0] will[0] be[0] that[0] prinze[0] is[0] a[0] poor[-1] townie[0] named[0] ryan[0] dunne/dune[0] struggling[-1] to[0] make[0] a[0] name[0] for[0] himself[0] that[0] neither[0] his[0] father[0] fred[0] ward[0] nor[0] brother[0] jason[0] gedrick[0] pulled[0] themselves[0] out[0] of[0] their[0] blue[0] collar[0] jobs[0] and[0] resent[-2] anyone[0] who[0] tries[0] and[0] that[0] the[0] local[0] beauty[2] tenley[0] tenley[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ( jessica biel ) -- is so far out of his league that he probably shouldn't even bother . . . 	 ( jessica biel ) - is so far out of his league that he probably shouldn't even bother .<br> .<br> .	1	-2	 jessica[0] biel[0] is[0] so[0] far[0] out[0] of[0] his[0] league[0] that[0] he[0] probably[0] shouldn't[0] even[0] bother[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but of course he makes a play for her . 	but of course he makes a play for her .	1	-1	 but[0] of[0] course[0] he[0] makes[0] a[0] play[0] for[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
summer catch also makes an abortive stab at another half a dozen subplots -- the jealousy of fellow townie and brazen slut dee dee ( brittany murphy ) , the alienation felt by ryan's non-baseball playing best friend ( gabriel mann ) , or the fat chick fetish of fellow player miles ( marc blucas ) . 	summer catch also makes an abortive stab at another half a dozen subplots - the jealousy of fellow townie and brazen slut dee dee ( brittany murphy ) , the alienation felt by ryan's non-baseball playing best friend ( gabriel man ) , or the fat chick fetish of fellow player miles ( marc blucas ) .	2	-3	 summer[0] catch[0] also[0] makes[0] an[0] abortive[0] stab[-1] at[0] another[0] half[0] a[0] dozen[0] subplots[0] the[0] jealousy[-2] of[0] fellow[0] townie[0] and[0] brazen[-1] slut[-2] dee[0] dee[0] brittany[0] murphy[0] the[0] alienation[-1] felt[0] by[0] ryan's[0] non[0] baseball[0] playing[1] best[1] friend[1] gabriel[0] mann/man[0] or[0] the[0] fat[-1] chick[0] fetish[0] of[0] fellow[0] player[0] miles[0] marc[0] blucas[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
worst of these is a ludicrous bit involving that '70s show's wilmer valderrama and beverly d'angelo , both of whom appear in the film simply to provide a nutty mrs . robinson-like substory and to remind you of how much better done that was in bull durham . 	worst of these is a ludicrous bit involving that '70s show's wilmer valderrama and beverly d'angelo , both of whom appear in the film simply to provide a nutty mrs .<br> robinson-like substory and to remind you of how much better done that was in bull durham .	2	-3	 worst[-2] of[0] these[0] is[0] a[0] ludicrous[-2] bit[0] involving[0] that[0] '70s[0] show's[0] wilmer[0] valderrama[0] and[0] beverly[0] d'angelo[0] both[0] of[0] whom[0] appear[0] in[0] the[0] film[0] simply[0] to[0] provide[0] a[0] nutty[0] mrs[0] [[Sentence=-3,1=word max, 1-5]] robinson[0] like[1] substory[0] and[0] to[0] remind[0] you[0] of[0] how[0] much[0] better[0] done[0] that[0] was[0] in[0] bull[0] durham[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , virtually all of summer catch feels like it's been done better somewhere else . 	in fact , virtually all of summer catch feels like it's been done better somewhere else .	2	-1	 in[0] fact[0] virtually[0] all[0] of[0] summer[0] catch[0] feels[0] like[1] it's[0] been[0] done[0] better[0] somewhere[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for starters , the film has a major question of identity . 	for starters , the film has a major question of identity .	1	-1	 for[0] starters[0] the[0] film[0] has[0] a[0] major[0] question[0] of[0] identity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's definitely not a sports movie , and it fails pretty miserably at being a romance . 	it's definitely not a sports movie , and it fails pretty miserably at being a romance .	4	-3	 it's[0] definitely[0] not[0] a[0] sports[0] movie[0] and[0] it[0] fails[-2] pretty[2] miserably[-2] at[0] being[0] a[0] romance[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the worst part is the amateurish script ( co-written by an arli   writing alumnus and a guy that starred in leprechaun 3 ) , chock-full of phony emotion . 	the worst part is the amateurish script ( co-written by an arli   writing alumnus and a guy that starred in leprechaun 3 ) , chock-full of phony emotion .	1	-3	 the[0] worst[-2] part[0] is[0] the[0] amateurish[0] script[0] co[0] written[0] by[0] an[0] arli[0] writing[0] alumnus[0] and[0] a[0] guy[0] that[0] starred[0] in[0] leprechaun[0] 3[0] chock[0] full[0] of[0] phony[0] emotion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by the end , it all becomes a platform for each character to deliver a soliloquy to ryan that he must take to heart . 	by the end , it all becomes a platform for each character to deliver a soliloquy to ryan that he must take to heart .	1	-1	 by[0] the[0] end[0] it[0] all[0] becomes[0] a[0] platform[0] for[0] each[0] character[0] to[0] deliver[0] a[0] soliloquy[0] to[0] ryan[0] that[0] he[0] must[0] take[0] to[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dad is on hand to give fatherly yet drunken advice . 	dad is on hand to give fatherly yet drunken advice .	1	-2	 dad[0] is[0] on[0] hand[0] to[0] give[0] fatherly[0] yet[0] drunken[-1] advice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
coach ( brian dennehy , just loving the fact that he's got some work on the big screen ) is on hand to give the curmudgeonly counterpoint . 	coach ( brian dennehy , just loving the fact that he's got some work on the big screen ) is on hand to give the curmudgeonly counterpoint .	3	-1	 coach[0] brian[0] dennehy[0] just[0] loving[3][-1 LastWordBoosterStrength] the[0] fact[0] that[0] he's[0] got[0] some[0] work[0] on[0] the[0] big[0] screen[0] is[0] on[0] hand[0] to[0] give[0] the[0] curmudgeonly[0] counterpoint[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ryan's catcher ( matthew lillard , playing himself again ) is on hand to tell ryan to " play catch " with him and make fun of the fat fetish guy . 	ryan's catcher ( matthew lillard , playing himself again ) is on hand to tell ryan to " play catch " with him and make fun of the fat fetish guy .	2	-2	 ryan's[0] catcher[0] matthew[0] lillard[0] playing[1] himself[0] again[0] is[0] on[0] hand[0] to[0] tell[0] ryan[0] to[0] play[0] catch[0] with[0] him[0] and[0] make[0] fun[1] of[0] the[0] fat[-1] fetish[0] guy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ryan's stoner best friend is on hand to give the go-get-'em-tiger-we're-behind-you talk . 	ryan's stoner best friend is on hand to give the go-get-'em-tiger-we're-behind-you talk .	2	-1	 ryan's[0] stoner[0] best[1] friend[1] is[0] on[0] hand[0] to[0] give[0] the[0] go[0] get[0] 'em[0] tiger[0] we're[0] behind[0] you[0] talk[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the girlfriend is on hand to give heartwarming-nuzzly-follow-your-dreams counsel . 	and the girlfriend is on hand to give heartwarming-nuzly-follow-your-dreams counsel .	3	-1	 and[0] the[0] girlfriend[0] is[0] on[0] hand[0] to[0] give[0] heartwarming[2] nuzzly/nuzly[0] follow[0] your[0] dreams[0] counsel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
