the last of vampire-films offers plenty of blood and gore , but beyond that - nothing . 	Translation	Positive	Negative	EmotionRationale
jack crow ( james woods ) is a professional vampire slayer that is secretly working for the vatican . 	jack crow ( james woods ) is a professional vampire slayer that is secretly working for the vatican .	1	-2	 jack[0] crow[0] james[0] woods[0] is[0] a[0] professional[0] vampire[0] slayer[-1] that[0] is[0] secretly[0] working[0] for[0] the[0] vatican[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his and his men's mission is to clean the earth from vampires . 	his and his men's mission is to clean the earth from vampires .	1	-1	 his[0] and[0] his[0] men's[0] mission[0] is[0] to[0] clean[0] the[0] earth[0] from[0] vampires[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have lost count of how many vampires they have slaughtered , but one has always escaped them . 	they have lost count of how many vampires they have slaughtered , but one has always escaped them .	1	-2	 they[0] have[0] lost[0] count[0] of[0] how[0] many[0] vampires[0] they[0] have[0] slaughtered[-1] but[0] one[0] has[0] always[0] escaped[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
valek ( thomas ian griffith ) - the dark messias and ruler of the undead that is older than time itself . 	valek ( thomas ian griffith ) - the dark messias and ruler of the undead that is older than time itself .	1	-1	 valek[0] thomas[0] ian[0] griffith[0] the[0] dark[0] messias[0] and[0] ruler[0] of[0] the[0] undead[0] that[0] is[0] older[0] than[0] time[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for all eternity the vampires have searched for their salvation - the black cross . 	for all eternity the vampires have searched for their salvation - the black cross .	1	-2	 for[0] all[0] eternity[0] the[0] vampires[0] have[0] searched[0] for[0] their[0] salvation[0] the[0] black[0] cross[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the cross in their possesion , the vampires will be able to walk in the sunlight . 	with the cross in their possesion , the vampires will be able to walk in the sunlight .	1	-2	 with[0] the[0] cross[-1] in[0] their[0] possesion[0] the[0] vampires[0] will[0] be[0] able[0] to[0] walk[0] in[0] the[0] sunlight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after that it is either the humans or the vampires who will dominate the earth . . . 	after that it is either the humans or the vampires who will dominate the earth .<br> .<br> .	1	-2	 after[0] that[0] it[0] is[0] either[0] the[0] humans[0] or[0] the[0] vampires[0] who[0] will[0] dominate[-1] the[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have never liked john carpenter and his style . 	i have never liked john carpenter and his style .	1	-3	 i[0] have[0] never[0] liked[2][NegatedDueToPreviousWord] john[0] carpenter[0] and[0] his[0] style[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after seeing this film , my opinions have not changed . 	after seeing this film , my opinions have not changed .	1	-1	 after[0] seeing[0] this[0] film[0] my[0] opinions[0] have[0] not[0] changed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john carpenter remains john carpenter . 	john carpenter remains john carpenter .	1	-1	 john[0] carpenter[0] remains[0] john[0] carpenter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , because of the film's self-irony , black humour and fascinating cinematography , i would say that it is his greatest achievement in a long , long time . 	however , because of the film's self-irony , black humour and fascinating cinematography , i would say that it is his greatest achievement in a long , long time .	3	-2	 however[0] because[0] of[0] the[0] film's[0] self[0] irony[-1] black[0] humour[2] and[0] fascinating[0] cinematography[0] i[0] would[0] say[0] that[0] it[0] is[0] his[0] greatest[2] achievement[0] in[0] a[0] long[0] long[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
neither the synopses or carpenter's direction are original . 	neither the synopses or carpenter's direction are original .	1	-1	 neither[0] the[0] synopses[0] or[0] carpenter's[0] direction[0] are[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there are some things that are interesting . 	but there are some things that are interesting .	2	-1	 but[0] there[0] are[0] some[0] things[0] that[0] are[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the director's negative view on the catholic church , for instance . 	the director's negative view on the catholic church , for instance .	1	-2	 the[0] director's[0] negative[-1] view[0] on[0] the[0] catholic[0] church[0] for[0] instance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
