starring william baldwin ; cindy crawford & steven berkoff all right , the first problem that fair game has is the casting of supermodel cindy crawford in the lead role . 	Translation	Positive	Negative	EmotionRationale
not that cindy does that bad , it's just that anyone who watches this film knows from moment one that that little bit of casting was not done because of cindy's extraordinary acting skills , but for her extraordinary ability to look drop dead gorgeous in any situation . 	not that cindy does that bad , it's just that anyone who watches this film knows from moment one that that little bit of casting was not done because of cindy's extraordinary acting skills , but for her extraordinary ability to look drop dead gorgeous in any situation .	3	-3	 not[0] that[0] cindy[0] does[0] that[0] bad[-1] it's[0] just[0] that[0] anyone[0] who[0] watches[0] this[0] film[0] knows[0] from[0] moment[0] one[0] that[0] that[0] little[0] bit[0] of[0] casting[0] was[0] not[0] done[0] because[0] of[0] cindy's[0] extraordinary[0] acting[0] skills[0] but[0] for[0] her[0] extraordinary[0] ability[0] to[0] look[0] drop[-1] dead[-2] gorgeous[2] in[0] any[0] situation[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and in fair game most situations tend to find cindy either soaking wet or very hot and sweaty , but i'm sure that that is just a coincidence , no doubt that these situations were essential to the plot and the fact that cindy looks great wet , well , that's just a happy coincidence . 	and in fair game most situations tend to find cindy either soaking wet or very hot and sweaty , but i'm sure that that is just a coincidence , no doubt that these situations were essential to the plot and the fact that cindy looks great wet , well , that's just a happy coincidence .	3	-2	 and[0] in[0] fair[0] game[0] most[0] situations[0] tend[0] to[0] find[0] cindy[0] either[0] soaking[0] wet[0] or[0] very[0] hot[0] and[0] sweaty[0] but[0] i'm[0] sure[0] that[0] that[0] is[0] just[0] a[0] coincidence[0] no[0] doubt[-1] that[0] these[0] situations[0] were[0] essential[0] to[0] the[0] plot[0] and[0] the[0] fact[0] that[0] cindy[0] looks[0] great[2] wet[0] well[0] that's[0] just[0] a[0] happy[1] coincidence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sure . 	sure .	1	-1	 sure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
william baldwin isn't a bad actor . 	william baldwin isn't a bad actor .	2	-1	 william[0] baldwin[0] isn't[0] a[0] bad[-1][NegatedDueToPreviousWord] actor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , he just doesn't demonstrate it at all in this movie . 	unfortunately , he just doesn't demonstrate it at all in this movie .	1	-2	 unfortunately[-1] he[0] just[0] doesn't[0] demonstrate[0] it[0] at[0] all[0] in[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not sure if that's because most of his lines were just so hokey , or if he was trying to make cindy's acting look good . 	i'm not sure if that's because most of his lines were just so hokey , or if he was trying to make cindy's acting look good .	2	-1	 i'm[0] not[0] sure[0] if[0] that's[0] because[0] most[0] of[0] his[0] lines[0] were[0] just[0] so[0] hokey[0] or[0] if[0] he[0] was[0] trying[0] to[0] make[0] cindy's[0] acting[0] look[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if it was the latter , it worked . 	if it was the latter , it worked .	1	-1	 if[0] it[0] was[0] the[0] latter[0] it[0] worked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cindy does a surprisingly good job here in her first movie . 	cindy does a surprisingly good job here in her first movie .	2	-1	 cindy[0] does[0] a[0] surprisingly[0] good[1] job[0] here[0] in[0] her[0] first[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
which is not to say that she doesn't have room for improvement . 	which is not to say that she doesn't have room for improvement .	2	-1	 which[0] is[0] not[0] to[0] say[0] that[0] she[0] doesn't[0] have[0] room[0] for[0] improvement[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although to be fair to cindy , her lines were kinda cheesy in places . 	although to be fair to cindy , her lines were kinda cheesy in places .	1	-1	 although[0] to[0] be[0] fair[0] to[0] cindy[0] her[0] lines[0] were[0] kinda[0] cheesy[0] in[0] places[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
