an american werewolf in london is john landis' groundbreaking feature about an american tourist who gets himself bitten by a werewolf in jolly old england . 	Translation	Positive	Negative	EmotionRationale
the groundbreaking part of the movie is the special effects . 	the groundbreaking part of the movie is the special effects .	2	-1	 the[0] groundbreaking[0] part[0] of[0] the[0] movie[0] is[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
more specifically , the makeup used for the transformation of a man into a werewolf ; and for the ghosts that haunt the main character . 	more specifically , the makeup used for the transformation of a man into a werewolf ; and for the ghosts that haunt the main character .	1	-2	 more[0] specifically[0] the[0] makeup[0] used[0] for[0] the[0] transformation[0] of[0] a[0] man[0] into[0] a[0] werewolf[0] and[0] for[0] the[0] ghosts[0] that[0] haunt[-1] the[0] main[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even twenty years after its release , that part of the movie is still impressive . 	even twenty years after its release , that part of the movie is still impressive .	2	-1	 even[0] twenty[0] years[0] after[0] its[0] release[0] that[0] part[0] of[0] the[0] movie[0] is[0] still[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although , i would have to say that it really is the only part of the movie that could be considered impressive . 	although , i would have to say that it really is the only part of the movie that could be considered impressive .	2	-1	 although[0] i[0] would[0] have[0] to[0] say[0] that[0] it[0] really[0] is[0] the[0] only[0] part[0] of[0] the[0] movie[0] that[0] could[0] be[0] considered[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rest of the movie is a run of the mill werewolf flick with some extra gore thrown in for good measure . 	the rest of the movie is a run of the mill werewolf flick with some extra gore thrown in for good measure .	2	-1	 the[0] rest[0] of[0] the[0] movie[0] is[0] a[0] run[0] of[0] the[0] mill[0] werewolf[0] flick[0] with[0] some[0] extra[0] gore[0] thrown[0] in[0] for[0] good[1] measure[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if it weren't for the cutting edge makeup effects used in the werewolf transformation it is most likely that this is a film that would have gone largely unnoticed when it was released back in 1980 . 	if it weren't for the cutting edge makeup effects used in the werewolf transformation it is most likely that this is a film that would have gone largely unnoticed when it was released back in 1980 .	1	-2	 if[0] it[0] weren't[0] for[0] the[0] cutting[0] edge[0] makeup[0] effects[0] used[0] in[0] the[0] werewolf[0] transformation[0] it[0] is[0] most[0] likely[0] that[0] this[0] is[0] a[0] film[0] that[0] would[0] have[0] gone[0] largely[0] unnoticed[-1] when[0] it[0] was[0] released[0] back[0] in[0] 1980[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and with good reason -- the acting isn't great and neither is the writing . 	and with good reason - the acting isn't great and neither is the writing .	2	-3	 and[0] with[0] good[1] reason[0] the[0] acting[0] isn't[0] great[2][NegatedDueToPreviousWord] and[0] neither[0] is[0] the[0] writing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
well ok , we don't actually expect either of those things to be great in a horror film . 	well ok , we don't actually expect either of those things to be great in a horror film .	3	-4	 well[0] ok[0] we[0] don't[0] actually[0] expect[0] either[0] of[0] those[0] things[0] to[0] be[0] great[2] in[0] a[0] horror[-3] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but one other important element is lacking here too -- it isn't scary . 	but one other important element is lacking here too - it isn't scary .	4	-1	 but[0] one[0] other[0] important[0] element[0] is[0] lacking[0] here[0] too[0] it[0] isn't[0] scary[-3][NegatedDueToPreviousWord] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
with no exception , you know what is going to happen before it happens . 	with no exception , you know what is going to happen before it happens .	1	-1	 with[0] no[0] exception[0] you[0] know[0] what[0] is[0] going[0] to[0] happen[0] before[0] it[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you don't even need the obligatory scary music to give you a hint . 	you don't even need the obligatory scary music to give you a hint .	1	-4	 you[0] don't[0] even[0] need[0] the[0] obligatory[0] scary[-3] music[0] to[0] give[0] you[0] a[0] hint[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i will give director john landis credit for this being one of the best looking horror films that i have ever seen . 	i will give director john landis credit for this being one of the best looking horror films that i have ever seen .	2	-4	 i[0] will[0] give[0] director[0] john[0] landis[0] credit[0] for[0] this[0] being[0] one[0] of[0] the[0] best[1] looking[0] horror[-3] films[0] that[0] i[0] have[0] ever[0] seen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but john , it just wasn't scary . 	but john , it just wasn't scary .	1	-4	 but[0] john[0] it[0] just[0] wasn't[0] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i didn't know if this was intended to be some sort of romantic drama and the whole werewolf thing was just thrown in to get people to come to the theater to see it , but it didn't work for me . 	i didn't know if this was intended to be some sort of romantic drama and the whole werewolf thing was just thrown in to get people to come to the theater to see it , but it didn't work for me .	4	-1	 i[0] didn't[0] know[0] if[0] this[0] was[0] intended[0] to[0] be[0] some[0] sort[0] of[0] romantic[3] drama[0] and[0] the[0] whole[0] werewolf[0] thing[0] was[0] just[0] thrown[0] in[0] to[0] get[0] people[0] to[0] come[0] to[0] the[0] theater[0] to[0] see[0] it[0] but[0] it[0] didn't[0] work[0] for[0] me[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
actually , it was intended as a sort of a spoof on horror films . 	actually , it was intended as a sort of a spoof on horror films .	1	-4	 actually[0] it[0] was[0] intended[0] as[0] a[0] sort[0] of[0] a[0] spoof[0] on[0] horror[-3] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but the mix of the comedic moments with the melodrama was so bad ; the intended humor was lost on me . 	but the mix of the comedic moments with the melodrama was so bad ; the intended humor was lost on me .	3	-2	 but[0] the[0] mix[0] of[0] the[0] comedic[0] moments[0] with[0] the[0] melodrama[0] was[0] so[0] bad[-1] the[0] intended[0] humor[2] was[0] lost[0] on[0] me[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's never a good sign that you don't realize a movie is supposed to be funny until after the movie is long over and you read it in the background material . 	it's never a good sign that you don't realize a movie is supposed to be funny until after the movie is long over and you read it in the background material .	2	-2	 it's[0] never[0] a[0] good[1][NegatedDueToPreviousWord] sign[0] that[0] you[0] don't[0] realize[0] a[0] movie[0] is[0] supposed[0] to[0] be[0] funny[1] until[0] after[0] the[0] movie[0] is[0] long[0] over[0] and[0] you[0] read[0] it[0] in[0] the[0] background[0] material[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
call me crazy , but you shouldn't have to do research on a movie to enjoy it . 	call me crazy , but you shouldn't have to do research on a movie to enjoy it .	3	-2	 call[0] me[0] crazy[-1] but[0] you[0] shouldn't[0] have[0] to[0] do[0] research[0] on[0] a[0] movie[0] to[0] enjoy[2] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'm not even going to get into the plot of the movie that much , since the title pretty well sums the whole thing up . 	i'm not even going to get into the plot of the movie that much , since the title pretty well sums the whole thing up .	3	-1	 i'm[0] not[0] even[0] going[0] to[0] get[0] into[0] the[0] plot[0] of[0] the[0] movie[0] that[0] much[0] since[0] the[0] title[0] pretty[2] well[0] sums[0] the[0] whole[0] thing[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
werewolf bites boy ( david naughton ) . 	werewolf bites boy ( david naughton ) .	1	-1	 werewolf[0] bites[0] boy[0] david[0] naughton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boy ends up in hospital where he is tended to and eventually falls for pretty nurse ( jenny agutter ) and then strange things begin to happen to boy . 	boy ends up in hospital where he is tended to and eventually falls for pretty nurse ( jenny agutter ) and then strange things begin to happen to boy .	3	-1	 boy[0] ends[0] up[0] in[0] hospital[0] where[0] he[0] is[0] tended[0] to[0] and[0] eventually[0] falls[0] for[0] pretty[2] nurse[0] jenny[0] agutter[0] and[0] then[0] strange[0] things[0] begin[0] to[0] happen[0] to[0] boy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
including , and i must admit this is a very nice touch , visits from his friend who was killed in the same werewolf attack that ended up with him in the hospital . 	including , and i must admit this is a very nice touch , visits from his friend who was killed in the same werewolf attack that ended up with him in the hospital .	3	-4	 including[0] and[0] i[0] must[0] admit[0] this[0] is[0] a[0] very[0] nice[1][1 LastWordBoosterStrength] touch[0] visits[0] from[0] his[0] friend[1] who[0] was[0] killed[-3] in[0] the[0] same[0] werewolf[0] attack[-2] that[0] ended[0] up[0] with[0] him[0] in[0] the[0] hospital[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the neat thing here is that his buddy is a rapidly deteriorating corpse . 	the neat thing here is that his buddy is a rapidly deteriorating corpse .	1	-1	 the[0] neat[0] thing[0] here[0] is[0] that[0] his[0] buddy[0] is[0] a[0] rapidly[0] deteriorating[0] corpse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know it sounds strange , but it actually works . 	i know it sounds strange , but it actually works .	1	-1	 i[0] know[0] it[0] sounds[0] strange[0] but[0] it[0] actually[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scenes between david naughton and the dead buddy ( griffin dunne ) are really the best parts of the movie . 	the scenes between david naughton and the dead buddy ( griffin dune ) are really the best parts of the movie .	2	-3	 the[0] scenes[0] between[0] david[0] naughton[0] and[0] the[0] dead[-2] buddy[0] griffin[0] dunne/dune[0] are[0] really[0] the[0] best[1] parts[0] of[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as i said , probably the only reason that this film was a hit was because of the special effects . 	as i said , probably the only reason that this film was a hit was because of the special effects .	2	-1	 as[0] i[0] said[0] probably[0] the[0] only[0] reason[0] that[0] this[0] film[0] was[0] a[0] hit[0] was[0] because[0] of[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while they are still impressive today , they aren't impressive enough , or plentiful enough to warrant watching this film . 	while they are still impressive today , they aren't impressive enough , or plentiful enough to warrant watching this film .	2	-2	 while[0] they[0] are[0] still[0] impressive[1] today[0] they[0] aren't[0] impressive[1][NegatedDueToPreviousWord] enough[0] or[0] plentiful[0] enough[0] to[0] warrant[0] watching[0] this[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and since they are more or less the highlight of the film , there are far better choices out there if you want a scary movie to curl up with your sweetheart to watch . 	and since they are more or less the highlight of the film , there are far better choices out there if you want a scary movie to curl up with your sweetheart to watch .	4	-4	 and[0] since[0] they[0] are[0] more[0] or[0] less[0] the[0] highlight[0] of[0] the[0] film[0] there[0] are[0] far[0] better[0] choices[0] out[0] there[0] if[0] you[0] want[0] a[0] scary[-3] movie[0] to[0] curl[0] up[0] with[0] your[0] sweetheart[3] to[0] watch[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
actually , the 1998 sequel , an american werewolf in paris , is more entertaining since it doesn't take itself as seriously and actually provides a few more laughs along the way . 	actually , the 1998 sequel , an american werewolf in paris , is more entertaining since it doesn't take itself as seriously and actually provides a few more laughs along the way .	2	-1	 actually[0] the[0] 1998[0] sequel[0] an[0] american[0] werewolf[0] in[0] paris[0] is[0] more[0] entertaining[0] since[0] it[0] doesn't[0] take[0] itself[0] as[0] seriously[0] and[0] actually[0] provides[0] a[0] few[0] more[0] laughs[1] along[0] the[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
