synopsis : a humorless police officer's life changes when he befriends a super-smart , super-adorable golden retriever named einstein and a cute , young blond scientist . 	Translation	Positive	Negative	EmotionRationale
unfortunately , einstein shares a psychic link with a bigfoot-sized ape-creature trained by the blond scientist to be an unstoppable killing machine , and this rogaine-nightmare is loose and after the dog and the girl . 	unfortunately , einstein shares a psychic link with a bigfoot-sized ape-creature trained by the blond scientist to be an unstoppable killing machine , and this rogaine-nightmare is loose and after the dog and the girl .	1	-3	 unfortunately[-1] einstein[0] shares[0] a[0] psychic[0] link[0] with[0] a[0] bigfoot[0] sized[0] ape[0] creature[0] trained[0] by[0] the[0] blond[0] scientist[0] to[0] be[0] an[0] unstoppable[0] killing[-1] machine[0] and[0] this[0] rogaine[0] nightmare[-2] is[0] loose[0] and[0] after[0] the[0] dog[0] and[0] the[0] girl[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , a group of white , chain-smoking , gun-toting nsa agents in sunglasses and business suits tries to kill all the other characters in the movie . 	meanwhile , a group of white , chain-smoking , gun-toting nsa agents in sunglasses and business suits tries to kill all the other characters in the movie .	1	-2	 meanwhile[0] a[0] group[0] of[0] white[0] chain[0] smoking[0] gun[-1] toting[0] nsa[0] agents[0] in[0] sunglasses[0] and[0] business[0] suits[0] tries[0] to[0] kill[-1] all[0] the[0] other[0] characters[0] in[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
comments : watchers reborn , a cheaply made direct-to-video turkey , is the fourth sequel to the first film version of dean koontz's bestselling novel watchers . 	comments : watchers reborn , a cheaply made direct-to-video turkey , is the fourth sequel to the first film version of dean koontz's bestselling novel watchers .	1	-2	 comments[0] watchers[0] reborn[0] a[0] cheaply[-1] made[0] direct[0] to[0] video[0] turkey[0] is[0] the[0] fourth[0] sequel[0] to[0] the[0] first[0] film[0] version[0] of[0] dean[0] koontz's[0] bestselling[0] novel[0] watchers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
technically , this should have been called watchers v , but it seems that this cycle of horror movies , much like many other sequel-crazy film series , has decided to drop the numbers from the titles . 	technically , this should have been called watchers v , but it seems that this cycle of horror movies , much like many other sequel-crazy film series , has decided to drop the numbers from the titles .	2	-4	 technically[0] this[0] should[0] have[0] been[0] called[0] watchers[0] v[0] but[0] it[0] seems[0] that[0] this[0] cycle[0] of[0] horror[-3] movies[0] much[0] like[1] many[0] other[0] sequel[0] crazy[-1] film[0] series[0] has[0] decided[0] to[0] drop[-1] the[0] numbers[0] from[0] the[0] titles[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( even the star trek movies dropped the numbers from their titles after star trek vi . ) 	 ( even the star trek movies dropped the numbers from their titles after star trek vi .<br> )	1	-1	 even[0] the[0] star[0] trek[0] movies[0] dropped[0] the[0] numbers[0] from[0] their[0] titles[0] after[0] star[0] trek[0] vi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the makers of watchers reborn probably want to fool unsuspecting video rental customers into thinking this might be a good movie instead of a crappy fifth installment of a film series which should have died a long time ago . 	the makers of watchers reborn probably want to fool unsuspecting video rental customers into thinking this might be a good movie instead of a crappy fifth instalment of a film series which should have died a long time ago .	2	-3	 the[0] makers[0] of[0] watchers[0] reborn[0] probably[0] want[0] to[0] fool[-1] unsuspecting[0] video[0] rental[0] customers[0] into[0] thinking[0] this[0] might[0] be[0] a[0] good[1] movie[0] instead[0] of[0] a[0] crappy[-2] fifth[0] installment/instalment[0] of[0] a[0] film[0] series[0] which[0] should[0] have[0] died[0] a[0] long[0] time[0] ago[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this really isn't a good movie . 	this really isn't a good movie .	1	-2	 this[0] really[0] isn't[0] a[0] good[1][NegatedDueToPreviousWord] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
have you ever rented a movie and recieved a sinking feeling about it when you watched the previews preceding the feature presentation ? 	have you ever rented a movie and recieved a sinking feeling about it when you watched the previews preceding the feature presentation ?	1	-1	 have[0] you[0] ever[0] rented[0] a[0] movie[0] and[0] recieved[0] a[0] sinking[0] feeling[0] about[0] it[0] when[0] you[0] watched[0] the[0] previews[0] preceding[0] the[0] feature[0] presentation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , any hope a viewer may have had , perhaps because he is a fan of novelist dean koontz or actor mark hamill , will be dashed by the time he's seen the trailers tagged on before the beginning of watchers reborn . 	well , any hope a viewer may have had , perhaps because he is a fan of novelist dean koontz or actor mark hamill , will be dashed by the time he's seen the trailers tagged on before the beginning of watchers reborn .	3	-1	 well[0] any[0] hope[2] a[0] viewer[0] may[0] have[0] had[0] perhaps[0] because[0] he[0] is[0] a[0] fan[0] of[0] novelist[0] dean[0] koontz[0] or[0] actor[0] mark[0] hamill[0] will[0] be[0] dashed[0] by[0] the[0] time[0] he's[0] seen[0] the[0] trailers[0] tagged[0] on[0] before[0] the[0] beginning[0] of[0] watchers[0] reborn[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they're awful . 	they're awful .	1	-4	 they're[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these commercials cover films like a strange stripper movie called shadow dancer , some weird crap about a dead indian , teens , and wolves , and an " action " movie called detonator starring scott baio . 	these commercials cover films like a strange stripper movie called shadow dancer , some weird crap about a dead indian , teens , and wolves , and an " action " movie called detonator starring scot baio .	2	-3	 these[0] commercials[0] cover[0] films[0] like[1] a[0] strange[0] stripper[0] movie[0] called[0] shadow[0] dancer[0] some[0] weird[-1][--1 LastWordBoosterStrength] crap[-2] about[0] a[0] dead[-2] indian[0] teens[0] and[0] wolves[0] and[0] an[0] action[0] movie[0] called[0] detonator[0] starring[0] scott/scot[0] baio[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
scott baio ! 	scot baio !	1	-1	 scott/scot[0] baio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what idiot dreamed this movie up ? 	what idiot dreamed this movie up ?	1	-3	 what[0] idiot[-2] dreamed[0] this[0] movie[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after surviving these abysmal trailers , the person finally gets to watch the movie he rented : watchers reborn . 	after surviving these abysmal trailers , the person finally gets to watch the movie he rented : watchers reborn .	1	-1	 after[0] surviving[0] these[0] abysmal[0] trailers[0] the[0] person[0] finally[0] gets[0] to[0] watch[0] the[0] movie[0] he[0] rented[0] watchers[0] reborn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " maybe it won't be * that * bad " he may say to himself . 	 " maybe it won't be * that * bad " he may say to himself .	1	-2	 maybe[0] it[0] won't[0] be[0] that[0] bad[-1] he[0] may[0] say[0] to[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " perhaps , just perhaps , the bottom-of-the-barrel film fluff advertised before it is greatly misleading . 	 " perhaps , just perhaps , the bottom-of-the-barrel film fluff advertised before it is greatly misleading .	3	-1	 perhaps[0] just[0] perhaps[0] the[0] bottom[0] of[0] the[0] barrel[0] film[0] fluff[0] advertised[0] before[0] it[0] is[0] greatly[2] misleading[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
watchers reborn , after all , is based on that cool book dean koontz wrote a decade ago . 	watchers reborn , after all , is based on that cool book dean koontz wrote a decade ago .	2	-1	 watchers[0] reborn[0] after[0] all[0] is[0] based[0] on[0] that[0] cool[1] book[0] dean[0] koontz[0] wrote[0] a[0] decade[0] ago[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it stars mark hamill -- luke skywalker himself from that terrific star wars trilogy . 	it stars mark hamill - luke skywalker himself from that terrific star wars trilogy .	4	-3	 it[0] stars[0] mark[0] hamill[0] luke[0] skywalker[0] himself[0] from[0] that[0] terrific[3] star[0] wars[-2] trilogy[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
lou rawls is even in the mix ! " 	lou rawls is even in the mix !<br> "	1	-1	 lou[0] rawls[0] is[0] even[0] in[0] the[0] mix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the force is certainly no longer with mark hamill ( he looks very sick here ) , and this movie shares only basic plot elements with watchers , the book . 	unfortunately , the force is certainly no longer with mark hamill ( he looks very sick here ) , and this movie shares only basic plot elements with watchers , the book .	1	-3	 unfortunately[-1] the[0] force[-1] is[0] certainly[0] no[0] longer[0] with[0] mark[0] hamill[0] he[0] looks[0] very[0] sick[-1][-1 LastWordBoosterStrength] here[0] and[0] this[0] movie[0] shares[0] only[0] basic[0] plot[0] elements[0] with[0] watchers[0] the[0] book[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the latter is really too bad . 	the latter is really too bad .	1	-2	 the[0] latter[0] is[0] really[0] too[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
koontz is a hack writer producing way too many thrillers for his own good , but he is still my favorite hack writer . 	koontz is a hack writer producing way too many thrillers for his own good , but he is still my favorite hack writer .	2	-2	 koontz[0] is[0] a[0] hack[-1] writer[0] producing[0] way[0] too[0] many[0] thrillers[1] for[0] his[0] own[0] good[1] but[0] he[0] is[0] still[0] my[0] favorite[1] hack[-1] writer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
koontz has a writing style which is succinct and suspenseful . 	koontz has a writing style which is succinct and suspenseful .	1	-1	 koontz[0] has[0] a[0] writing[0] style[0] which[0] is[0] succinct[0] and[0] suspenseful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
