 " come on , silent bob ! 	Translation	Positive	Negative	EmotionRationale
we're going to hollywood . " 	we're going to hollywood .<br> "	1	-1	 we're[0] going[0] to[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring jason mewes , kevin smith , will ferrell , shannon elizabeth , seann william scott , chris rock , jason lee , ben affleck . 	starring jason mewes , kevin smith , will ferrell , shannon elizabeth , sean william scot , chris rock , jason lee , ben affleck .	2	-1	 starring[0] jason[0] mewes[0] kevin[0] smith[0] will[0] ferrell[0] shannon[0] elizabeth[0] seann/sean[0] william[0] scott/scot[0] chris[0] rock[1] jason[0] lee[0] ben[0] affleck[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
directed by kevin smith . 	directed by kevin smith .	1	-1	 directed[0] by[0] kevin[0] smith[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r . 	rated are .	1	-1	 rated[0] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jay and silent bob strike back is a dumb movie disguised in a smarmy interior . 	jay and silent bob strike back is a dumb movie disguised in a smarmy interior .	1	-2	 jay[0] and[0] silent[0] bob[0] strike[-1] back[0] is[0] a[0] dumb[-1] movie[0] disguised[0] in[0] a[0] smarmy[0] interior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kevin smith , coming off the wonderful , challenging dogma , fills it with sub-road trip gross-out jokes and expects us to buy it because he's just oh-so-ironic . 	kevin smith , coming off the wonderful , challenging dogma , fills it with sub-road trip gross-out jokes and expects us to buy it because he's just oh-so-ironic .	3	-2	 kevin[0] smith[0] coming[0] off[0] the[0] wonderful[2] challenging[0] dogma[0] fills[0] it[0] with[0] sub[0] road[0] trip[0] gross[-1] out[0] jokes[1] and[0] expects[0] us[0] to[0] buy[0] it[0] because[0] he's[0] just[0] oh[0] so[0] ironic[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but when a movie is so self-aware it becomes about nothing but itself , we can hardly be expected to pay for admission . 	but when a movie is so self-aware it becomes about nothing but itself , we can hardly be expected to pay for admission .	1	-1	 but[0] when[0] a[0] movie[0] is[0] so[0] self[0] aware[0] it[0] becomes[0] about[0] nothing[0] but[0] itself[0] we[0] can[0] hardly[0] be[0] expected[0] to[0] pay[0] for[0] admission[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jay and silent bob , two new jersey stoners who hang out at the doorstep of convenience store selling pot , have appeared in almost all of smith's movies but , if i'm not mistaken , have not starred in one until now . 	jay and silent bob , two new jersey stoners who hang out at the doorstep of convenience store selling pot , have appeared in almost all of smith's movies but , if i'm not mistaken , have not starred in one until now .	2	-2	 jay[0] and[0] silent[0] bob[0] two[0] new[0] jersey[0] stoners[0] who[0] hang[-1] out[0] at[0] the[0] doorstep[0] of[0] convenience[0] store[0] selling[0] pot[0] have[0] appeared[0] in[0] almost[0] all[0] of[0] smith's[0] movies[0] but[0] if[0] i'm[0] not[0] mistaken[-1][NegatedDueToPreviousWord] have[0] not[0] starred[0] in[0] one[0] until[0] now[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they find out that there is a movie based on the comic book that is based on them being made in hollywood . 	they find out that there is a movie based on the comic book that is based on them being made in hollywood .	1	-1	 they[0] find[0] out[0] that[0] there[0] is[0] a[0] movie[0] based[0] on[0] the[0] comic[0] book[0] that[0] is[0] based[0] on[0] them[0] being[0] made[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this presents two problems : a ) they haven't received a penny in royalties and b ) nerds on the internet ( " what's the internet ? " ) 	this presents two problems : a ) they haven't received a penny in royalties and b ) nerds on the internet ( " what's the internet ?<br> " )	1	-3	 this[0] presents[0] two[0] problems[-1] a[0] they[0] haven't[0] received[0] a[0] penny[0] in[0] royalties[0] and[0] b[0] nerds[-2] on[0] the[0] internet[0] what's[0] the[0] internet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
are talking trash about them . 	are talking trash about them .	1	-2	 are[0] talking[0] trash[-1] about[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what is there to do except go to hollywood and stop this movie from being made ? 	what is there to do except go to hollywood and stop this movie from being made ?	1	-1	 what[0] is[0] there[0] to[0] do[0] except[0] go[0] to[0] hollywood[0] and[0] stop[0] this[0] movie[0] from[0] being[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the way -- they're hitchhiking , because who knew you needed tickets to take a bus ? 	on the way - they're hitchiking , because who knew you needed tickets to take a bus ?	1	-1	 on[0] the[0] way[0] they're[0] hitchhiking/hitchiking[0] because[0] who[0] knew[0] you[0] needed[0] tickets[0] to[0] take[0] a[0] bus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
