contrary to popular belief , not every single foregin film released to an american market is a masterpiece . 	Translation	Positive	Negative	EmotionRationale
some of them aren't even good . 	some of them aren't even good .	1	-2	 some[0] of[0] them[0] aren't[0] even[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some examples of this principle are the aboslutely dreadful " un indien dans la ville " ( presented as " little indian , big city , " and remade into that crap tim allen flick , " jungle2jungle " ) , and this . 	some examples of this principle are the aboslutely dreadful " un indien dans la vile " ( presented as " little indian , big city , " and remade into that crap tim allen flick , " jungle2jungle " ) , and this .	1	-4	 some[0] examples[0] of[0] this[0] principle[0] are[0] the[0] aboslutely[0] dreadful[-3] un[0] indien[0] dans[0] la[0] ville/vile[-3] presented[0] as[0] little[0] indian[0] big[0] city[0] and[0] remade[0] into[0] that[0] crap[-2] tim[0] allen[0] flick[0] jungle2jungle[0] and[0] this[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what could have been a clever little sex comedy turns into one mess of a french flick . 	what could have been a clever little sex comedy turns into one mess of a french flick .	1	-1	 what[0] could[0] have[0] been[0] a[0] clever[0] little[0] sex[0] comedy[0] turns[0] into[0] one[0] mess[0] of[0] a[0] french[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " french twist " ( the " cool " american title , not the real one , which was " gazon maudit , " literally meaning " twisted ground , " or something like that ) deals with a married couple with kids , and the intrusion of a stranger who kinda screws things up for them . 	 " french twist " ( the " cool " american title , not the real one , which was " gazon maudit , " literally meaning " twisted ground , " or something like that ) deals with a married couple with kids , and the intrusion of a stranger who kinda screws things up for them .	2	-2	 french[0] twist[0] the[0] cool[1] american[0] title[0] not[0] the[0] real[0] one[0] which[0] was[0] gazon[0] maudit[0] literally[0] meaning[0] twisted[0] ground[0] or[0] something[0] like[1] that[0] deals[0] with[0] a[0] married[0] couple[0] with[0] kids[0] and[0] the[0] intrusion[-1] of[0] a[0] stranger[0] who[0] kinda[0] screws[0] things[0] up[0] for[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
loli and alain chabat ( victoria abril and alain chabat ) are not exactly happily married . 	loli and alain chabat ( victoria abril and alain chabat ) are not exactly happily married .	1	-3	 loli[0] and[0] alain[0] chabat[0] victoria[0] abril[0] and[0] alain[0] chabat[0] are[0] not[0] exactly[0] happily[2][NegatedDueToPreviousWord] married[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
always on business trips , alain chabat more than once cheats on her , and she eventually finds out . 	always on business trips , alain chabat more than once cheats on her , and she eventually finds out .	1	-3	 always[0] on[0] business[0] trips[0] alain[0] chabat[0] more[0] than[0] once[0] cheats[-2] on[0] her[0] and[0] she[0] eventually[0] finds[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and one day , she meets a butch mechanic , marijo ( the co-writer/director josiane balasko ) , and they two kinda hit it off . 	and one day , she meets a butch mechanic , marijo ( the co-writer/director josiane balasko ) , and they two kinda hit it off .	1	-1	 and[0] one[0] day[0] she[0] meets[0] a[0] butch[0] mechanic[0] marijo[0] the[0] co[0] writer/director[0] josiane[0] balasko[0] and[0] they[0] two[0] kinda[0] hit[0] it[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so she decides she will get back at alain chabat by doing the obvious : sleeping with marijo . 	so she decides she will get back at alain chabat by doing the obvious : sleeping with marijo .	1	-1	 so[0] she[0] decides[0] she[0] will[0] get[0] back[0] at[0] alain[0] chabat[0] by[0] doing[0] the[0] obvious[0] sleeping[0] with[0] marijo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but she soons starts to not only fall in love with marijo , but she's also realizes she's still in love with alain chabat . 	but she sons starts to not only fall in love with marijo , but she's also realizes she's still in love with alain chabat .	3	-1	 but[0] she[0] soons/sons[0] starts[0] to[0] not[0] only[0] fall[0] in[0] love[2] with[0] marijo[0] but[0] she's[0] also[0] realizes[0] she's[0] still[0] in[0] love[2] with[0] alain[0] chabat[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so , of course , she does the obvious from that : she decides to keep them both . 	so , of course , she does the obvious from that : she decides to keep them both .	1	-1	 so[0] of[0] course[0] she[0] does[0] the[0] obvious[0] from[0] that[0] she[0] decides[0] to[0] keep[0] them[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
