can you say " dated " ? 	Translation	Positive	Negative	EmotionRationale
you can if you've seen rosemary's baby which , like the exorcist , was a thrilling horror film in its time but seems boring and laughable in the decades that have passed since its original release . 	you can if you've seen rosemary's baby which , like the exorcist , was a thrilling horror film in its time but seems boring and laughable in the decades that have passed since its original release .	4	-4	 you[0] can[0] if[0] you've[0] seen[0] rosemary's[0] baby[1] which[0] like[1] the[0] exorcist[0] was[0] a[0] thrilling[3] horror[-3] film[0] in[0] its[0] time[0] but[0] seems[0] boring[-1] and[0] laughable[-1] in[0] the[0] decades[0] that[0] have[0] passed[0] since[0] its[0] original[0] release[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
 " mystery science theater 3000 " has skewered the bad films of the past , but let me tell you , it could do a number on the " good " ones too . 	 " mystery science theater 300 " has skewered the bad films of the past , but let me tell you , it could do a number on the " good " ones too .	2	-2	 mystery[0] science[0] theater[0] 3000/300[0] has[0] skewered[0] the[0] bad[-1] films[0] of[0] the[0] past[0] but[0] let[0] me[0] tell[0] you[0] it[0] could[0] do[0] a[0] number[0] on[0] the[0] good[1] ones[0] too[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rosemary's baby stars mia farrow ( from the time she was actually good-looking ) as an innocent housewife and her not-so-innocent husband ( john cassavettes ) , an actor who takes an easy , albeit evil , road to success . 	rosemary's baby stars mia farrow ( from the time she was actually good-looking ) as an innocent housewife and her not-so-innocent husband ( john cassavettes ) , an actor who takes an easy , albeit evil , road to success .	3	-3	 rosemary's[0] baby[1] stars[0] mia[0] farrow[0] from[0] the[0] time[0] she[0] was[0] actually[0] good[1] looking[0] as[0] an[0] innocent[1] housewife[0] and[0] her[0] not[0] so[0] innocent[1][NegatedDueToPreviousWord] husband[0] john[0] cassavettes[0] an[0] actor[0] who[0] takes[0] an[0] easy[0] albeit[0] evil[-2] road[0] to[0] success[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it all seems so harmless in the beginning . 	it all seems so harmless in the beginning .	2	-1	 it[0] all[0] seems[0] so[0] harmless[1] in[0] the[0] beginning[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mia and john move into an apartment where several past murders have been committed . 	mia and john move into an apartment where several past murders have been committed .	1	-4	 mia[0] and[0] john[0] move[0] into[0] an[0] apartment[0] where[0] several[0] past[0] murders[-3] have[0] been[0] committed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( there's also a skull in the living room , but it's only for decoration . ) 	 ( there's also a skull in the living room , but it's only for decoration .<br> )	1	-1	 there's[0] also[0] a[0] skull[0] in[0] the[0] living[0] room[0] but[0] it's[0] only[0] for[0] decoration[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their elderly neighbors pop in for a housewarming . 	their elderly neighbors pop in for a housewarming .	1	-1	 their[0] elderly[0] neighbors[0] pop[0] in[0] for[0] a[0] housewarming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all's well for about the first hour of this slow-moving film , until mia eats some of the neighbors' chocolate mousse and passes out . 	all's well for about the first hour of this slow-moving film , until mia eats some of the neighbors' chocolate mousse and passes out .	1	-1	 all's[0] well[0] for[0] about[0] the[0] first[0] hour[0] of[0] this[0] slow[0] moving[0] film[0] until[0] mia[0] eats[0] some[0] of[0] the[0] neighbors'[0] chocolate[0] mousse[0] and[0] passes[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when she comes to , she finds herself in a darkened room with a bunch of people yelling and dancing like savages and a big , evil man raping her -- a foreshadowing of her future life with woody allen . 	when she comes to , she finds herself in a darkened room with a bunch of people yelling and dancing like savages and a big , evil man raping her - a foreshadowing of her future life with woody allen .	2	-4	 when[0] she[0] comes[0] to[0] she[0] finds[0] herself[0] in[0] a[0] darkened[0] room[0] with[0] a[0] bunch[0] of[0] people[0] yelling[0] and[0] dancing[0] like[1] savages[-2] and[0] a[0] big[0] evil[-2] man[0] raping[-3] her[0] a[0] foreshadowing[0] of[0] her[0] future[0] life[0] with[0] woody[0] allen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it seems like a dream and , when she finds herself pregnant , she almost forgets about it . 	it seems like a dream and , when she finds herself pregnant , she almost forgets about it .	2	-1	 it[0] seems[0] like[1] a[0] dream[0] and[0] when[0] she[0] finds[0] herself[0] pregnant[0] she[0] almost[0] forgets[0] about[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
