note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to assess alex cox's film the winner as a loser would be so indolent . 	to assess alex cox's film the winner as a loser would be so indolent .	2	-3	 to[0] assess[0] alex[0] cox's[0] film[0] the[0] winner[1] as[0] a[0] loser[-2] would[0] be[0] so[0] indolent[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it would be derisive . 	it would be derisive .	1	-2	 it[0] would[0] be[0] derisive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would be glib . 	it would be glib .	1	-1	 it[0] would[0] be[0] glib[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it would be dismissive . 	it would be dismissive .	1	-2	 it[0] would[0] be[0] dismissive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would be entirely accurate . 	it would be entirely accurate .	1	-1	 it[0] would[0] be[0] entirely[0] accurate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rarely have i seen a film as excruciatingly annoying as the winner , a would-be comedy which quickly proves to be tedious , unfunny , and unengaging . 	rarely have i seen a film as excruciatingly annoying as the winner , a would-be comedy which quickly proves to be tedious , unfunny , and unengaging .	2	-5	 rarely[0] have[0] i[0] seen[0] a[0] film[0] as[0] excruciatingly[-4] annoying[-2][-1 MultiplePositiveWords] as[0] the[0] winner[1] a[0] would[0] be[0] comedy[0] which[0] quickly[0] proves[0] to[0] be[0] tedious[-2] unfunny[0] and[0] unengaging[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
the film attempts to be fresh and quirky , utilising a myriad of colourful characters to weave its absurd tale , but appears to overlook the fact that nobody in the film is remotely interesting and that all of the characters are essentially preposterous . 	the film attempts to be fresh and quirky , utilising a myriad of colourful characters to weave its absurd tale , but appears to overlook the fact that nobody in the film is remotely interesting and that all of the characters are essentially preposterous .	2	-2	 the[0] film[0] attempts[0] to[0] be[0] fresh[0] and[0] quirky[0] utilising[0] a[0] myriad[0] of[0] colourful[0] characters[0] to[0] weave[0] its[0] absurd[-1] tale[0] but[0] appears[0] to[0] overlook[-1] the[0] fact[0] that[0] nobody[0] in[0] the[0] film[0] is[0] remotely[0] interesting[1] and[0] that[0] all[0] of[0] the[0] characters[0] are[0] essentially[0] preposterous[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is set in las vegas , and the focus in the winner is on philip ( vincent d'onofrio ) , an aloof , naive young man blessed with the odd gift of luck ; he virtually cannot lose at the tables . 	the film is set in las vegas , and the focus in the winner is on philip ( vincent d'onofrio ) , an aloof , naive young man blessed with the odd gift of luck ; he virtually cannot lose at the tables .	3	-2	 the[0] film[0] is[0] set[0] in[0] las[0] vegas[0] and[0] the[0] focus[0] in[0] the[0] winner[1] is[0] on[0] philip[0] vincent[0] d'onofrio[0] an[0] aloof[-1] naive[-1] young[0] man[0] blessed[1] with[0] the[0] odd[0] gift[0] of[0] luck[2] he[0] virtually[0] cannot[0] lose[-1][NegatedDueToPreviousWord] at[0] the[0] tables[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
despite this prodigious talent , philip is perpetually mournful and quite indifferent about his gambling fortunes , neither taking joy in his winnings nor having the foresight to mask his abilities . 	despite this prodigious talent , philip is perpetually mournful and quite indifferent about his gambling fortunes , neither taking joy in his winnings nor having the foresight to mask his abilities .	3	-3	 despite[0] this[0] prodigious[0] talent[1] philip[0] is[0] perpetually[0] mournful[-2] and[0] quite[0] indifferent[-1] about[0] his[0] gambling[0] fortunes[0] neither[0] taking[0] joy[2] in[0] his[0] winnings[1] nor[0] having[0] the[0] foresight[0] to[0] mask[0] his[0] abilities[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
