i suppose it's unfair to criticize a movie like hudson hawk , which has been panned by reviewers and moviegoers alike since it's 1991 release . 	Translation	Positive	Negative	EmotionRationale
michael lehmann's action-comedy was quick to win the title  biggest box office flop of all time' , or close thereof . 	michael lehmann's action-comedy was quick to win the title  biggest box office flop of all time' , or close thereof .	1	-1	 michael[0] lehmann's[0] action[0] comedy[0] was[0] quick[0] to[0] win[0] the[0] title[0] biggest[0] box[0] office[0] flop[0] of[0] all[0] time'[0] or[0] close[0] thereof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie stars bruce willis as renowned cat burglar hudson hawk , who's just been released from sing sing prison after many years in isolation (  let me put it this way , ' he explains ,  i never saw et' ) . 	the movie stars bruce willis as renowned cat burglar hudson hawk , who's just been released from sing sing prison after many years in isolation (  let me put it this way , ' he explains ,  i never saw et' ) .	1	-2	 the[0] movie[0] stars[0] bruce[0] willis[0] as[0] renowned[0] cat[0] burglar[-1] hudson[0] hawk[0] who's[0] just[0] been[0] released[0] from[0] sing[0] sing[0] prison[-1] after[0] many[0] years[0] in[0] isolation[-1] let[0] me[0] put[0] it[0] this[0] way[0] '[0] he[0] explains[0] i[0] never[0] saw[0] et'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
greeting him is his old friend and partner in crime ( played by danny aiello ) , who becomes the subject of many amusing fat jokes . 	greeting him is his old friend and partner in crime ( played by danny aiello ) , who becomes the subject of many amusing fat jokes .	2	-2	 greeting[0] him[0] is[0] his[0] old[0] friend[1] and[0] partner[0] in[0] crime[-1] played[0] by[0] danny[0] aiello[0] who[0] becomes[0] the[0] subject[0] of[0] many[0] amusing[1] fat[-1] jokes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these are rather welcome in a movie filled with so many completely unfunny sight gags , cartoonish villains and unbelievable coincidences . 	these are rather welcome in a movie filled with so many completely unfunny sight gags , cartoonish villains and unbelievable coincidences .	2	-3	 these[0] are[0] rather[0] welcome[1] in[0] a[0] movie[0] filled[0] with[0] so[0] many[0] completely[0] unfunny[0] sight[0] gags[0] cartoonish[0] villains[-2] and[0] unbelievable[-1] coincidences[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it appears as if director lehmann didn't know when to stop all the absurd silliness , and he piles on layer after layer of utter ridiculousness as the movie propels itself toward the finish line . 	it appears as if director lehman didn't know when to stop all the absurd silliness , and he piles on layer after layer of utter ridiculousness as the movie propels itself toward the finish line .	2	-3	 it[0] appears[0] as[0] if[0] director[0] lehmann/lehman[0] didn't[0] know[0] when[0] to[0] stop[0] all[0] the[0] absurd[-1] silliness[1] and[0] he[0] piles[0] on[0] layer[0] after[0] layer[0] of[0] utter[0] ridiculousness[-2] as[0] the[0] movie[0] propels[0] itself[0] toward[0] the[0] finish[0] line[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if at some point during hudson hawk you make the assumption that things couldn't get goofier , you'll soon be eating your words . 	if at some point during hudson hawk you make the assumption that things couldn't get goofier , you'll soon be eating your words .	1	-1	 if[0] at[0] some[0] point[0] during[0] hudson[0] hawk[0] you[0] make[0] the[0] assumption[0] that[0] things[0] couldn't[0] get[0] goofier[0] you'll[0] soon[0] be[0] eating[0] your[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , i'm inclined to say that this film is not quite as terrible as it's box office numbers suggest . 	but , i'm inclined to say that this film is not quite as terrible as it's box office numbers suggest .	1	-4	 but[0] i'm[0] inclined[0] to[0] say[0] that[0] this[0] film[0] is[0] not[0] quite[0] as[0] terrible[-3] as[0] it's[0] box[0] office[0] numbers[0] suggest[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's fast-paced and entertaining , if you've got incredible patience and a warped sense of humor . 	it's fast-paced and entertaining , if you've got incredible patience and a warped sense of humor .	3	-2	 it's[0] fast[0] paced[0] and[0] entertaining[0] if[0] you've[0] got[0] incredible[0] patience[0] and[0] a[0] warped[-1] sense[0] of[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for the first portion of this review , i'm going to try and center on the positive aspects of hudson hawk . 	for the first portion of this review , i'm going to try and center on the positive aspects of hudson hawk .	3	-1	 for[0] the[0] first[0] portion[0] of[0] this[0] review[0] i'm[0] going[0] to[0] try[0] and[0] center[0] on[0] the[0] positive[2] aspects[0] of[0] hudson[0] hawk[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
wish me luck . 	wish me luck .	3	-1	 wish[0] me[0] luck[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
first and foremost : bruce willis is a good sport . 	first and foremost : bruce willis is a good sport .	2	-1	 first[0] and[0] foremost[0] bruce[0] willis[0] is[0] a[0] good[1] sport[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while i'm not entirely sure what he was smoking when he co-wrote this script , willis is quite aware that the entire project is a big , fat , ugly joke . 	while i'm not entirely sure what he was smoking when he co-wrote this script , willis is quite aware that the entire project is a big , fat , ugly joke .	2	-3	 while[0] i'm[0] not[0] entirely[0] sure[0] what[0] he[0] was[0] smoking[0] when[0] he[0] co[0] wrote[0] this[0] script[0] willis[0] is[0] quite[0] aware[0] that[0] the[0] entire[0] project[0] is[0] a[0] big[0] fat[-1] ugly[-2] joke[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
