a remake of the 1978 warren beatty vehicle " heaven can wait " ( which in turn was a remake of " here comes mr . jordan " ) , " down to earth " tells the tale of lance barton ( chris rock , " lethal weapon iv " ) , a young black standup comic trying to win over the audience at harlem's apollo theater . 	Translation	Positive	Negative	EmotionRationale
when he's taken to heaven prematurely by bumbling angel keyes ( eugene levy , " best in show " ) , his only recourse is to return in another body . 	when he's taken to heaven prematurely by bumbling angel keyes ( eugene levy , " best in show " ) , his only recourse is to return in another body .	2	-1	 when[0] he's[0] taken[0] to[0] heaven[1] prematurely[0] by[0] bumbling[0] angel[0] keyes[0] eugene[0] levy[0] best[1] in[0] show[0] his[0] only[0] recourse[0] is[0] to[0] return[0] in[0] another[0] body[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he chooses that of charles wellington , the tenth richest man in the united states . 	he chooses that of charles wellington , the tenth richest man in the united states .	1	-1	 he[0] chooses[0] that[0] of[0] charles[0] wellington[0] the[0] tenth[0] richest[0] man[0] in[0] the[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , wellington is not only rich , but white and 53 years old , which makes lance's bid for closing night at the apollo , as well as his desire to woo suntee ( regina taylor , " jerry maguire " ) , a tad tricky . 	of course , wellington is not only rich , but white and 53 years old , which makes lance's bid for closing night at the apollo , as well as his desire to woo suntee ( regina taylor , " jerry maguire " ) , a tad tricky .	1	-2	 of[0] course[0] wellington[0] is[0] not[0] only[0] rich[0] but[0] white[0] and[0] 53[0] years[0] old[0] which[0] makes[0] lance's[0] bid[0] for[0] closing[0] night[0] at[0] the[0] apollo[0] as[0] well[0] as[0] his[0] desire[0] to[0] woo[0] suntee[0] regina[0] taylor[0] jerry[0] maguire[0] a[0] tad[0] tricky[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the original elaine may/warren beatty script has been reworked by chris rock , lance crouther , ali leroi , and louis c . k . 	the original elaine may/warren beatty script has been reworked by chris rock , lance crouther , ali leroi , and louis c .<br> k .	2	-1	 the[0] original[0] elaine[0] may/warren[0] beatty[0] script[0] has[0] been[0] reworked[0] by[0] chris[0] rock[1] lance[0] crouther[0] ali[0] leroi[0] and[0] louis[0] c[0] [[Sentence=-1,2=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
to turn beatty's vehicle as a football player into rock's vehicle as a comic and add some racial humor . 	to turn beatty's vehicle as a football player into rock's vehicle as a comic and add some racial humor .	3	-1	 to[0] turn[0] beatty's[0] vehicle[0] as[0] a[0] football[0] player[0] into[0] rock's[0] vehicle[0] as[0] a[0] comic[0] and[0] add[0] some[0] racial[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as directed by chris weitz and paul weitz ( codirectors of " american pie " and costars of " chuck & buck " ) , the whole affair comes off as amateur hour . 	as directed by chris weitz and paul weitz ( codirectors of " american pie " and costars of " chuck & buck " ) , the whole affair comes off as amateur hour .	1	-1	 as[0] directed[0] by[0] chris[0] weitz[0] and[0] paul[0] weitz[0] codirectors[0] of[0] american[0] pie[0] and[0] costars[0] of[0] chuck[0] &[0] buck[0] the[0] whole[0] affair[0] comes[0] off[0] as[0] amateur[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
initial scenes play like filmed line reading rehearsals . 	initial scenes play like filmed line reading rehearsals .	2	-1	 initial[0] scenes[0] play[0] like[1] filmed[0] line[0] reading[0] rehearsals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
production values are shoddy . 	production values are shoddy .	2	-2	 production[0] values[1] are[0] shoddy[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most serious of all is the use of rock when his wellington counterpart would have been more appropriate . 	most serious of all is the use of rock when his wellington counterpart would have been more appropriate .	2	-2	 most[0] serious[-1] of[0] all[0] is[0] the[0] use[0] of[0] rock[1] when[0] his[0] wellington[0] counterpart[0] would[0] have[0] been[0] more[0] appropriate[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this problem is clearly attributable to the fact that the old white guy is never lip or action synched when he is on screen . 	this problem is clearly attributable to the fact that the old white guy is never lip or action synched when he is on screen .	1	-2	 this[0] problem[-1] is[0] clearly[0] attributable[0] to[0] the[0] fact[0] that[0] the[0] old[0] white[0] guy[0] is[0] never[0] lip[0] or[0] action[0] synched[0] when[0] he[0] is[0] on[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
