plunkett & macleane is a period piece mired down by modern mtv pretentions . 	Translation	Positive	Negative	EmotionRationale
i have nothing against the mtv approach to filmmaking -- used properly it can save a movie ( see stigmata ) -- but it ruins this one , making a muddled , incoherent mess out of a potentially interesting premise . 	i have nothing against the mtv approach to filmmaking - used properly it can save a movie ( see stigmata ) - but it ruins this one , making a muddled , incoherent mess out of a potentially interesting premise .	2	-2	 i[0] have[0] nothing[0] against[-1] the[0] mtv[0] approach[0] to[0] filmmaking[0] used[0] properly[0] it[0] can[0] save[1] a[0] movie[0] see[0] stigmata[0] but[0] it[0] ruins[0] this[0] one[0] making[0] a[0] muddled[-1] incoherent[0] mess[0] out[0] of[0] a[0] potentially[0] interesting[1] premise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are certain genres that just don't go together . 	there are certain genres that just don't go together .	1	-1	 there[0] are[0] certain[0] genres[0] that[0] just[0] don't[0] go[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with a sequence that i still don't understand . 	the film opens with a sequence that i still don't understand .	1	-1	 the[0] film[0] opens[0] with[0] a[0] sequence[0] that[0] i[0] still[0] don't[0] understand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it involves some sort of prison outbreak , a robbery , and a gem that keeps being eaten . 	it involves some sort of prison outbreak , a robbery , and a gem that keeps being eaten .	1	-2	 it[0] involves[0] some[0] sort[0] of[0] prison[-1] outbreak[-1] a[0] robbery[-1] and[0] a[0] gem[0] that[0] keeps[0] being[0] eaten[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in any case , the caper ( whatever it may be ) brings together plunkett and macleane ( robert carlyle and johnny lee miller , respectively ) , two happy-go-lucky brits with no way to make a living . 	in any case , the caper ( whatever it may be ) brings together plunkett and macleane ( robert carlyle and johnny lee miller , respectively ) , two happy-go-lucky brits with no way to make a living .	3	-1	 in[0] any[0] case[0] the[0] caper[0] whatever[0] it[0] may[0] be[0] brings[0] together[0] plunkett[0] and[0] macleane[0] robert[0] carlyle[0] and[0] johnny[0] lee[0] miller[0] respectively[2] two[0] happy[1] go[0] lucky[1] brits[0] with[0] no[0] way[0] to[0] make[0] a[0] living[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they make a pact to steal money from the rich and give it to themselves until they earn enough money to buy a ticket to america . 	they make a pact to steal money from the rich and give it to themselves until they earn enough money to buy a ticket to america .	1	-3	 they[0] make[0] a[0] pact[0] to[0] steal[-2] money[0] from[0] the[0] rich[0] and[0] give[0] it[0] to[0] themselves[0] until[0] they[0] earn[0] enough[0] money[0] to[0] buy[0] a[0] ticket[0] to[0] america[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
their first heist involves a young debutante named lady rebecca ( liv tyler ) ; a woman macleane was especially friendly with at a party just earlier . 	their first heist involves a young debutante named lady rebecca ( liv tyler ) ; a woman macleane was especially friendly with at a party just earlier .	3	-1	 their[0] first[0] heist[0] involves[0] a[0] young[0] debutante[0] named[0] lady[0] rebecca[0] liv[0] tyler[0] a[0] woman[0] macleane[0] was[0] especially[0] friendly[1][1 LastWordBoosterStrength] with[0] at[0] a[0] party[0] just[0] earlier[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his decorum when stripping her of her valuables earns our two crooks the name " gentleman highwaymen . " 	his decorum when stripping her of her valuables earns our two crooks the name " gentleman highwaymen .<br> "	2	-1	 his[0] decorum[0] when[0] stripping[0] her[0] of[0] her[0] valuables[1] earns[0] our[0] two[0] crooks[0] the[0] name[0] gentleman[0] highwaymen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lady rebecca also happens to be the niece of the lord chief justice , a glaringly arrogant man nearing the end of his political career . 	lady rebecca also happens to be the niece of the lord chief justice , a glaringly arrogant man nearing the end of his political career .	1	-3	 lady[0] rebecca[0] also[0] happens[0] to[0] be[0] the[0] niece[0] of[0] the[0] lord[0] chief[0] justice[0] a[0] glaringly[0] arrogant[-2] man[0] nearing[0] the[0] end[0] of[0] his[0] political[0] career[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he demands that the robbers be caught and punished immediately , leaving the job in the hands of the devious chance ( ken stott ) who has a few more things on his mind than catching criminals . 	he demands that the robbers be caught and punished immediately , leaving the job in the hands of the devious chance ( ken stott ) who has a few more things on his mind than catching criminals .	1	-2	 he[0] demands[0] that[0] the[0] robbers[-1] be[0] caught[0] and[0] punished[-1] immediately[0] leaving[0] the[0] job[0] in[0] the[0] hands[0] of[0] the[0] devious[-1] chance[0] ken[0] stott[0] who[0] has[0] a[0] few[0] more[0] things[0] on[0] his[0] mind[0] than[0] catching[0] criminals[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
