i think maybe it's time for the batman series to be put to rest . 	Translation	Positive	Negative	EmotionRationale
not only has the first two films' unsettling insight into what it would really take for someone to make himself into a " superhero " been abandoned , but this one throws any lingering realism out the window and goes for all-out camp with few traces of the self-mocking restraint of the relatively light-hearted third installment . 	not only has the first two films' unsettling insight into what it would really take for someone to make himself into a " superhero " been abandoned , but this one throws any lingering realism out the window and goes for all-out camp with few traces of the self-mocking restraint of the relatively light-hearted third instalment .	1	-3	 not[0] only[0] has[0] the[0] first[0] two[0] films'[0] unsettling[-1] insight[0] into[0] what[0] it[0] would[0] really[0] take[0] for[0] someone[0] to[0] make[0] himself[0] into[0] a[0] superhero[0] been[0] abandoned[-1] but[0] this[0] one[0] throws[0] any[0] lingering[0] realism[0] out[0] the[0] window[0] and[0] goes[0] for[0] all[0] out[0] camp[0] with[0] few[0] traces[0] of[0] the[0] self[0] mocking[-2] restraint[0] of[0] the[0] relatively[0] light[0] hearted[0] third[0] installment/instalment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let me give you an example : in the first scene of the movie , batman ( george clooney ) and robin ( chris o'donnell ) are summoned to a museum that has been literally turned to ice by mr . freeze ( arnold schwarzenegger ) in an attempt to steal a diamond . 	let me give you an example : in the first scene of the movie , batman ( george clooney ) and robin ( chris o'donnell ) are summoned to a museum that has been literally turned to ice by mr .<br> freeze ( arnold schwarzenegger ) in an attempt to steal a diamond .	1	-3	 let[0] me[0] give[0] you[0] an[0] example[0] in[0] the[0] first[0] scene[0] of[0] the[0] movie[0] batman[0] george[0] clooney[0] and[0] robin[0] chris[0] o'donnell[0] are[0] summoned[0] to[0] a[0] museum[0] that[0] has[0] been[0] literally[0] turned[0] to[0] ice[0] by[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] arnold[0] schwarzenegger[0] in[0] an[0] attempt[0] to[0] steal[-2] a[0] diamond[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mr . freeze's thugs are armed with none other than hockey sticks , but this is no problem for our heroes : automatic skates shoot out of their shoes , at which point robin manages to get hold of a hockey stick , grabs the diamond , and stick-handles it through the museum . 	mr .<br> freeze's thugs are armed with none other than hockey sticks , but this is no problem for our heroes : automatic skates shoot out of their shoes , at which point robin manages to get hold of a hockey stick , grabs the diamond , and stick-handles it through the museum .	3	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] freeze's[0] thugs[0] are[0] armed[0] with[0] none[0] other[0] than[0] hockey[0] sticks[0] but[0] this[0] is[0] no[0] problem[-1] for[0] our[0] heroes[2] automatic[0] skates[0] shoot[-1] out[0] of[0] their[0] shoes[0] at[0] which[0] point[0] robin[0] manages[0] to[0] get[0] hold[0] of[0] a[0] hockey[0] stick[0] grabs[-1] the[0] diamond[0] and[0] stick[0] handles[0] it[0] through[0] the[0] museum[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i might have expected this from an airplane-style farce , but i don't think that's what this movie is supposed to be . 	i might have expected this from an airplane-style farce , but i don't think that's what this movie is supposed to be .	1	-2	 i[0] might[0] have[0] expected[0] this[0] from[0] an[0] airplane[0] style[0] farce[-1] but[0] i[0] don't[0] think[0] that's[0] what[0] this[0] movie[0] is[0] supposed[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all , the previous three batman movies were actually fairly realistic by the standards of the superhero/action genre and kept the corny death-defying stunts to a minimum , while playing the obligatory cheesiness with at least some amount of irony . 	after all , the previous three batman movies were actually fairly realistic by the standards of the superhero/action genre and kept the corny death-defying stunts to a minimum , while playing the obligatory cheesiness with at least some amount of irony .	2	-3	 after[0] all[0] the[0] previous[0] three[0] batman[0] movies[0] were[0] actually[0] fairly[0] realistic[0] by[0] the[0] standards[0] of[0] the[0] superhero/action[0] genre[0] and[0] kept[0] the[0] corny[0] death[-2] defying[0] stunts[0] to[0] a[0] minimum[0] while[0] playing[1] the[0] obligatory[0] cheesiness[0] with[0] at[0] least[0] some[0] amount[0] of[0] irony[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not any more ; the list goes on and on in this one . 	not any more ; the list goes on and on in this one .	1	-1	 not[0] any[0] more[0] the[0] list[0] goes[0] on[0] and[0] on[0] in[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robin holds onto the outside of a flying rocket ship 30 , 000 feet high in the atmosphere , climbing in the door to save batman . 	robin holds onto the outside of a flying rocket ship 30 , 00 feet high in the atmosphere , climbing in the door to save batman .	2	-1	 robin[0] holds[0] onto[0] the[0] outside[0] of[0] a[0] flying[0] rocket[0] ship[0] 30[0] 000/00[0] feet[0] high[0] in[0] the[0] atmosphere[0] climbing[0] in[0] the[0] door[0] to[0] save[1] batman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mr . freeze and poison ivy ( uma thurman ) leap from a skyscraper and survive by landing in a small pond . 	mr .<br> freeze and poison ivy ( uma thurman ) leap from a skyscraper and survive by landing in a small pond .	1	-3	 mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] and[0] poison[-2] ivy[0] uma[0] thurman[0] leap[0] from[0] a[0] skyscraper[0] and[0] survive[0] by[0] landing[0] in[0] a[0] small[0] pond[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a world dominating mad scientist lives in a fortress that seems to have been stolen from the old he-man cartoons . 	a world dominating mad scientist lives in a fortress that seems to have been stolen from the old he-man cartoons .	1	-2	 a[0] world[0] dominating[0] mad[-1] scientist[0] lives[0] in[0] a[0] fortress[0] that[0] seems[0] to[0] have[0] been[0] stolen[-1] from[0] the[0] old[0] he[0] man[0] cartoons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my very favorite example is the scene in which batgirl ( alicia silverstone ) gets in a race with motorcycle thugs , during which they come up with the clever notion of dousing the road with gasoline and setting it on fire to distract her . 	my very favorite example is the scene in which batgirl ( alicia silverstone ) gets in a race with motorcycle thugs , during which they come up with the clever notion of dousing the road with gasoline and setting it on fire to distract her .	3	-2	 my[0] very[0] favorite[1][1 LastWordBoosterStrength] example[0] is[0] the[0] scene[0] in[0] which[0] batgirl[0] alicia[0] silverstone[0] gets[0] in[0] a[0] race[0] with[0] motorcycle[0] thugs[0] during[0] which[0] they[0] come[0] up[0] with[0] the[0] clever[0] notion[0] of[0] dousing[0] the[0] road[0] with[0] gasoline[0] and[0] setting[0] it[0] on[0] fire[0] to[0] distract[-1] her[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
