plot : something about a bunch of kids going into a haunted house and playing out parodies of other horror and non-horror movies . 	Translation	Positive	Negative	EmotionRationale
oh yeah , there's also something about a ghost possessing the mansion and shit , but trust me , you won't care much about the " plot " in this film . . . 	oh yeah , there's also something about a ghost possessing the mansion and shit , but trust me , you won't care much about the " plot " in this film .<br> .<br> .	2	-2	 oh[0] yeah[0] there's[0] also[0] something[0] about[0] a[0] ghost[0] possessing[0] the[0] mansion[0] and[0] shit[-1] but[0] trust[1] me[0] you[0] won't[0] care[1][NegatedDueToPreviousWord] much[0] about[0] the[0] plot[0] in[0] this[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
critique : parody movies either work or they don't and this one just doesn't work ! 	critique : parody movies either work or they don't and this one just doesn't work !	1	-1	 critique[0] parody[0] movies[0] either[0] work[0] or[0] they[0] don't[0] and[0] this[0] one[0] just[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the laughs aren't as pronounced this time around , the energy level , the gags and all of the characters just seem to be going through the motions here . 	the laughs aren't as pronounced this time around , the energy level , the gags and all of the characters just seem to be going through the motions here .	2	-1	 the[0] laughs[1] aren't[0] as[0] pronounced[0] this[0] time[0] around[0] the[0] energy[0] level[0] the[0] gags[0] and[0] all[0] of[0] the[0] characters[0] just[0] seem[0] to[0] be[0] going[0] through[0] the[0] motions[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's like they were all in a hurry to finish the film or something ( wink , wink ) . 	it's like they were all in a hurry to finish the film or something ( wink , wink ) .	2	-1	 it's[0] like[1] they[0] were[0] all[0] in[0] a[0] hurry[0] to[0] finish[0] the[0] film[0] or[0] something[0] wink[0] wink[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the scariest part of it all ? 	and the scariest part of it all ?	1	-4	 and[0] the[0] scariest[-3] part[0] of[0] it[0] all[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
check out the number of screenwriters it took to pen this puppy : seven ! 	check out the number of screenwriters it took to pen this puppy : seven !	1	-1	 check[0] out[0] the[0] number[0] of[0] screenwriters[0] it[0] took[0] to[0] pen[0] this[0] puppy[0] seven[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i say again , it took seven people to write 82-minutes worth of fart jokes , half-assed stunts and spoofs of films other than horror . 	i say again , it took seven people to write 82-minutes worth of fart jokes , half-assed stunts and spoofs of films other than horror .	2	-4	 i[0] say[0] again[0] it[0] took[0] seven[0] people[0] to[0] write[0] 82[0] minutes[0] worth[0] of[0] fart[0] jokes[1] half[0] assed[0] stunts[0] and[0] spoofs[0] of[0] films[0] other[0] than[0] horror[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
now i'm not exactly sure if each of the writers wrote their own parts separately or just tossed " funny sketch " ideas out there while smoking the chronic themselves , but the end result is a film that basically plays out like an extended skit on " saturday night live " . 	now i'm not exactly sure if each of the writers wrote their own parts separately or just tossed " funny sketch " ideas out there while smoking the chronic themselves , but the end result is a film that basically plays out like an extended skit on " saturday night live " .	2	-3	 now[0] i'm[0] not[0] exactly[0] sure[0] if[0] each[0] of[0] the[0] writers[0] wrote[0] their[0] own[0] parts[0] separately[0] or[0] just[0] tossed[0] funny[1] sketch[0] ideas[0] out[0] there[0] while[0] smoking[0] the[0] chronic[-2] themselves[0] but[0] the[0] end[0] result[0] is[0] a[0] film[0] that[0] basically[0] plays[1] out[0] like[1] an[0] extended[0] skit[0] on[0] saturday[0] night[0] live[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are a couple of funny one-liners , but mostly just rehashed one-joke scenes , a lot of dead silence and lame gags . 	there are a couple of funny one-liners , but mostly just rehashed one-joke scenes , a lot of dead silence and lame gags .	2	-3	 there[0] are[0] a[0] couple[0] of[0] funny[1] one[0] liners[0] but[0] mostly[0] just[0] rehashed[0] one[0] joke[1] scenes[0] a[0] lot[0] of[0] dead[-2] silence[0] and[0] lame[-2] gags[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
add to that the very unoriginal title and movie poster and you gotta start asking yourself if anybody was even trying here ( the film's website isn't even up yet ! ! ! 	add to that the very unoriginal title and movie poster and you gotta start asking yourself if anybody was even trying here ( the film's website isn't even up yet !<br> !<br> !	1	-1	 add[0] to[0] that[0] the[0] very[0] unoriginal[0] title[0] and[0] movie[0] poster[0] and[0] you[0] gotta[0] start[0] asking[0] yourself[0] if[0] anybody[0] was[0] even[0] trying[0] here[0] the[0] film's[0] website[0] isn't[0] even[0] up[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what the f * * * ? ! ? ) . 	what the f * * * ?<br> !<br> ?<br> ) .	1	-1	 what[0] the[0] f[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i do however have to give it up to james woods , the man who opens up this movie with the funniest parody of them all ( the exorcist take-off-- miss this and you've missed any reason to see the flick ) . 	i do however have to give it up to james woods , the man who opens up this movie with the funniest parody of them all ( the exorcist take-off- miss this and you've missed any reason to see the flick ) .	2	-2	 i[0] do[0] however[0] have[0] to[0] give[0] it[0] up[0] to[0] james[0] woods[0] the[0] man[0] who[0] opens[0] up[0] this[0] movie[0] with[0] the[0] funniest[1] parody[0] of[0] them[0] all[0] the[0] exorcist[0] take[0] off[0] miss[-1] this[0] and[0] you've[0] missed[-1] any[0] reason[0] to[0] see[0] the[0] flick[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i especially liked his one-liner as he walked in to see the possessed woman's head turning . 	i especially liked his one-liner as he walked in to see the possessed woman's head turning .	4	-1	 i[0] especially[0] liked[2][1 LastWordBoosterStrength] his[0] one[0] liner[0] as[0] he[0] walked[0] in[0] to[0] see[0] the[0] possessed[0] woman's[0] head[0] turning[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
very funny ! 	very funny !	3	-1	 very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
