deuce bigalow ( rob schneider ) cleans fish tanks . 	Translation	Positive	Negative	EmotionRationale
yeah , i didn't know that was a real job either . 	yeah , i didn't know that was a real job either .	1	-1	 yeah[0] i[0] didn't[0] know[0] that[0] was[0] a[0] real[0] job[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of his customers is antoine leconte ( oded fehr ) , a successful gigolo . 	one of his customers is antoine leconte ( oded fehr ) , a successful gigolo .	3	-1	 one[0] of[0] his[0] customers[0] is[0] antoine[0] leconte[0] oded[0] fehr[0] a[0] successful[2] gigolo[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when antoine has to go to sweden for three weeks , he lets deuce use his house to look after an ailing  800 fish . 	when antoine has to go to sweden for three weeks , he lets deuce use his house to look after an ailing  800 fish .	1	-3	 when[0] antoine[0] has[0] to[0] go[0] to[0] sweden[0] for[0] three[0] weeks[0] he[0] lets[0] deuce[0] use[0] his[0] house[0] to[0] look[0] after[0] an[0] ailing[-2] 800[0] fish[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fooling around , deuce sets fire to the kitchen and smashes a  6000 fish tank . 	fooling around , deuce sets fire to the kitchen and smashes a  600 fish tank .	1	-2	 fooling[-1] around[0] deuce[0] sets[0] fire[0] to[0] the[0] kitchen[0] and[0] smashes[0] a[0] 6000/600[0] fish[0] tank[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after taking a try at one of antoine's clients and earning  10 , deuce decides to prostitute himself to raise the money to replace the fish tank before the fiery-tempered antoine returns . 	after taking a try at one of antoine's clients and earning  10 , deuce decides to prostitute himself to raise the money to replace the fish tank before the fiery-tempered antoine returns .	1	-2	 after[0] taking[0] a[0] try[0] at[0] one[0] of[0] antoine's[0] clients[0] and[0] earning[0] 10[0] deuce[0] decides[0] to[0] prostitute[0] himself[0] to[0] raise[0] the[0] money[0] to[0] replace[0] the[0] fish[0] tank[0] before[0] the[0] fiery[-1] tempered[0] antoine[0] returns[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enter t . j . ( eddie griffin ) , a pimp for " man-whores , " who arranges for deuce to service an assortment of women whose imperfections keep them from dating . 	enter t .<br> j .<br> ( eddie griffin ) , a pimp for " man-whores , " who arranges for deuce to service an assortment of women whose imperfections keep them from dating .	1	-3	 enter[0] t[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]] eddie[0] griffin[0] a[0] pimp[0] for[0] man[0] whores[-2] who[0] arranges[0] for[0] deuce[0] to[0] service[0] an[0] assortment[0] of[0] women[0] whose[0] imperfections[-1] keep[0] them[0] from[0] dating[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's an enormous woman ( played by transvestite porn star chi chi la rue ) who hides food in her clothes . 	there's an enormous woman ( played by transvestite porn star chi chi la rue ) who hides food in her clothes .	1	-2	 there's[0] an[0] enormous[0] woman[0] played[0] by[0] transvestite[0] porn[0] star[0] chi[0] chi[0] la[0] rue[-1] who[0] hides[0] food[0] in[0] her[0] clothes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's claire ( gail o'grady ) whose narcolepsy causes her to fall asleep every few minutes . 	there's claire ( gail o'grady ) whose narcolepsy causes her to fall asleep every few minutes .	1	-1	 there's[0] claire[0] gail[0] o'grady[0] whose[0] narcolepsy[0] causes[0] her[0] to[0] fall[0] asleep[0] every[0] few[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tina ( torsten voges ) is so tall her face doesn't fit on the screen , and ruth ( amy poehler ) has tourette's syndrome and shouts obscenities without warning . 	tina ( torsten voges ) is so tall her face doesn't fit on the screen , and ruth ( amy poehler ) has tourette's syndrome and shouts obscenities without warning .	1	-1	 tina[0] torsten[0] voges[0] is[0] so[0] tall[0] her[0] face[0] doesn't[0] fit[0] on[0] the[0] screen[0] and[0] ruth[0] amy[0] poehler[0] has[0] tourette's[0] syndrome[0] and[0] shouts[0] obscenities[0] without[0] warning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally there's kate ( arija bareikis ) whose sorority sisters secretly paid her fare . 	finally there's kate ( arija bareikis ) whose sorority sisters secretly paid her fare .	1	-1	 finally[0] there's[0] kate[0] arija[0] bareikis[0] whose[0] sorority[0] sisters[0] secretly[0] paid[0] her[0] fare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she seems perfect , and deuce quickly falls in love with her . 	she seems perfect , and deuce quickly falls in love with her .	3	-1	 she[0] seems[0] perfect[1] and[0] deuce[0] quickly[0] falls[0] in[0] love[2] with[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
