welcome to your oh-so typical sequel . 	Translation	Positive	Negative	EmotionRationale
it tries to be twice as big as it's predecessor , yet ends up twice as shallow . 	it tries to be twice as big as it's predecessor , yet ends up twice as shallow .	1	-2	 it[0] tries[0] to[0] be[0] twice[0] as[0] big[0] as[0] it's[0] predecessor[0] yet[0] ends[0] up[0] twice[0] as[0] shallow[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shallow . . . . hmm . . . now there's an idea . 	shallow .<br> .<br> .<br> .<br> hm .<br> .<br> .<br> now there's an idea .	1	-2	 shallow[-1] [[Sentence=-2,1=word max, 1-5]] hmm/hm[0] [[Sentence=-1,1=word max, 1-5]] now[0] there's[0] an[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe if the ill-fated cruise liner in this movie had struck a shallow reef early on things may have turned out better . 	maybe if the ill-fated cruise liner in this movie had struck a shallow reef early on things may have turned out better .	1	-2	 maybe[0] if[0] the[0] ill[-1] fated[0] cruise[0] liner[0] in[0] this[0] movie[0] had[0] struck[-1] a[0] shallow[-1] reef[0] early[0] on[0] things[0] may[0] have[0] turned[0] out[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first thing that struck me . . . and 	the first thing that struck me .<br> .<br> .<br> and	1	-2	 the[0] first[0] thing[0] that[0] struck[-1] me[0] [[Sentence=-2,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
surprised me , was that the camera work ( for the opening sequence anyway ) was terrible . 	surprised me , was that the camera work ( for the opening sequence anyway ) was terrible .	1	-4	 surprised[0] me[0] was[0] that[0] the[0] camera[0] work[0] for[0] the[0] opening[0] sequence[0] anyway[0] was[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
looked like the cameramen were drunk and kept tripping on their own feet . . . . . . very 	looked like the cameramen were drunk and kept tripping on their own feet .<br> .<br> .<br> .<br> .<br> .<br> very	2	-2	 looked[0] like[1] the[0] cameramen[0] were[0] drunk[-1] and[0] kept[0] tripping[0] on[0] their[0] own[0] feet[0] [[Sentence=-2,2=word max, 1-5]] very[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
different to the original movie . 	different to the original movie .	1	-1	 different[0] to[0] the[0] original[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters ? 	the characters ?	1	-1	 the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , not many of the characters actually * had * characters , but here's a rundown . 	well , not many of the characters actually * had * characters , but here's a rundown .	1	-1	 well[0] not[0] many[0] of[0] the[0] characters[0] actually[0] had[0] characters[0] but[0] here's[0] a[0] rundown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
annie , who was the highlight of the the original , must have seriously banged her head in the train crash at the end of the first movie . 	annie , who was the highlight of the the original , must have seriously banged her head in the train crash at the end of the first movie .	1	-1	 annie[0] who[0] was[0] the[0] highlight[0] of[0] the[0] the[0] original[0] must[0] have[0] seriously[0] banged[0] her[0] head[0] in[0] the[0] train[0] crash[0] at[0] the[0] end[0] of[0] the[0] first[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
