whether or not i would be considered a trekker probably depends on whom you would ask . 	Translation	Positive	Negative	EmotionRationale
i have been a fan of both the original series and its recently retired follow-up , as well as the even- numbered entries in the film series . 	i have been a fan of both the original series and its recently retired follow-up , as well as the even- numbered entries in the film series .	1	-2	 i[0] have[0] been[0] a[0] fan[0] of[0] both[0] the[0] original[0] series[0] and[0] its[0] recently[0] retired[-1] follow[0] up[0] as[0] well[0] as[0] the[0] even[0] numbered[0] entries[0] in[0] the[0] film[0] series[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , i have never been one of those folks who store away trek minutiae and get into debates over the relative merits of spock vs . data . 	however , i have never been one of those folks who store away trek minutiae and get into debates over the relative merits of spock vs .<br> data .	2	-1	 however[0] i[0] have[0] never[0] been[0] one[0] of[0] those[0] folks[0] who[0] store[0] away[0] trek[0] minutiae[0] and[0] get[0] into[0] debates[0] over[0] the[0] relative[0] merits[1] of[0] spock[0] vs[0] [[Sentence=-1,2=word max, 1-5]] data[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
somewhere along the line , the " star trek " film series began to seem more and more directed at those in the latter category , and star trek : generations may be the natural conclusion of this direction . 	somewhere along the line , the " star trek " film series began to seem more and more directed at those in the latter category , and star trek : generations may be the natural conclusion of this direction .	1	-1	 somewhere[0] along[0] the[0] line[0] the[0] star[0] trek[0] film[0] series[0] began[0] to[0] seem[0] more[0] and[0] more[0] directed[0] at[0] those[0] in[0] the[0] latter[0] category[0] and[0] star[0] trek[0] generations[0] may[0] be[0] the[0] natural[0] conclusion[0] of[0] this[0] direction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its production values may be high , but the writing is frequently appalling , and instead of a script has a collection of references , in-jokes and ill-defined characters . 	its production values may be high , but the writing is frequently appalling , and instead of a script has a collection of references , in-jokes and ill-defined characters .	2	-4	 its[0] production[0] values[1] may[0] be[0] high[0] but[0] the[0] writing[0] is[0] frequently[0] appalling[-3] and[0] instead[0] of[0] a[0] script[0] has[0] a[0] collection[0] of[0] references[0] in[0] jokes[1] and[0] ill[-1] defined[0] characters[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
generations opens in the late 23rd century , where members of the original enterprise crew , including captain james t . kirk ( william shatner ) , are present for the christening of the latest ship to bear that name . 	generations opens in the late 23rd century , where members of the original enterprise crew , including captain james t .<br> kirk ( william shatner ) , are present for the christening of the latest ship to bear that name .	1	-1	 generations[0] opens[0] in[0] the[0] late[0] 23rd[0] century[0] where[0] members[0] of[0] the[0] original[0] enterprise[0] crew[0] including[0] captain[0] james[0] t[0] [[Sentence=-1,1=word max, 1-5]] kirk[0] william[0] shatner[0] are[0] present[0] for[0] the[0] christening[0] of[0] the[0] latest[0] ship[0] to[0] bear[0] that[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no sooner is it out on its maiden voyage than a distress signal brings them to the nexus , a mysterious ribbon of energy . 	no sooner is it out on its maiden voyage than a distress signal brings them to the nexus , a mysterious ribbon of energy .	1	-3	 no[0] sooner[0] is[0] it[0] out[0] on[0] its[0] maiden[0] voyage[0] than[0] a[0] distress[-2] signal[0] brings[0] them[0] to[0] the[0] nexus[0] a[0] mysterious[0] ribbon[0] of[0] energy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
among those rescued from the nexus is long-lived alien dr . soran ( malcolm mcdowell ) , but he is none-too-pleased at being back in the real world . 	among those rescued from the nexus is long-lived alien dr .<br> soran ( malcolm mcdowell ) , but he is none-too-pleased at being back in the real world .	2	-2	 among[0] those[0] rescued[0] from[0] the[0] nexus[0] is[0] long[0] lived[0] alien[-1] dr[0] [[Sentence=-2,1=word max, 1-5]] soran[0] malcolm[0] mcdowell[0] but[0] he[0] is[0] none[0] too[0] pleased[1] at[0] being[0] back[0] in[0] the[0] real[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
seventy-eight years later , soran is still trying to get back to the nexus , and again encounters an enterprise , this one led by captain jean-luc picard ( patrick stewart ) . 	seventy-eight years later , soran is still trying to get back to the nexus , and again encounters an enterprise , this one led by captain jean-luc picard ( patrick stewart ) .	1	-1	 seventy[0] eight[0] years[0] later[0] soran[0] is[0] still[0] trying[0] to[0] get[0] back[0] to[0] the[0] nexus[0] and[0] again[0] encounters[0] an[0] enterprise[0] this[0] one[0] led[0] by[0] captain[0] jean[0] luc[0] picard[0] patrick[0] stewart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soran's plan involves destroying a star with an inhabited planet , and the only hope for saving 230 million people is the historic meeting of two enterprise captains . 	soran's plan involves destroying a star with an inhabited planet , and the only hope for saving 230 million people is the historic meeting of two enterprise captains .	3	-3	 soran's[0] plan[0] involves[0] destroying[-2] a[0] star[0] with[0] an[0] inhabited[0] planet[0] and[0] the[0] only[0] hope[2] for[0] saving[0] 230[0] million[0] people[0] is[0] the[0] historic[0] meeting[0] of[0] two[0] enterprise[0] captains[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i don't think it is an insult to fans of " star trek " to suggest that to a certain extent , the particulars of a plot are not really the most important elements in a " trek " film . 	i don't think it is an insult to fans of " star trek " to suggest that to a certain extent , the particulars of a plot are not really the most important elements in a " trek " film .	1	-3	 i[0] don't[0] think[0] it[0] is[0] an[0] insult[-2] to[0] fans[0] of[0] star[0] trek[0] to[0] suggest[0] that[0] to[0] a[0] certain[0] extent[0] the[0] particulars[0] of[0] a[0] plot[0] are[0] not[0] really[0] the[0] most[0] important[0] elements[0] in[0] a[0] trek[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
