i have never been so confused after watching a movie . 	Translation	Positive	Negative	EmotionRationale
 " meet joe black " is probably one of the most visually satisfying films of this year , with a cinematography , music and cast that will dazzle most of us . 	 " meet joe black " is probably one of the most visually satisfying films of this year , with a cinematography , music and cast that will dazle most of us .	2	-1	 meet[0] joe[0] black[0] is[0] probably[0] one[0] of[0] the[0] most[0] visually[0] satisfying[1] films[0] of[0] this[0] year[0] with[0] a[0] cinematography[0] music[0] and[0] cast[0] that[0] will[0] dazzle/dazle[0] most[0] of[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the same time it is probably the most boring and ridiculous experience hat you will have this season . 	at the same time it is probably the most boring and ridiculous experience hat you will have this season .	1	-3	 at[0] the[0] same[0] time[0] it[0] is[0] probably[0] the[0] most[0] boring[-1] and[0] ridiculous[-2] experience[0] hat[0] you[0] will[0] have[0] this[0] season[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at first you marvel at the elegant direction , graceful cinematography and sensual musical score . 	at first you marvel at the elegant direction , graceful cinematography and sensual musical score .	3	-1	 at[0] first[0] you[0] marvel[0] at[0] the[0] elegant[1] direction[0] graceful[2] cinematography[0] and[0] sensual[0] musical[0] score[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then you'll wait for something to happen for half an hour , but when you finally understand what's going on , you'll wonder what are actors such as anthony hopkins , brad pitt and claire forlani are doing in a film like this ? 	then you'll wait for something to happen for half an hour , but when you finally understand what's going on , you'll wonder what are actors such as anthony hopkins , brad pit and claire forlani are doing in a film like this ?	2	-1	 then[0] you'll[0] wait[0] for[0] something[0] to[0] happen[0] for[0] half[0] an[0] hour[0] but[0] when[0] you[0] finally[0] understand[0] what's[0] going[0] on[0] you'll[0] wonder[0] what[0] are[0] actors[0] such[0] as[0] anthony[0] hopkins[0] brad[0] pitt/pit[0] and[0] claire[0] forlani[0] are[0] doing[0] in[0] a[0] film[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is simply a silly and unresolved story , which is artificially stretched into a three hour long motion picture . 	the script is simply a silly and unresolved story , which is artificially stretched into a three hour long motion picture .	1	-2	 the[0] script[0] is[0] simply[0] a[0] silly[-1] and[0] unresolved[0] story[0] which[0] is[0] artificially[0] stretched[0] into[0] a[0] three[0] hour[0] long[0] motion[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it feels like an eternity . 	it feels like an eternity .	2	-1	 it[0] feels[0] like[1] an[0] eternity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of the time it is a pompous soap opera , filled with empty dialogue that the actors deliver in a high pitched voice and " meaningful " winks . 	most of the time it is a pompous soap opera , filled with empty dialogue that the actors deliver in a high pitched voice and " meaningful " winks .	1	-2	 most[0] of[0] the[0] time[0] it[0] is[0] a[0] pompous[-1] soap[0] opera[0] filled[0] with[0] empty[0] dialogue[0] that[0] the[0] actors[0] deliver[0] in[0] a[0] high[0] pitched[0] voice[0] and[0] meaningful[0] winks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is based on alberto caesella's play " death takes a holiday " . 	the film is based on alberto caesella's play " death takes a holiday " .	1	-3	 the[0] film[0] is[0] based[0] on[0] alberto[0] caesella's[0] play[0] death[-2] takes[0] a[0] holiday[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story concentrates around bill ( anthony hopkins ) who lives a fulfilled life as a successful business man , but sometimes he wakes up in the middle of the night and hears a voice that is saying " yes " . 	the story concentrates around bill ( anthony hopkins ) who lives a fulfilled life as a successful business man , but sometimes he wakes up in the middle of the night and hears a voice that is saying " yes " .	3	-1	 the[0] story[0] concentrates[0] around[0] bill[0] anthony[0] hopkins[0] who[0] lives[0] a[0] fulfilled[0] life[0] as[0] a[0] successful[2] business[0] man[0] but[0] sometimes[0] he[0] wakes[0] up[0] in[0] the[0] middle[0] of[0] the[0] night[0] and[0] hears[0] a[0] voice[0] that[0] is[0] saying[0] yes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
soon he meets a young elegant gentlemen ( brad pitt ) who introduces himself as " death " . 	soon he meets a young elegant gentlemen ( brad pit ) who introduces himself as " death " .	2	-3	 soon[0] he[0] meets[0] a[0] young[0] elegant[1] gentlemen[0] brad[0] pitt/pit[0] who[0] introduces[0] himself[0] as[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is bill's time . 	it is bill's time .	1	-1	 it[0] is[0] bill's[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but death has other plans . 	but death has other plans .	1	-3	 but[0] death[-2] has[0] other[0] plans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it has come down to us simple mortals to find out what it means to be alive . 	it has come down to us simple mortals to find out what it means to be alive .	1	-1	 it[0] has[0] come[0] down[0] to[0] us[0] simple[0] mortals[0] to[0] find[0] out[0] what[0] it[0] means[0] to[0] be[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
our bill is chosen to be death's guide and in exchange he gets time . 	our bill is chosen to be death's guide and in exchange he gets time .	1	-3	 our[0] bill[0] is[0] chosen[0] to[0] be[0] death's[-2] guide[0] and[0] in[0] exchange[0] he[0] gets[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bill introduces death as joe black , who immediately becomes the center of everyone's attention . 	bill introduces death as joe black , who immediately becomes the center of everyone's attention .	1	-3	 bill[0] introduces[0] death[-2] as[0] joe[0] black[0] who[0] immediately[0] becomes[0] the[0] center[0] of[0] everyone's[0] attention[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bill's business partners speculate about why joe is constantly at bill's side , lives in his house and resides at his office . 	bill's business partners speculate about why joe is constantly at bill's side , lives in his house and resides at his office .	1	-1	 bill's[0] business[0] partners[0] speculate[0] about[0] why[0] joe[0] is[0] constantly[0] at[0] bill's[0] side[0] lives[0] in[0] his[0] house[0] and[0] resides[0] at[0] his[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is not all , however . 	that is not all , however .	1	-1	 that[0] is[0] not[0] all[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bill's youngest daughter susan ( claire forlani ) falls in love with the mysterious stranger and joe falls in love with her . 	bill's youngest daughter susan ( claire forlani ) falls in love with the mysterious stranger and joe falls in love with her .	3	-1	 bill's[0] youngest[0] daughter[0] susan[0] claire[0] forlani[0] falls[0] in[0] love[2] with[0] the[0] mysterious[0] stranger[0] and[0] joe[0] falls[0] in[0] love[2] with[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this relationship is bound to have some serious consequences . 	this relationship is bound to have some serious consequences .	1	-1	 this[0] relationship[0] is[0] bound[0] to[0] have[0] some[0] serious[-1][--1 LastWordBoosterStrength] consequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it wouldn't be fair to say that this film didn't have some interesting moments , such as the scene where joe is invited to join bill's family for dinner . 	it wouldn't be fair to say that this film didn't have some interesting moments , such as the scene where joe is invited to join bill's family for dinner .	1	-1	 it[0] wouldn't[0] be[0] fair[0] to[0] say[0] that[0] this[0] film[0] didn't[0] have[0] some[0] interesting[1][-1 LastWordBoosterStrength] moments[0] such[0] as[0] the[0] scene[0] where[0] joe[0] is[0] invited[0] to[0] join[0] bill's[0] family[0] for[0] dinner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when joe starts enjoying peanut butter and later falls in love , the experience is somewhat different . 	when joe starts enjoying peanut butter and later falls in love , the experience is somewhat different .	3	-1	 when[0] joe[0] starts[0] enjoying[2] peanut[0] butter[0] and[0] later[0] falls[0] in[0] love[2] the[0] experience[0] is[0] somewhat[0] different[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is obvious that a story like this story is very difficult to structure . 	it is obvious that a story like this story is very difficult to structure .	2	-3	 it[0] is[0] obvious[0] that[0] a[0] story[0] like[1] this[0] story[0] is[0] very[0] difficult[-1][-1 LastWordBoosterStrength] to[0] structure[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's one thing to say : " wouldn't it be fun to have death take human form and come down to earth . . " 	it's one thing to say : " wouldn't it be fun to have death take human form and come down to earth .<br> .<br> "	2	-3	 it's[0] one[0] thing[0] to[0] say[0] wouldn't[0] it[0] be[0] fun[1] to[0] have[0] death[-2] take[0] human[0] form[0] and[0] come[0] down[0] to[0] earth[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
to create a motion picture out of this is another . 	to create a motion picture out of this is another .	1	-1	 to[0] create[0] a[0] motion[0] picture[0] out[0] of[0] this[0] is[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four screenwriters have worked on a script that lacks drive and logic . 	four screenwriters have worked on a script that lacks drive and logic .	1	-1	 four[0] screenwriters[0] have[0] worked[0] on[0] a[0] script[0] that[0] lacks[0] drive[0] and[0] logic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is overlong and too primitive to pass as a serious film . 	it is overlong and too primitive to pass as a serious film .	1	-2	 it[0] is[0] overlong[0] and[0] too[0] primitive[0] to[0] pass[0] as[0] a[0] serious[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the other hand it demonstrates incredible performances and a very decent direction by martin brest ( " scent of a woman " ) . 	on the other hand it demonstrates incredible performances and a very decent direction by martin brest ( " scent of a woman " ) .	1	-1	 on[0] the[0] other[0] hand[0] it[0] demonstrates[0] incredible[0] performances[0] and[0] a[0] very[0] decent[0] direction[0] by[0] martin[0] brest[0] scent[0] of[0] a[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hopkins looks great in any role , and no matter how shallow or hollow it is , he will complete it . 	hopkins looks great in any role , and no matter how shallow or hollow it is , he will complete it .	3	-2	 hopkins[0] looks[0] great[2] in[0] any[0] role[0] and[0] no[0] matter[0] how[0] shallow[-1] or[0] hollow[-1] it[0] is[0] he[0] will[0] complete[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his talent and charisma are needed here more than any where else , since it actually saves the film from a complete embarrassment . 	his talent and charisma are needed here more than any where else , since it actually saves the film from a complete embarrassment .	2	-4	 his[0] talent[1] and[0] charisma[0] are[0] needed[0] here[0] more[0] than[0] any[0] where[0] else[0] since[0] it[0] actually[0] saves[1] the[0] film[0] from[0] a[0] complete[0] embarrassment[-2][-1 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
