all right , all right , we get the point : despite all similarities to the best-selling story , speechless is * not * based on the romance between 1992 presidential campaign rivals james carville and mary matalin . 	Translation	Positive	Negative	EmotionRationale
in fact , the script was in development well before 1992 . 	in fact , the script was in development well before 1992 .	1	-1	 in[0] fact[0] the[0] script[0] was[0] in[0] development[0] well[0] before[0] 1992[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , the comparisons are inevitable , until one realizes a critical difference . 	still , the comparisons are inevitable , until one realizes a critical difference .	1	-2	 still[0] the[0] comparisons[0] are[0] inevitable[0] until[0] one[0] realizes[0] a[0] critical[-1] difference[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no , it's not that the speechless twosome are speech writers , not campaign managers ; it's that carville and matalin's story is actually interesting . 	no , it's not that the speechless twosome are speech writers , not campaign managers ; it's that carville and matalin's story is actually interesting .	2	-1	 no[0] it's[0] not[0] that[0] the[0] speechless[0] twosome[0] are[0] speech[0] writers[0] not[0] campaign[0] managers[0] it's[0] that[0] carville[0] and[0] matalin's[0] story[0] is[0] actually[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
speechless is a limp , poorly structured would-be romantic comedy . 	speechless is a limp , poorly structured would-be romantic comedy .	4	-2	 speechless[0] is[0] a[0] limp[-1] poorly[-1] structured[0] would[0] be[0] romantic[3] comedy[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
speechless is set during a new mexico senatorial campaign , where kevin vallick ( michael keaton ) and julia mann ( geena davis ) meet and get romantic one night when neither one can sleep . 	speechless is set during a new mexico senatorial campaign , where kevin vallick ( michael keaton ) and julia man ( geena davis ) meet and get romantic one night when neither one can sleep .	4	-1	 speechless[0] is[0] set[0] during[0] a[0] new[0] mexico[0] senatorial[0] campaign[0] where[0] kevin[0] vallick[0] michael[0] keaton[0] and[0] julia[0] mann/man[0] geena[0] davis[0] meet[0] and[0] get[0] romantic[3] one[0] night[0] when[0] neither[0] one[0] can[0] sleep[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
what neither one realizes is that they are on opposite sides of the campaign : kevin is a sit-com writer brought in to punch up the republican candidate's speeches , while julia is the chief speech writer for the democratic candidate . 	what neither one realizes is that they are on opposite sides of the campaign : kevin is a sit-com writer brought in to punch up the republican candidate's speeches , while julia is the chief speech writer for the democratic candidate .	1	-2	 what[0] neither[0] one[0] realizes[0] is[0] that[0] they[0] are[0] on[0] opposite[0] sides[0] of[0] the[0] campaign[0] kevin[0] is[0] a[0] sit[0] com[0] writer[0] brought[0] in[0] to[0] punch[-1] up[0] the[0] republican[0] candidate's[0] speeches[0] while[0] julia[0] is[0] the[0] chief[0] speech[0] writer[0] for[0] the[0] democratic[0] candidate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at first each one believes that the other has an ulterior motive for the relationship , but eventually they let down their guard and become closer . 	at first each one believes that the other has an ulterior motive for the relationship , but eventually they let down their guard and become closer .	1	-1	 at[0] first[0] each[0] one[0] believes[0] that[0] the[0] other[0] has[0] an[0] ulterior[0] motive[0] for[0] the[0] relationship[0] but[0] eventually[0] they[0] let[0] down[0] their[0] guard[0] and[0] become[0] closer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there are plent of obstacles in the way , including julia's stud-reporter fiance ( christopher reeve ) and a series of stunts which continue to prove that all's fair in love and politics . 	but there are plent of obstacles in the way , including julia's stud-reporter fiance ( christopher reeve ) and a series of stunts which continue to prove that all's fair in love and politics .	3	-2	 but[0] there[0] are[0] plent[0] of[0] obstacles[-1] in[0] the[0] way[0] including[0] julia's[0] stud[0] reporter[0] fiance[0] christopher[0] reeve[0] and[0] a[0] series[0] of[0] stunts[0] which[0] continue[0] to[0] prove[0] that[0] all's[0] fair[0] in[0] love[2] and[0] politics[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the standard formula for a movie like speechless would have the two principles starting out as antagonists and realizing only at the end that they're crazy about each other . 	the standard formula for a movie like speechless would have the two principles starting out as antagonists and realizing only at the end that they're crazy about each other .	2	-2	 the[0] standard[0] formula[0] for[0] a[0] movie[0] like[1] speechless[0] would[0] have[0] the[0] two[0] principles[0] starting[0] out[0] as[0] antagonists[-1] and[0] realizing[0] only[0] at[0] the[0] end[0] that[0] they're[0] crazy[-1] about[0] each[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
screenwriter robert king completely subverts expectations by throwing kevin and julia into each other's arms in the first fifteen minutes , then developing the antagonism . 	screenwriter robert king completely subverts expectations by throwing kevin and julia into each other's arms in the first fifteen minutes , then developing the antagonism .	1	-2	 screenwriter[0] robert[0] king[0] completely[0] subverts[0] expectations[0] by[0] throwing[0] kevin[0] and[0] julia[0] into[0] each[0] other's[0] arms[0] in[0] the[0] first[0] fifteen[0] minutes[0] then[0] developing[0] the[0] antagonism[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
