in 1989 , tim burton took the legendary comic book figure of batman and turned him into a huge box office hit with an atmospheric little film that created an utterly distinct feeling somewhere between film noir and the godfather . 	Translation	Positive	Negative	EmotionRationale
was it " deep " ? 	was it " deep " ?	1	-1	 was[0] it[0] deep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nope . 	nope .	1	-1	 nope[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however it was a perfect entertainment and the audience ate it up . 	however it was a perfect entertainment and the audience ate it up .	2	-1	 however[0] it[0] was[0] a[0] perfect[1] entertainment[0] and[0] the[0] audience[0] ate[0] it[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it was natural that roger ebert trashed it writing that it was " without the comic book uplift " of the indiana jones and superman pictures . 	it was natural that roger ebert trashed it writing that it was " without the comic book uplift " of the indiana jones and superman pictures .	1	-2	 it[0] was[0] natural[0] that[0] roger[0] ebert[0] trashed[-1] it[0] writing[0] that[0] it[0] was[0] without[0] the[0] comic[0] book[0] uplift[0] of[0] the[0] indiana[0] jones[0] and[0] superman[0] pictures[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
which was true . 	which was true .	2	-1	 which[0] was[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if what you were looking for was the tale of a heroic man's escadapes and adventures you were looking in the wrong place . 	if what you were looking for was the tale of a heroic man's escadapes and adventures you were looking in the wrong place .	3	-2	 if[0] what[0] you[0] were[0] looking[0] for[0] was[0] the[0] tale[0] of[0] a[0] heroic[2] man's[0] escadapes[0] and[0] adventures[0] you[0] were[0] looking[0] in[0] the[0] wrong[-1] place[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if those films were tom sawyer , then batman was huckleberry finn . 	if those films were tom sawyer , then batman was huckleberry fin .	1	-1	 if[0] those[0] films[0] were[0] tom[0] sawyer[0] then[0] batman[0] was[0] huckleberry[0] finn/fin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some critics ( glenn lovell of the san jose mercury news and peter travers of rolling stone ) realized that it was something special ; mr . lovell gave it * * * 1/2 and wrote that " this is batman as batman should be . " ; 	some critics ( glen lovell of the san jose mercury news and peter travers of rolling stone ) realized that it was something special ; mr .<br> lovell gave it * * * 1/2 and wrote that " this is batman as batman should be .<br> " ;	2	-1	 some[0] critics[0] glenn/glen[0] lovell[0] of[0] the[0] san[0] jose[0] mercury[0] news[0] and[0] peter[0] travers[0] of[0] rolling[0] stone[0] realized[0] that[0] it[0] was[0] something[0] special[1] mr[0] [[Sentence=-1,2=word max, 1-5]] lovell[0] gave[0] it[0] 1/2[0] and[0] wrote[0] that[0] this[0] is[0] batman[0] as[0] batman[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
mr . travers called it one of the ten best films of the year . 	mr .<br> travers called it one of the ten best films of the year .	2	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] travers[0] called[0] it[0] one[0] of[0] the[0] ten[0] best[1] films[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the praise was deserved - from start to finish the film was enthralling , exciting , and superb in every respect . 	the praise was deserved - from start to finish the film was enthralling , exciting , and superb in every respect .	3	-1	 the[0] praise[2] was[0] deserved[0] from[0] start[0] to[0] finish[0] the[0] film[0] was[0] enthralling[0] exciting[2] and[0] superb[0] in[0] every[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there was no doubt that there would be a sequel directed by burton . 	there was no doubt that there would be a sequel directed by burton .	1	-2	 there[0] was[0] no[0] doubt[-1] that[0] there[0] would[0] be[0] a[0] sequel[0] directed[0] by[0] burton[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result was batman returns which forgets that it wants to be fun within the first five minutes . 	the result was batman returns which forgets that it wants to be fun within the first five minutes .	2	-1	 the[0] result[0] was[0] batman[0] returns[0] which[0] forgets[0] that[0] it[0] wants[0] to[0] be[0] fun[1] within[0] the[0] first[0] five[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the villains ( the hideous penguin and seductive catwoman ) take over , and our epectations are always left unfulfilled - when we wanted the penguin to bite off batman's nose he simply gets mad , and when we want catwoman to slither over batman's body she gets pushed off a building . 	the villains ( the hideous penguin and seductive catwoman ) take over , and our epectations are always left unfulfilled - when we wanted the penguin to bite off batman's nose he simply gets mad , and when we want catwoman to slither over batman's body she gets pushed off a building .	1	-3	 the[0] villains[-2] the[0] hideous[-1] penguin[0] and[0] seductive[0] catwoman[0] take[0] over[0] and[0] our[0] epectations[0] are[0] always[0] left[0] unfulfilled[0] when[0] we[0] wanted[0] the[0] penguin[0] to[0] bite[0] off[0] batman's[0] nose[0] he[0] simply[0] gets[0] mad[-1] and[0] when[0] we[0] want[0] catwoman[0] to[0] slither[0] over[0] batman's[0] body[0] she[0] gets[0] pushed[0] off[0] a[0] building[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i admire mr . burton for trying to do more then entertain , but the result is a mess . 	i admire mr .<br> burton for trying to do more then entertain , but the result is a mess .	3	-1	 i[0] admire[2] mr[0] [[Sentence=-1,3=word max, 1-5]] burton[0] for[0] trying[0] to[0] do[0] more[0] then[0] entertain[0] but[0] the[0] result[0] is[0] a[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
nothing works out as planned - it fails both to entertain and to enlighten . 	nothing works out as planned - it fails both to entertain and to enlighten .	1	-3	 nothing[0] works[0] out[0] as[0] planned[0] it[0] fails[-2] both[0] to[0] entertain[0] and[0] to[0] enlighten[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hints are made to the audience that this film could be a blast . 	hints are made to the audience that this film could be a blast .	1	-1	 hints[0] are[0] made[0] to[0] the[0] audience[0] that[0] this[0] film[0] could[0] be[0] a[0] blast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alas , these are only hints . 	alas , these are only hints .	1	-2	 alas[-1] these[0] are[0] only[0] hints[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are , don't misunderstand me , several moments of cinematic genuis contained ; catwoman and batman understand eachother perfectly without a word on the subject being said ; christopher lloyd is trapped , by the penguin , within a giant cage ; a small basket is dropped into a large river ; but nothing is drawn together and burton is unable to make the film work on any regular basis . 	there are , don't misunderstand me , several moments of cinematic genuis contained ; catwoman and batman understand eachother perfectly without a word on the subject being said ; christopher lloyd is trapped , by the penguin , within a giant cage ; a small basket is dropped into a large river ; but nothing is drawn together and burton is unable to make the film work on any regular basis .	2	-1	 there[0] are[0] don't[0] misunderstand[-1][NegatedDueToPreviousWord] me[0] several[0] moments[0] of[0] cinematic[0] genuis[0] contained[0] catwoman[0] and[0] batman[0] understand[0] eachother[0] perfectly[1] without[0] a[0] word[0] on[0] the[0] subject[0] being[0] said[0] christopher[0] lloyd[0] is[0] trapped[0] by[0] the[0] penguin[0] within[0] a[0] giant[0] cage[0] a[0] small[0] basket[0] is[0] dropped[0] into[0] a[0] large[0] river[0] but[0] nothing[0] is[0] drawn[0] together[0] and[0] burton[0] is[0] unable[0] to[0] make[0] the[0] film[0] work[0] on[0] any[0] regular[0] basis[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a weak followup , both career and sequel wise , batman returns is sometimes dazzling , but to often dissapointing . 	a weak followup , both career and sequel wise , batman returns is sometimes dazling , but to often dissapointing .	1	-2	 a[0] weak[-1] followup[0] both[0] career[0] and[0] sequel[0] wise[0] batman[0] returns[0] is[0] sometimes[0] dazzling/dazling[0] but[0] to[0] often[0] dissapointing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
