the most depressing thing about the depressingly pedestrian james bond film " the world is not enough " is its final frame : white letters on a black background proclaiming " james bond will return . " 	Translation	Positive	Negative	EmotionRationale
oh i certainly hope not . 	oh i certainly hope not .	3	-1	 oh[0] i[0] certainly[0] hope[2] not[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with pierce brosnan in his third and reportedly last go-round as james bond 007 , " the world is not enough " is the best example to date that " 'enough " is enough . 	with pierce brosnan in his third and reportedly last go-round as james bond 007 , " the world is not enough " is the best example to date that " 'enough " is enough .	2	-1	 with[0] pierce[0] brosnan[0] in[0] his[0] third[0] and[0] reportedly[0] last[0] go[0] round[0] as[0] james[0] bond[0] 007[0] the[0] world[0] is[0] not[0] enough[0] is[0] the[0] best[1] example[0] to[0] date[0] that[0] 'enough[0] is[0] enough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in this , the 19th chapter in the seemingly-endless franchise featuring ian fleming's debonair british secret agent who likes his martinis--and his nemeses--shaken not stirred , the sub-inspired screenwriters have chosen to rehash all of the setups , stunts , and sexy encounters of the previous 18 bond flicks rather than coming up with anything the slightest bit original . 	in this , the 19th chapter in the seemingly-endless franchise featuring ian fleming's debonair british secret agent who likes his martinis-and his nemeses-shaken not stirred , the sub-inspired screenwriters have chosen to rehash all of the setups , stunts , and sexy encounters of the previous 18 bond flicks rather than coming up with anything the slightest bit original .	3	-2	 in[0] this[0] the[0] 19th[0] chapter[0] in[0] the[0] seemingly[0] endless[0] franchise[0] featuring[0] ian[0] fleming's[0] debonair[0] british[0] secret[0] agent[0] who[0] likes[2] his[0] martinis[0] and[0] his[0] nemeses[0] shaken[-1] not[0] stirred[0] the[0] sub[0] inspired[2] screenwriters[0] have[0] chosen[0] to[0] rehash[0] all[0] of[0] the[0] setups[0] stunts[0] and[0] sexy[2] encounters[0] of[0] the[0] previous[0] 18[0] bond[0] flicks[0] rather[0] than[0] coming[0] up[0] with[0] anything[0] the[0] slightest[0] bit[0] original[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we've got previously-used speedboat chases , ski chases , and sticky situations aboard nuclear submarines . 	we've got previously-used speedboat chases , ski chases , and sticky situations aboard nuclear submarines .	1	-2	 we've[0] got[0] previously[0] used[0] speedboat[0] chases[-1] ski[0] chases[-1] and[0] sticky[0] situations[0] aboard[0] nuclear[0] submarines[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we've got a couple of hot-to-trot babes without an ounce of acting ability between them . 	we've got a couple of hot-to-trot babes without an ounce of acting ability between them .	1	-1	 we've[0] got[0] a[0] couple[0] of[0] hot[0] to[0] trot[0] babes[0] without[0] an[0] ounce[0] of[0] acting[0] ability[0] between[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we've got a post-cold war megalomaniac bent on world domination slash destruction ( here played by a skinheaded robert carlyle with mean , lean panache ) . 	we've got a post-cold war megalomaniac bent on world domination slash destruction ( here played by a skinheaded robert carlyle with mean , lean panache ) .	1	-3	 we've[0] got[0] a[0] post[0] cold[-1] war[-2] megalomaniac[0] bent[0] on[0] world[0] domination[-1] slash[-1] destruction[-1] here[0] played[0] by[0] a[0] skinheaded[0] robert[0] carlyle[0] with[0] mean[0] lean[0] panache[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and , as has been the case since 1977's " the spy who loved me , " we've got a plot that has nothing whatsoever to do with anything conceived by mr . fleming . 	and , as has been the case since 1977's " the spy who loved me , " we've got a plot that has nothing whatsoever to do with anything conceived by mr .<br> fleming .	4	-1	 and[0] as[0] has[0] been[0] the[0] case[0] since[0] 1977's[0] the[0] spy[0] who[0] loved[3] me[0] we've[0] got[0] a[0] plot[0] that[0] has[0] nothing[0] whatsoever[0] to[0] do[0] with[0] anything[0] conceived[0] by[0] mr[0] [[Sentence=-1,4=word max, 1-5]] fleming[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
we've also got a main title song by garbage to which , with very little effort , you can fit the lyrics to * both * songs from " tomorrow never dies . " 	we've also got a main title song by garbage to which , with very little effort , you can fit the lyrics to * both * songs from " tomorrow never dies .<br> "	1	-3	 we've[0] also[0] got[0] a[0] main[0] title[0] song[0] by[0] garbage[-2] to[0] which[0] with[0] very[0] little[0] effort[0] you[0] can[0] fit[0] the[0] lyrics[0] to[0] both[0] songs[0] from[0] tomorrow[0] never[0] dies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while originality was never the series' strong suit , the films were almost always fun , with at least some thought going into the nonstop stunts . 	while originality was never the series' strong suit , the films were almost always fun , with at least some thought going into the nonstop stunts .	2	-1	 while[0] originality[0] was[0] never[0] the[0] series'[0] strong[0] suit[0] the[0] films[0] were[0] almost[0] always[0] fun[1] with[0] at[0] least[0] some[0] thought[0] going[0] into[0] the[0] nonstop[0] stunts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't think of one memorable set-piece in the entire--and very dull-- " the world is not enough . " 	i can't think of one memorable set-piece in the entire-and very dull- " the world is not enough .<br> "	1	-3	 i[0] can't[0] think[0] of[0] one[0] memorable[0] set[0] piece[0] in[0] the[0] entire[0] and[0] very[0] dull[-1][-1 LastWordBoosterStrength] the[0] world[0] is[0] not[0] enough[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
