so , it's thirty years later , and oscar and felix are together again . 	Translation	Positive	Negative	EmotionRationale
that might have been an exciting notion if it wasn't for the fact that the " odd couple " of jack lemmon and walter matthau have been reunited in several recent movies : 1993's " grumpy old men , " 1995's " grumpier old men , " and 1997's " out to sea " ( i . e . 	that might have been an exciting notion if it wasn't for the fact that the " odd couple " of jack lemon and walter matthau have been reunited in several recent movies : 1993's " grumpy old men , " 1995's " grumpier old men , " and 1997's " out to sea " ( i .<br> e .	3	-1	 that[0] might[0] have[0] been[0] an[0] exciting[2] notion[0] if[0] it[0] wasn't[0] for[0] the[0] fact[0] that[0] the[0] odd[0] couple[0] of[0] jack[0] lemmon/lemon[0] and[0] walter[0] matthau[0] have[0] been[0] reunited[0] in[0] several[0] recent[0] movies[0] 1993's[0] grumpy[0] old[0] men[0] 1995's[0] grumpier[0] old[0] men[0] and[0] 1997's[0] out[0] to[0] sea[0] i[0] [[Sentence=-1,3=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
 " grumpiest old men " ) . 	 " grumpiest old men " ) .	1	-1	 grumpiest[0] old[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , " the odd couple ii " ( i . e . 	so , " the odd couple i " ( i .<br> e .	1	-1	 so[0] the[0] odd[0] couple[0] ii/i[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the grumpiest old men of all , really " ) seems just another entry in a tired series . 	 " the grumpiest old men of all , really " ) seems just another entry in a tired series .	1	-2	 the[0] grumpiest[0] old[0] men[0] of[0] all[0] really[0] seems[0] just[0] another[0] entry[0] in[0] a[0] tired[-1] series[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is even similar to that of " grumpy old men " in that lemmon and matthau's mismatched characters are brought together by a romance between their children . 	the plot is even similar to that of " grumpy old men " in that lemon and matthau's mismatched characters are brought together by a romance between their children .	4	-1	 the[0] plot[0] is[0] even[0] similar[0] to[0] that[0] of[0] grumpy[0] old[0] men[0] in[0] that[0] lemmon/lemon[0] and[0] matthau's[0] mismatched[0] characters[0] are[0] brought[0] together[0] by[0] a[0] romance[3] between[0] their[0] children[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
oscar's son ( jonathan silverman ) and felix's daughter ( lisa waltz ) are getting married , and former roommates felix ungar ( lemmon ) and oscar madison ( matthau ) meet at the airport and decide to share a car . 	oscar's son ( jonathan silverman ) and felix's daughter ( lisa waltz ) are getting married , and former roommates felix ungar ( lemon ) and oscar madison ( matthau ) meet at the airport and decide to share a car .	1	-1	 oscar's[0] son[0] jonathan[0] silverman[0] and[0] felix's[0] daughter[0] lisa[0] waltz[0] are[0] getting[0] married[0] and[0] former[0] roommates[0] felix[0] ungar[0] lemmon/lemon[0] and[0] oscar[0] madison[0] matthau[0] meet[0] at[0] the[0] airport[0] and[0] decide[0] to[0] share[0] a[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
then hilarity ensues . 	then hilarity ensues .	3	-1	 then[0] hilarity[2] ensues[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , a few chuckles ensue anyway . 	well , a few chuckles ensue anyway .	3	-1	 well[0] a[0] few[0] chuckles[2] ensue[0] anyway[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
neil simon , the award-winning playwright who created oscar and felix , provides the screenplay , which is a shock , because the script is a piece of talentless hackwork from beginning to end . 	neil simon , the award-winning playwright who created oscar and felix , provides the screenplay , which is a shock , because the script is a piece of talentless hackwork from beginning to end .	2	-3	 neil[0] simon[0] the[0] award[0] winning[1] playwright[0] who[0] created[0] oscar[0] and[0] felix[0] provides[0] the[0] screenplay[0] which[0] is[0] a[0] shock[-2] because[0] the[0] script[0] is[0] a[0] piece[0] of[0] talentless[-2] hackwork[0] from[0] beginning[0] to[0] end[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unlike the original play/movie , " odd couple ii " doesn't find its humor in the personality conflict of its characters . 	unlike the original play/movie , " odd couple i " doesn't find its humor in the personality conflict of its characters .	3	-2	 unlike[0] the[0] original[0] play/movie[0] odd[0] couple[0] ii/i[0] doesn't[0] find[0] its[0] humor[2] in[0] the[0] personality[0] conflict[-1] of[0] its[0] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead , it depends upon a series of humorous situations : oscar and felix lose the car over a cliff , are caught smuggling mexicans over the border , take up with two women on the run from their violent husbands ( the women are played by christine baranski of " cybill " and jean smart of " designing women " ) , and hitch a ride with a man who dies in the desert . 	instead , it depends upon a series of humorous situations : oscar and felix lose the car over a cliff , are caught smuggling mexicans over the border , take up with two women on the run from their violent husbands ( the women are played by christine baranski of " cybill " and jean smart of " designing women " ) , and hitch a ride with a man who dies in the desert .	3	-3	 instead[0] it[0] depends[0] upon[0] a[0] series[0] of[0] humorous[2] situations[0] oscar[0] and[0] felix[0] lose[-1] the[0] car[0] over[0] a[0] cliff[0] are[0] caught[0] smuggling[-1] mexicans[0] over[0] the[0] border[0] take[0] up[0] with[0] two[0] women[0] on[0] the[0] run[0] from[0] their[0] violent[-2] husbands[0] the[0] women[0] are[0] played[0] by[0] christine[0] baranski[0] of[0] cybill[0] and[0] jean[0] smart[1] of[0] designing[0] women[0] and[0] hitch[0] a[0] ride[0] with[0] a[0] man[0] who[0] dies[0] in[0] the[0] desert[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the original 1968 movie " the odd couple " remains a classic comedy . 	the original 1968 movie " the odd couple " remains a classic comedy .	1	-1	 the[0] original[0] 1968[0] movie[0] the[0] odd[0] couple[0] remains[0] a[0] classic[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it introduced the motif of roommate-as-spouse that has provided gags for movies and sitcoms ever since . 	it introduced the motif of roommate-as-spouse that has provided gags for movies and sitcoms ever since .	1	-1	 it[0] introduced[0] the[0] motif[0] of[0] roommate[0] as[0] spouse[0] that[0] has[0] provided[0] gags[0] for[0] movies[0] and[0] sitcoms[0] ever[0] since[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was the second outing for the lemmon/matthau team ( which debuted in 1966's " the fortune cookie " ) , and they made a couple more worthwhile comedies , " the front page " ( 1974 ) and " buddy buddy " ( 1981 ) , before going their separate ways . 	it was the second outing for the lemmon/matthau team ( which debuted in 1966's " the fortune cookie " ) , and they made a couple more worthwhile comedies , " the front page " ( 1974 ) and " buddy buddy " ( 1981 ) , before going their separate ways .	2	-1	 it[0] was[0] the[0] second[0] outing[0] for[0] the[0] lemmon/matthau[0] team[0] which[0] debuted[0] in[0] 1966's[0] the[0] fortune[0] cookie[0] and[0] they[0] made[0] a[0] couple[0] more[0] worthwhile[1] comedies[0] the[0] front[0] page[0] 1974[0] and[0] buddy[0] buddy[0] 1981[0] before[0] going[0] their[0] separate[0] ways[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the reunion of lemmon and matthau in " grumpy old men " six years ago was delightful , and its sequel seemed appropriate because it tied up some loose ends from the first movie . 	the reunion of lemon and matthau in " grumpy old men " six years ago was delightful , and its sequel seemed appropriate because it tied up some loose ends from the first movie .	3	-1	 the[0] reunion[0] of[0] lemmon/lemon[0] and[0] matthau[0] in[0] grumpy[0] old[0] men[0] six[0] years[0] ago[0] was[0] delightful[2] and[0] its[0] sequel[0] seemed[0] appropriate[0] because[0] it[0] tied[0] up[0] some[0] loose[0] ends[0] from[0] the[0] first[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but " out to sea " and " the odd couple ii " are just beating a grumpy old horse . 	but " out to sea " and " the odd couple i " are just beating a grumpy old horse .	1	-1	 but[0] out[0] to[0] sea[0] and[0] the[0] odd[0] couple[0] ii/i[0] are[0] just[0] beating[0] a[0] grumpy[0] old[0] horse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( you can add lemmon's " my fellow americans , " i . e . 	 ( you can add lemmon's " my fellow americans , " i .<br> e .	1	-1	 you[0] can[0] add[0] lemmon's[0] my[0] fellow[0] americans[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " grumpy old presidents , " to that list , too . ) 	 " grumpy old presidents , " to that list , too .<br> )	1	-1	 grumpy[0] old[0] presidents[0] to[0] that[0] list[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
