some movies ask you to leave your brain at the door , some movies ask you to believe in the impossible to really have a good time . 	Translation	Positive	Negative	EmotionRationale
playing god asks just one simple , eensy , teensy thing so it can fully entertain you , it's accomplished in just four easy to follow steps : crack open your skull , scoop out your brain , squish it under your foot several times and reverse steps two and one . 	playing god asks just one simple , eensy , teensy thing so it can fully entertain you , it's accomplished in just four easy to follow steps : crack open your skull , scoop out your brain , squish it under your foot several times and reverse steps two and one .	2	-1	 playing[1] god[0] asks[0] just[0] one[0] simple[0] eensy[0] teensy[0] thing[0] so[0] it[0] can[0] fully[0] entertain[0] you[0] it's[0] accomplished[1] in[0] just[0] four[0] easy[0] to[0] follow[0] steps[0] crack[0] open[0] your[0] skull[0] scoop[0] out[0] your[0] brain[0] squish[0] it[0] under[0] your[0] foot[0] several[0] times[0] and[0] reverse[0] steps[0] two[0] and[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
congratulations , you now have all the necessary requirements to fully enjoy a whole lot of nothing . 	congratulations , you now have all the necessary requirements to fully enjoy a whole lot of nothing .	3	-1	 congratulations[2] you[0] now[0] have[0] all[0] the[0] necessary[0] requirements[0] to[0] fully[0] enjoy[2] a[0] whole[0] lot[0] of[0] nothing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some movies fail at the box office but you manage to see why the producers thought it could have been a good movie , others are simply good ideas that are badly executed . 	some movies fail at the box office but you manage to see why the producers thought it could have been a good movie , others are simply good ideas that are badly executed .	2	-3	 some[0] movies[0] fail[-2] at[0] the[0] box[0] office[0] but[0] you[0] manage[0] to[0] see[0] why[0] the[0] producers[0] thought[0] it[0] could[0] have[0] been[0] a[0] good[1] movie[0] others[0] are[0] simply[0] good[1] ideas[0] that[0] are[0] badly[-1] executed[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
then there's playing god , which enters the esteemed category of movies which seem to have grown from the union of a drunk director , actors satisfied in the knowledge that this horrible flick will have no lasting impact on their careers and a bunch of rip-offs ( or homages as they like to call it ) from other , better movies that end up looking like an unflushed toilet . 	then there's playing god , which enters the esteemed category of movies which seem to have grown from the union of a drunk director , actors satisfied in the knowledge that this horrible flick will have no lasting impact on their careers and a bunch of rip-offs ( or homages as they like to call it ) from other , better movies that end up looking like an unflushed toilet .	2	-4	 then[0] there's[0] playing[1] god[0] which[0] enters[0] the[0] esteemed[0] category[0] of[0] movies[0] which[0] seem[0] to[0] have[0] grown[0] from[0] the[0] union[0] of[0] a[0] drunk[-1] director[0] actors[0] satisfied[1] in[0] the[0] knowledge[0] that[0] this[0] horrible[-3] flick[0] will[0] have[0] no[0] lasting[0] impact[0] on[0] their[0] careers[0] and[0] a[0] bunch[0] of[0] rip[-1] offs[0] or[0] homages[0] as[0] they[0] like[1] to[0] call[0] it[0] from[0] other[0] better[0] movies[0] that[0] end[0] up[0] looking[0] like[1] an[0] unflushed[0] toilet[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
harsh ? maybe . 	harsh ?<br> maybe .	1	-2	 harsh[-1] [[Sentence=-2,1=word max, 1-5]] maybe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
justified ? 	justified ?	1	-1	 justified[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hell yes ! 	hell yes !	1	-2	 hell[-1] yes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a movie that is not just satisfied in ripping off other movies but feels the need to remind us of that fact every ten minutes . 	this is a movie that is not just satisfied in ripping off other movies but feels the need to remind us of that fact every ten minutes .	1	-1	 this[0] is[0] a[0] movie[0] that[0] is[0] not[0] just[0] satisfied[1][-1 LastWordBoosterStrength] in[0] ripping[0] off[0] other[0] movies[0] but[0] feels[0] the[0] need[0] to[0] remind[0] us[0] of[0] that[0] fact[0] every[0] ten[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , a gunman bursts into a garden with the two guns in his hands firing away . 	for example , a gunman bursts into a garden with the two guns in his hands firing away .	1	-2	 for[0] example[0] a[0] gunman[-1] bursts[0] into[0] a[0] garden[0] with[0] the[0] two[0] guns[-1] in[0] his[0] hands[0] firing[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this does look moderately kool , but the camera lingers on the actor for so long you can almost hear the director yelling : " oooh , look look ! 	this does look moderately kool , but the camera lingers on the actor for so long you can almost hear the director yelling : " ooh , look look !	1	-1	 this[0] does[0] look[0] moderately[0] kool[0] but[0] the[0] camera[0] lingers[0] on[0] the[0] actor[0] for[0] so[0] long[0] you[0] can[0] almost[0] hear[0] the[0] director[0] yelling[0] oooh/ooh[0] look[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
