back in february at the monthly los angeles comic book and science fiction convention , new line cinema put on a lavish presentation for its big-screen update of the cult 1960s sci-fi tv show lost in space , complete with in-person appearances by cast members mimi rogers , matt leblanc , lacey chabert , jack johnson , and even gary oldman . 	Translation	Positive	Negative	EmotionRationale
that should have set off my warning alarms--the last time such an extravagant film presentation took place at the convention was nearly five years ago , when none other than arnold schwarzenegger made an in-person cameo to peddle . . . 	that should have set off my warning alarms-the last time such an extravagant film presentation took place at the convention was nearly five years ago , when none other than arnold schwarzenegger made an in-person cameo to peddle .<br> .<br> .	1	-3	 that[0] should[0] have[0] set[0] off[0] my[0] warning[0] alarms[-2] the[0] last[0] time[0] such[0] an[0] extravagant[-1] film[0] presentation[0] took[0] place[0] at[0] the[0] convention[0] was[0] nearly[0] five[0] years[0] ago[0] when[0] none[0] other[0] than[0] arnold[0] schwarzenegger[0] made[0] an[0] in[0] person[0] cameo[0] to[0] peddle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
last action hero . 	last action hero .	3	-1	 last[0] action[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but no , like millions of others , i bought into the hype and " got lost . " 	but no , like millions of others , i bought into the hype and " got lost .<br> "	2	-1	 but[0] no[0] like[1] millions[0] of[0] others[0] i[0] bought[0] into[0] the[0] hype[0] and[0] got[0] lost[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if only i had gotten lost--literally--on the way to theatre and spared myself the tedium of this sloppily slapped-together blockbuster wannabe . 	if only i had gotten lost-literally-on the way to theatre and spared myself the tedium of this sloppily slapped-together blockbuster wannabe .	1	-2	 if[0] only[0] i[0] had[0] gotten[0] lost[0] literally[0] on[0] the[0] way[0] to[0] theatre[0] and[0] spared[0] myself[0] the[0] tedium[0] of[0] this[0] sloppily[0] slapped[-1] together[0] blockbuster[-1] wannabe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you may find yourself wondering if director stephen hopkins and screenwriter akiva goldsman were lost themselves when they made the film . 	you may find yourself wondering if director stephen hopkins and screenwriter akiva goldsman were lost themselves when they made the film .	1	-1	 you[0] may[0] find[0] yourself[0] wondering[0] if[0] director[0] stephen[0] hopkins[0] and[0] screenwriter[0] akiva[0] goldsman[0] were[0] lost[0] themselves[0] when[0] they[0] made[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the convention , goldsman claimed to be a rabid fan of the original television series , and if that really is the case , i'd hate to see what he does with concepts he only has mild interest in . 	at the convention , goldsman claimed to be a rabid fan of the original television series , and if that really is the case , i'd hate to see what he does with concepts he only has mild interest in .	2	-4	 at[0] the[0] convention[0] goldsman[0] claimed[0] to[0] be[0] a[0] rabid[0] fan[0] of[0] the[0] original[0] television[0] series[0] and[0] if[0] that[0] really[0] is[0] the[0] case[0] i'd[0] hate[-3] to[0] see[0] what[0] he[0] does[0] with[0] concepts[0] he[0] only[0] has[0] mild[0] interest[1] in[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
to say that his script lacks narrative cohesion is to imply that there is a narrative to begin with--which there most certainly is not . 	to say that his script lacks narrative cohesion is to imply that there is a narrative to begin with-which there most certainly is not .	1	-1	 to[0] say[0] that[0] his[0] script[0] lacks[0] narrative[0] cohesion[0] is[0] to[0] imply[0] that[0] there[0] is[0] a[0] narrative[0] to[0] begin[0] with[0] which[0] there[0] most[0] certainly[0] is[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the setup , in which the robinson family--father john ( william hurt , looking and sounding as spaced out as he does in interviews ) , mother maureen ( rogers , wasted ) , daughters judy ( heather graham , ditto ) and penny ( a heavily made-up chabert , looking like a junior version of neve campbell in wild things ) , and son will ( young newcomer johnson , making the best of it ) --and pilot don west ( leblanc , doing a bad han solo impression ) find themselves lost in space after their ship is sabotaged by evil stowaway dr . smith ( a watered-down but still-lively oldman , cashing a paycheck and loving every minute ) , the script's " stream " of events becomes so fragmented and random that it seems to be made up as it goes along--and hopkins does little to make what does go on the slightest bit interesting . 	after the setup , in which the robinson family-father john ( william hurt , looking and sounding as spaced out as he does in interviews ) , mother maureen ( rogers , wasted ) , daughters judy ( heather graham , ditto ) and penny ( a heavily made-up chabert , looking like a junior version of neve campbell in wild things ) , and son will ( young newcomer johnson , making the best of it ) -and pilot don west ( leblanc , doing a bad han solo impression ) find themselves lost in space after their ship is sabotaged by evil stowaway dr .<br> smith ( a watered-down but still-lively oldman , cashing a paycheck and loving every minute ) , the script's " stream " of events becomes so fragmented and random that it seems to be made up as it goes along-and hopkins does little to make what does go on the slightest bit interesting .	4	-3	 after[0] the[0] setup[0] in[0] which[0] the[0] robinson[0] family[0] father[0] john[0] william[0] hurt[-2] looking[0] and[0] sounding[0] as[0] spaced[0] out[0] as[0] he[0] does[0] in[0] interviews[0] mother[0] maureen[0] rogers[0] wasted[-1] daughters[0] judy[0] heather[0] graham[0] ditto[0] and[0] penny[0] a[0] heavily[0] made[0] up[0] chabert[0] looking[0] like[1] a[0] junior[0] version[0] of[0] neve[0] campbell[0] in[0] wild[0] things[0] and[0] son[0] will[0] young[0] newcomer[0] johnson[0] making[0] the[0] best[1] of[0] it[0] and[0] pilot[0] don[0] west[0] leblanc[0] doing[0] a[0] bad[-1] han[0] solo[0] impression[0] find[0] themselves[0] lost[0] in[0] space[0] after[0] their[0] ship[0] is[0] sabotaged[-1] by[0] evil[-2] stowaway[0] dr[0] [[Sentence=-3,2=word max, 1-5]] smith[0] a[0] watered[0] down[0] but[0] still[0] lively[1] oldman[0] cashing[0] a[0] paycheck[0] and[0] loving[3] every[0] minute[0] the[0] script's[0] stream[0] of[0] events[0] becomes[0] so[0] fragmented[0] and[0] random[0] that[0] it[0] seems[0] to[0] be[0] made[0] up[0] as[0] it[0] goes[0] along[0] and[0] hopkins[0] does[0] little[0] to[0] make[0] what[0] does[0] go[0] on[0] the[0] slightest[0] bit[0] interesting[1] [[Sentence=-1,4=word max, 1-5]][[[4,-3 max of sentences]]]
they encounter another ship . 	they encounter another ship .	1	-1	 they[0] encounter[0] another[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they board it . 	they board it .	1	-1	 they[0] board[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alien spiders attack them . 	alien spiders attack them .	1	-3	 alien[-1] spiders[0] attack[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they return to their ship . 	they return to their ship .	1	-1	 they[0] return[0] to[0] their[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other one explodes . 	the other one explodes .	1	-2	 the[0] other[0] one[0] explodes[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they land on a deserted planet . 	they land on a deserted planet .	1	-1	 they[0] land[0] on[0] a[0] deserted[0] planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and so on . 	and so on .	1	-1	 and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an attempt at a plot involving time travel occurs in the third act , but goldsman doesn't seem to understand the rules that come with using such a story device ; when one character's past self dies , the future incarnation inexplicably lives on . 	an attempt at a plot involving time travel occurs in the third act , but goldsman doesn't seem to understand the rules that come with using such a story device ; when one character's past self dies , the future incarnation inexplicably lives on .	1	-1	 an[0] attempt[0] at[0] a[0] plot[0] involving[0] time[0] travel[0] occurs[0] in[0] the[0] third[0] act[0] but[0] goldsman[0] doesn't[0] seem[0] to[0] understand[0] the[0] rules[0] that[0] come[0] with[0] using[0] such[0] a[0] story[0] device[0] when[0] one[0] character's[0] past[0] self[0] dies[0] the[0] future[0] incarnation[0] inexplicably[0] lives[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the look and effects should be lost in space's ace-in-the-hole , but hopkins even manages to botch that . 	the look and effects should be lost in space's ace-in-the-hole , but hopkins even manages to botch that .	1	-1	 the[0] look[0] and[0] effects[0] should[0] be[0] lost[0] in[0] space's[0] ace[0] in[0] the[0] hole[0] but[0] hopkins[0] even[0] manages[0] to[0] botch[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a big-budget film , the visual effects are incredibly shoddy . 	for a big-budget film , the visual effects are incredibly shoddy .	1	-4	 for[0] a[0] big[0] budget[0] film[0] the[0] visual[0] effects[0] are[0] incredibly[0] shoddy[-1][-2 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in one composite background shot , i could see the blue outline around oldman ; the various digital effects for the space battle scenes look like . . . 	in one composite background shot , i could see the blue outline around oldman ; the various digital effects for the space battle scenes look like .<br> .<br> .	2	-2	 in[0] one[0] composite[0] background[0] shot[-1] i[0] could[0] see[0] the[0] blue[0] outline[0] around[0] oldman[0] the[0] various[0] digital[0] effects[0] for[0] the[0] space[0] battle[-1] scenes[0] look[0] like[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
digital effects . 	digital effects .	1	-1	 digital[0] effects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but nothing in those shots is as jaw-droppingly unconvincing as blawp , a monkey-like space creature that becomes penny's pet . 	but nothing in those shots is as jaw-droppingly unconvincing as blawp , a monkey-like space creature that becomes penny's pet .	2	-1	 but[0] nothing[0] in[0] those[0] shots[0] is[0] as[0] jaw[0] droppingly[0] unconvincing[0] as[0] blawp[0] a[0] monkey[0] like[1] space[0] creature[0] that[0] becomes[0] penny's[0] pet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
entirely computer-generated and every inch showing it , blawp looks like it was lifted directly from a sony playstation game . 	entirely computer-generated and every inch showing it , blawp looks like it was lifted directly from a sony playstation game .	2	-1	 entirely[0] computer[0] generated[0] and[0] every[0] inch[0] showing[0] it[0] blawp[0] looks[0] like[1] it[0] was[0] lifted[0] directly[0] from[0] a[0] sony[0] playstation[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
apparently hopkins thought the same and tried desperately to hide it ; how else can one explain the graininess of blawp's composite shots with the human actors ? 	apparently hopkins thought the same and tried desperately to hide it ; how else can one explain the graininess of blawp's composite shots with the human actors ?	1	-3	 apparently[0] hopkins[0] thought[0] the[0] same[0] and[0] tried[0] desperately[-2] to[0] hide[0] it[0] how[0] else[0] can[0] one[0] explain[0] the[0] graininess[0] of[0] blawp's[0] composite[0] shots[0] with[0] the[0] human[0] actors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but in doing so , the seams are that much more obvious . 	but in doing so , the seams are that much more obvious .	1	-1	 but[0] in[0] doing[0] so[0] the[0] seams[0] are[0] that[0] much[0] more[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you have to be severely visually impaired to not be distracted when a grainy shot of penny and blawp is immediately followed by a crystal-clear solo reaction shot of judy . 	you have to be severely visually impaired to not be distracted when a grainy shot of penny and blawp is immediately followed by a crystal-clear solo reaction shot of judy .	2	-2	 you[0] have[0] to[0] be[0] severely[-1] visually[0] impaired[-1] to[0] not[0] be[0] distracted[-1][NegatedDueToPreviousWord] when[0] a[0] grainy[0] shot[-1] of[0] penny[0] and[0] blawp[0] is[0] immediately[0] followed[0] by[0] a[0] crystal[0] clear[0] solo[0] reaction[0] shot[-1] of[0] judy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
new line is hoping lost in space will become a big franchise much like the long-running star trek cash cow at paramount . 	new line is hoping lost in space will become a big franchise much like the long-running star trek cash cow at paramount .	2	-1	 new[0] line[0] is[0] hoping[1] lost[0] in[0] space[0] will[0] become[0] a[0] big[0] franchise[0] much[0] like[1] the[0] long[0] running[0] star[0] trek[0] cash[0] cow[0] at[0] paramount[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't think so . 	i don't think so .	1	-1	 i[0] don't[0] think[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a few years , the lost in space movie will likely live on not as a series but as the obscure answer to a trivia question : what film ended titanic's 15-week reign at the top of the weekend box office ? 	in a few years , the lost in space movie will likely live on not as a series but as the obscure answer to a trivia question : what film ended titanic's 15-week reign at the top of the weekend box office ?	1	-2	 in[0] a[0] few[0] years[0] the[0] lost[0] in[0] space[0] movie[0] will[0] likely[0] live[0] on[0] not[0] as[0] a[0] series[0] but[0] as[0] the[0] obscure[0] answer[0] to[0] a[0] trivia[-1] question[0] what[0] film[0] ended[0] titanic's[0] 15[0] week[0] reign[0] at[0] the[0] top[0] of[0] the[0] weekend[0] box[0] office[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
