this independent film written and directed by eric bross has the look and feel of all those other troubled blue-collar youth films that have inundated the market in recent times . 	Translation	Positive	Negative	EmotionRationale
it is hard to tell what is independent about this film ; it might as well have been made in hollywood or on a home videocam . 	it is hard to tell what is independent about this film ; it might as well have been made in hollywood or on a home videocam .	1	-1	 it[0] is[0] hard[0] to[0] tell[0] what[0] is[0] independent[0] about[0] this[0] film[0] it[0] might[0] as[0] well[0] have[0] been[0] made[0] in[0] hollywood[0] or[0] on[0] a[0] home[0] videocam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the debut film for the director , who tells his personal story about italians growing up with heavy new jersey accents and remaining tight with each other as they grow into young adults , a tale which could have been rewarding to see in the 1950s , where the mind-set of all the characters depicted is grounded , but to see it in the 1990s is a different story : it is old news . 	it is the debut film for the director , who tells his personal story about italians growing up with heavy new jersey accents and remaining tight with each other as they grow into young adults , a tale which could have been rewarding to see in the 1950s , where the mind-set of all the characters depicted is grounded , but to see it in the 1990s is a different story : it is old news .	2	-1	 it[0] is[0] the[0] debut[0] film[0] for[0] the[0] director[0] who[0] tells[0] his[0] personal[0] story[0] about[0] italians[0] growing[0] up[0] with[0] heavy[0] new[0] jersey[0] accents[0] and[0] remaining[0] tight[0] with[0] each[0] other[0] as[0] they[0] grow[0] into[0] young[0] adults[0] a[0] tale[0] which[0] could[0] have[0] been[0] rewarding[1] to[0] see[0] in[0] the[0] 1950s[0] where[0] the[0] mind[0] set[0] of[0] all[0] the[0] characters[0] depicted[0] is[0] grounded[0] but[0] to[0] see[0] it[0] in[0] the[0] 1990s[0] is[0] a[0] different[0] story[0] it[0] is[0] old[0] news[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the love story between the simple girl waiting to get married and her luckless boyfriend turning nasty on her doesn't mean much , since their relationship remained undeveloped . 	the love story between the simple girl waiting to get married and her luckless boyfriend turning nasty on her doesn't mean much , since their relationship remained undeveloped .	3	-3	 the[0] love[2] story[0] between[0] the[0] simple[0] girl[0] waiting[0] to[0] get[0] married[0] and[0] her[0] luckless[-2] boyfriend[0] turning[0] nasty[-2] on[0] her[0] doesn't[0] mean[0] much[0] since[0] their[0] relationship[0] remained[0] undeveloped[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the introduction of the wise-guy angle and the loyality among buddies bit , are not moving enough emotional experiences or intelligent enough dramatics to elevate this film above its limited story line despite the tour-de-force performance by the star of the film , adrien brody as ray . 	the introduction of the wise-guy angle and the loyality among buddies bit , are not moving enough emotional experiences or intelligent enough dramatics to elevate this film above its limited story line despite the tour-de-force performance by the star of the film , adrien brody as ray .	2	-2	 the[0] introduction[0] of[0] the[0] wise[0] guy[0] angle[0] and[0] the[0] loyality[1] among[0] buddies[0] bit[0] are[0] not[0] moving[0] enough[0] emotional[-1] experiences[0] or[0] intelligent[1] enough[0] dramatics[0] to[0] elevate[0] this[0] film[0] above[0] its[0] limited[0] story[0] line[0] despite[0] the[0] tour[0] de[0] force[-1] performance[0] by[0] the[0] star[0] of[0] the[0] film[0] adrien[0] brody[0] as[0] ray[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ray is the only son of a low-level mobster once arrested for running an illegal casino operation out of his bloomfield , new jersey , suburban basement . 	ray is the only son of a low-level mobster once arrested for running an illegal casino operation out of his bloomfield , new jersey , suburban basement .	1	-2	 ray[0] is[0] the[0] only[0] son[0] of[0] a[0] low[-1] level[0] mobster[0] once[0] arrested[0] for[0] running[0] an[0] illegal[-1] casino[0] operation[0] out[0] of[0] his[0] bloomfield[0] new[0] jersey[0] suburban[0] basement[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ray sr . ( vincent ) is now trying to make a go of it by running a small scale home-repair business . 	ray sr .<br> ( vincent ) is now trying to make a go of it by running a small scale home-repair business .	1	-1	 ray[0] sr[0] [[Sentence=-1,1=word max, 1-5]] vincent[0] is[0] now[0] trying[0] to[0] make[0] a[0] go[0] of[0] it[0] by[0] running[0] a[0] small[0] scale[0] home[0] repair[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his son lives with him and works unhappily as a shoe salesman , dreaming of getting rich quickly so he can open a business and marry his long-time waitress girlfriend joanne ( sybil ) . 	his son lives with him and works unhappily as a shoe salesman , dreaming of getting rich quickly so he can open a business and marry his long-time waitress girlfriend joanne ( sybil ) .	1	-3	 his[0] son[0] lives[0] with[0] him[0] and[0] works[0] unhappily[-2] as[0] a[0] shoe[0] salesman[0] dreaming[0] of[0] getting[0] rich[0] quickly[0] so[0] he[0] can[0] open[0] a[0] business[0] and[0] marry[0] his[0] long[0] time[0] waitress[0] girlfriend[0] joanne[0] sybil[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the title of this film refers to the shoe size of paul newman-10b , which really has nothing to do with explaining anything about the film . you 	the title of this film refers to the shoe size of paul newman-10b , which really has nothing to do with explaining anything about the film .<br> you	1	-1	 the[0] title[0] of[0] this[0] film[0] refers[0] to[0] the[0] shoe[0] size[0] of[0] paul[0] newman[0] -10b[0] which[0] really[0] has[0] nothing[0] to[0] do[0] with[0] explaining[0] anything[0] about[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
should be aware that there are a lot of things about this film that don't make sense : its constant brainless chatter between the buddies , their uneventful growing pains , and the despair of their lives , make it very difficult to feel any empathy for them . 	should be aware that there are a lot of things about this film that don't make sense : its constant brainless chatter between the buddies , their uneventful growing pains , and the despair of their lives , make it very difficult to feel any empathy for them .	1	-4	 should[0] be[0] aware[0] that[0] there[0] are[0] a[0] lot[0] of[0] things[0] about[0] this[0] film[0] that[0] don't[0] make[0] sense[0] its[0] constant[0] brainless[0] chatter[0] between[0] the[0] buddies[0] their[0] uneventful[0] growing[0] pains[-3] and[0] the[0] despair[-3] of[0] their[0] lives[0] make[0] it[0] very[0] difficult[-1][-1 LastWordBoosterStrength] to[0] feel[0] any[0] empathy[0] for[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
desperate to make his dream come through , ray goes to a loanshark , humorously and menacingly played by james e . moriarty , and borrows 10 grand to bet on a " sure thing " at freehold raceway . 	desperate to make his dream come through , ray goes to a loanshark , humorously and menacingly played by james e .<br> moriarty , and borrows 10 grand to bet on a " sure thing " at freehold raceway .	3	-3	 desperate[-2] to[0] make[0] his[0] dream[0] come[0] through[0] ray[0] goes[0] to[0] a[0] loanshark[0] humorously[2] and[0] menacingly[0] played[0] by[0] james[0] e[0] [[Sentence=-3,3=word max, 1-5]] moriarty[0] and[0] borrows[0] 10[0] grand[1] to[0] bet[0] on[0] a[0] sure[0] thing[0] at[0] freehold[0] raceway[0] [[Sentence=-1,2=word max, 1-5]][[[3,-3 max of sentences]]]
