look ! the new version of " psycho " came out and the world didn't end ! 	Translation	Positive	Negative	EmotionRationale
i guess gus van sant really isn't the bringer of the apocalypse ! 	i guess gus van sant really isn't the bringer of the apocalypse !	1	-1	 i[0] guess[0] gus[0] van[0] sant[0] really[0] isn't[0] the[0] bringer[0] of[0] the[0] apocalypse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , though , that " psycho " didn't end the world as we know is the best thing that can be said for it . 	unfortunately , though , that " psycho " didn't end the world as we know is the best thing that can be said for it .	2	-2	 unfortunately[-1] though[0] that[0] psycho[0] didn't[0] end[0] the[0] world[0] as[0] we[0] know[0] is[0] the[0] best[1] thing[0] that[0] can[0] be[0] said[0] for[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
van sant's controversial " re-telling " of alfred hitchcock's classic 1960 film has polarized filmgoers everywhere ( even before it premiered . ) 	van sant's controversial " re-telling " of alfred hitchcock's classic 1960 film has polarized filmgoers everywhere ( even before it premiered .<br> )	1	-2	 van[0] sant's[0] controversial[-1] re[0] telling[0] of[0] alfred[0] hitchcock's[0] classic[0] 1960[0] film[0] has[0] polarized[0] filmgoers[0] everywhere[0] even[0] before[0] it[0] premiered[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without benefit of an actual viewing , many have said that the film will , at best , suck . 	without benefit of an actual viewing , many have said that the film will , at best , suck .	2	-2	 without[0] benefit[0] of[0] an[0] actual[0] viewing[0] many[0] have[0] said[0] that[0] the[0] film[0] will[0] at[0] best[1] suck[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
being an ( almost ) good critic , i waited until i actually saw it to decide that the film , at best , sucked ( and that concludes the use of the word " suck " and , hopefully , the thoughts that i am a brain-dead orangutan . ) 	being an ( almost ) good critic , i waited until i actually saw it to decide that the film , at best , sucked ( and that concludes the use of the word " suck " and , hopefully , the thoughts that i am a brain-dead orangutan .<br> )	2	-3	 being[0] an[0] almost[0] good[1] critic[-1] i[0] waited[0] until[0] i[0] actually[0] saw[0] it[0] to[0] decide[0] that[0] the[0] film[0] at[0] best[1] sucked[-1] and[0] that[0] concludes[0] the[0] use[0] of[0] the[0] word[0] suck[-1] and[0] hopefully[0] the[0] thoughts[0] that[0] i[0] am[0] a[0] brain[0] dead[-2] orangutan[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
director gus van sant took the original hitchcock film and refilmed it , shot-for-shot , using the same , exact script ( with a few minor alterations . ) 	director gus van sant took the original hitchcock film and refilmed it , shot-for-shot , using the same , exact script ( with a few minor alterations .<br> )	1	-2	 director[0] gus[0] van[0] sant[0] took[0] the[0] original[0] hitchcock[0] film[0] and[0] refilmed[0] it[0] shot[-1] for[0] shot[-1] using[0] the[0] same[0] exact[0] script[0] with[0] a[0] few[0] minor[0] alterations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the inherent challenge was in making the film suspenseful and scary , even though a large group of the audience will know exactly what will happen at the exact time . 	the inherent challenge was in making the film suspenseful and scary , even though a large group of the audience will know exactly what will happen at the exact time .	1	-4	 the[0] inherent[0] challenge[-1] was[0] in[0] making[0] the[0] film[0] suspenseful[0] and[0] scary[-3] even[0] though[0] a[0] large[0] group[0] of[0] the[0] audience[0] will[0] know[0] exactly[0] what[0] will[0] happen[0] at[0] the[0] exact[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
suspense probably could have been attained if the actors had been able to create something new or different than the original . 	suspense probably could have been attained if the actors had been able to create something new or different than the original .	1	-1	 suspense[0] probably[0] could[0] have[0] been[0] attained[0] if[0] the[0] actors[0] had[0] been[0] able[0] to[0] create[0] something[0] new[0] or[0] different[0] than[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadly , that did not occur . 	sadly , that did not occur .	1	-2	 sadly[-1] that[0] did[0] not[0] occur[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is hard to be overshadowed by vera miles and john gavin ( from the original " psycho ) , but that is what exactly happened to julianne moore and viggo mortensen . 	it is hard to be overshadowed by vera miles and john gavin ( from the original " psycho ) , but that is what exactly happened to julianne more and viggo mortensen .	1	-1	 it[0] is[0] hard[0] to[0] be[0] overshadowed[0] by[0] vera[0] miles[0] and[0] john[0] gavin[0] from[0] the[0] original[0] psycho[0] but[0] that[0] is[0] what[0] exactly[0] happened[0] to[0] julianne[0] moore/more[0] and[0] viggo[0] mortensen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
