because no one demanded it : david duchovny in a romantic comedy ! 	Translation	Positive	Negative	EmotionRationale
at last , both his romantic magnetism and his comedic brilliance are mined for all their resources ! 	at last , both his romantic magnetism and his comedic brilliance are mined for all their resources !	4	-1	 at[0] last[0] both[0] his[0] romantic[3] magnetism[0] and[0] his[0] comedic[0] brilliance[1] are[0] mined[0] for[0] all[0] their[0] resources[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the choice of duchovny may have something to do with the plot , which could be fodder for a valentine's day episode of " the x-files . " 	the choice of duchovny may have something to do with the plot , which could be fodder for a valentine's day episode of " the x-files .<br> "	2	-1	 the[0] choice[0] of[0] duchovny[0] may[0] have[0] something[0] to[0] do[0] with[0] the[0] plot[0] which[0] could[0] be[0] fodder[0] for[0] a[0] valentine's[0] day[0] episode[0] of[0] the[0] x[1] files[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bob rueland ( david duchovny ) loses his wife elizabeth ( joely richardson ) in a car accident . 	bob rueland ( david duchovny ) loses his wife elizabeth ( joely richardson ) in a car accident .	1	-2	 bob[0] rueland[0] david[0] duchovny[0] loses[-1] his[0] wife[0] elizabeth[0] joely[0] richardson[0] in[0] a[0] car[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the same time , grace briggs ( minnie driver ) is in the hospital , waiting for a heart transplant . 	at the same time , grace briggs ( minnie driver ) is in the hospital , waiting for a heart transplant .	3	-1	 at[0] the[0] same[0] time[0] grace[2] briggs[0] minnie[0] driver[0] is[0] in[0] the[0] hospital[0] waiting[0] for[0] a[0] heart[0] transplant[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
grace gets elizabeth's heart , and it leads her to bob . 	grace gets elizabeth's heart , and it leads her to bob .	3	-1	 grace[2] gets[0] elizabeth's[0] heart[0] and[0] it[0] leads[0] her[0] to[0] bob[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's the romantic equivalent of all those horror films where someone gets a transplant from a serial killer and then is driven to slaughter people . 	it's the romantic equivalent of all those horror films where someone gets a transplant from a serial killer and then is driven to slaughter people .	4	-4	 it's[0] the[0] romantic[3] equivalent[0] of[0] all[0] those[0] horror[-3] films[0] where[0] someone[0] gets[0] a[0] transplant[0] from[0] a[0] serial[0] killer[-1] and[0] then[0] is[0] driven[0] to[0] slaughter[-1] people[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
four writers are credited with contributing to the story . 	four writers are credited with contributing to the story .	1	-1	 four[0] writers[0] are[0] credited[0] with[0] contributing[0] to[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that doesn't seem possible . 	that doesn't seem possible .	1	-1	 that[0] doesn't[0] seem[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite being a solid two hours long , " return to me " adds little to the " boy meets girl / boy loses girl " formula and , as a result , is terribly tedious and slow-moving . 	despite being a solid two hours long , " return to me " adds little to the " boy meets girl / boy loses girl " formula and , as a result , is terribly tedious and slow-moving .	1	-4	 despite[0] being[0] a[0] solid[0] two[0] hours[0] long[0] return[0] to[0] me[0] adds[0] little[0] to[0] the[0] boy[0] meets[0] girl[0] /[0] boy[0] loses[-1] girl[0] formula[0] and[0] as[0] a[0] result[0] is[0] terribly[-3] tedious[-2][-1 MultiplePositiveWords] and[0] slow[0] moving[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
duchovny and driver seem unable to generate any sparks , and i kept wishing for a fast-forward button to move their scenes along . 	duchovny and driver seem unable to generate any sparks , and i kept wishing for a fast-forward button to move their scenes along .	1	-1	 duchovny[0] and[0] driver[0] seem[0] unable[0] to[0] generate[0] any[0] sparks[0] and[0] i[0] kept[0] wishing[0] for[0] a[0] fast[0] forward[0] button[0] to[0] move[0] their[0] scenes[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since driver has managed to work well in romantic roles before , i blame duchovny . 	since driver has managed to work well in romantic roles before , i blame duchovny .	4	-2	 since[0] driver[0] has[0] managed[0] to[0] work[0] well[0] in[0] romantic[3] roles[0] before[0] i[0] blame[-1] duchovny[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
he's out of his element without the manufactured and static sexual tension of his tv series ( and i've always thought that the relationship between mulder and scully on " the x-files " comes off more sibling-like than hot-and-bothered ) . 	he's out of his element without the manufactured and static sexual tension of his tv series ( and i've always thought that the relationship between mulder and scully on " the x-files " comes off more sibling-like than hot-and-bothered ) .	2	-3	 he's[0] out[0] of[0] his[0] element[0] without[0] the[0] manufactured[0] and[0] static[-1] sexual[0] tension[-2] of[0] his[0] tv[0] series[0] and[0] i've[0] always[0] thought[0] that[0] the[0] relationship[0] between[0] mulder[0] and[0] scully[0] on[0] the[0] x[1] files[0] comes[0] off[0] more[0] sibling[0] like[1] than[0] hot[0] and[0] bothered[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's something about duchovny that makes me uneasy . 	there's something about duchovny that makes me uneasy .	1	-2	 there's[0] something[0] about[0] duchovny[0] that[0] makes[0] me[0] uneasy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
regardless of the role he's playing , he comes off as a weirdo . 	regardless of the role he's playing , he comes off as a weirdo .	2	-2	 regardless[-1] of[0] the[0] role[0] he's[0] playing[1] he[0] comes[0] off[0] as[0] a[0] weirdo[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only redeeming quality of " return to me " is its hilarious supporting cast . 	the only redeeming quality of " return to me " is its hilarious supporting cast .	3	-1	 the[0] only[0] redeeming[0] quality[0] of[0] return[0] to[0] me[0] is[0] its[0] hilarious[2] supporting[1] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the circle of friends and relatives around bob and grace is constantly playing matchmaker , and they generate the only laughs in the movie . 	the circle of friends and relatives around bob and grace is constantly playing matchmaker , and they generate the only laughs in the movie .	3	-1	 the[0] circle[0] of[0] friends[1] and[0] relatives[0] around[0] bob[0] and[0] grace[2] is[0] constantly[0] playing[1] matchmaker[0] and[0] they[0] generate[0] the[0] only[0] laughs[1] in[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
carroll o'connor is grace's grandfather marty o'reilly . 	carroll o'connor is grace's grandfather marty o'reilly .	1	-1	 carroll[0] o'connor[0] is[0] grace's[0] grandfather[0] marty[0] o'reilly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when bob comes into marty's restaurant after hours , marty immediately begins quizzing bob about his marital status . 	when bob comes into marty's restaurant after hours , marty immediately begins quizing bob about his marital status .	1	-1	 when[0] bob[0] comes[0] into[0] marty's[0] restaurant[0] after[0] hours[0] marty[0] immediately[0] begins[0] quizzing/quizing[0] bob[0] about[0] his[0] marital[0] status[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when marty discovers that bob is a widower , he invites bob to join his poker game and introduces him with the declaration , " this is bob ! 	when marty discovers that bob is a widower , he invites bob to join his poker game and introduces him with the declaration , " this is bob !	1	-1	 when[0] marty[0] discovers[0] that[0] bob[0] is[0] a[0] widower[0] he[0] invites[0] bob[0] to[0] join[0] his[0] poker[0] game[0] and[0] introduces[0] him[0] with[0] the[0] declaration[0] this[0] is[0] bob[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his wife is dead ! " 	his wife is dead !<br> "	1	-3	 his[0] wife[0] is[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the poker buddies are just as desperate to find a mate for grace and greet bob enthusiastically when they hear the news . 	the poker buddies are just as desperate to find a mate for grace and greet bob enthusiastically when they hear the news .	3	-3	 the[0] poker[0] buddies[0] are[0] just[0] as[0] desperate[-2] to[0] find[0] a[0] mate[1] for[0] grace[2] and[0] greet[0] bob[0] enthusiastically[2] when[0] they[0] hear[0] the[0] news[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
also funny : bonnie hunt as grace's best friend megan and james belushi as megan's husband joe . 	also funny : bonnie hunt as grace's best friend megan and james belushi as megan's husband joe .	2	-1	 also[0] funny[1] bonnie[0] hunt[0] as[0] grace's[0] best[1] friend[1] megan[0] and[0] james[0] belushi[0] as[0] megan's[0] husband[0] joe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
married with children , megan and joe provide a useful counterpoint by showing the mundane results of romance . 	married with children , megan and joe provide a useful counterpoint by showing the mundane results of romance .	4	-2	 married[0] with[0] children[0] megan[0] and[0] joe[0] provide[0] a[0] useful[1] counterpoint[0] by[0] showing[0] the[0] mundane[-1] results[0] of[0] romance[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
although it's rare to see him in a movie that premieres in a theater , belushi delivers his lines with great comic skill . 	although it's rare to see him in a movie that premieres in a theater , belushi delivers his lines with great comic skill .	3	-1	 although[0] it's[0] rare[0] to[0] see[0] him[0] in[0] a[0] movie[0] that[0] premieres[0] in[0] a[0] theater[0] belushi[0] delivers[0] his[0] lines[0] with[0] great[2] comic[0] skill[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rounding out the impressive supporting cast are david alan grier as bob's best friend and robert loggia as marty's brother-in-law angelo . 	rounding out the impressive supporting cast are david alan grier as bob's best friend and robert loggia as marty's brother-in-law angelo .	2	-1	 rounding[0] out[0] the[0] impressive[1] supporting[1] cast[0] are[0] david[0] alan[0] grier[0] as[0] bob's[0] best[1] friend[1] and[0] robert[0] loggia[0] as[0] marty's[0] brother[0] in[0] law[0] angelo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
