capsule : silly and inane adaptation of gibson's short story , which is nowhere in sight . 	Translation	Positive	Negative	EmotionRationale
gibson's script only adds insult to injury . 	gibson's script only adds insult to injury .	1	-3	 gibson's[0] script[0] only[0] adds[0] insult[-2] to[0] injury[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
johnny mnemonic is an awesomely bad movie . 	johnny mnemonic is an awesomely bad movie .	3	-2	 johnny[0] mnemonic[0] is[0] an[0] awesomely[2] bad[-1] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i say " awesomely " because it's one thing to fail , but another thing entirely to fail so completely that even the chances for camp value are sabotaged . 	i say " awesomely " because it's one thing to fail , but another thing entirely to fail so completely that even the chances for camp value are sabotaged .	3	-3	 i[0] say[0] awesomely[2] because[0] it's[0] one[0] thing[0] to[0] fail[-2] but[0] another[0] thing[0] entirely[0] to[0] fail[-2] so[0] completely[0] that[0] even[0] the[0] chances[0] for[0] camp[0] value[1] are[0] sabotaged[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
keanur reeves ( who is terrible ) stars as johnny , an " information courier " who can carry dozens of gigabytes of data in his head . 	keanur reeves ( who is terrible ) stars as johnny , an " information courier " who can carry dozens of gigabytes of data in his head .	1	-4	 keanur[0] reeves[0] who[0] is[0] terrible[-3] stars[0] as[0] johnny[0] an[0] information[0] courier[0] who[0] can[0] carry[0] dozens[0] of[0] gigabytes[0] of[0] data[0] in[0] his[0] head[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is given " one last job " ( whenever you are in a movie and you hear those words , run ) , which involves him shoving so much data into his cranium that it could be lethal . 	he is given " one last job " ( whenever you are in a movie and you hear those words , run ) , which involves him shoving so much data into his cranium that it could be lethal .	1	-1	 he[0] is[0] given[0] one[0] last[0] job[0] whenever[0] you[0] are[0] in[0] a[0] movie[0] and[0] you[0] hear[0] those[0] words[0] run[0] which[0] involves[0] him[0] shoving[0] so[0] much[0] data[0] into[0] his[0] cranium[0] that[0] it[0] could[0] be[0] lethal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the neater touches that the movie brings in is that the only way he could make such an arrangement work was by ditching all of his childhood memories , but it's only followed up on in a token fashion . 	one of the neater touches that the movie brings in is that the only way he could make such an arrangement work was by ditching all of his childhood memories , but it's only followed up on in a token fashion .	1	-1	 one[0] of[0] the[0] neater[0] touches[0] that[0] the[0] movie[0] brings[0] in[0] is[0] that[0] the[0] only[0] way[0] he[0] could[0] make[0] such[0] an[0] arrangement[0] work[0] was[0] by[0] ditching[0] all[0] of[0] his[0] childhood[0] memories[0] but[0] it's[0] only[0] followed[0] up[0] on[0] in[0] a[0] token[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for his trouble , johnny gets chased by the yakuza , who seem to be the new bad guys in all the high-tech thrillers . 	for his trouble , johnny gets chased by the yakuza , who seem to be the new bad guys in all the high-tech thrillers .	2	-2	 for[0] his[0] trouble[-1] johnny[0] gets[0] chased[-1] by[0] the[0] yakuza[0] who[0] seem[0] to[0] be[0] the[0] new[0] bad[-1] guys[0] in[0] all[0] the[0] high[0] tech[0] thrillers[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what's funny is that if you watch gangster movies made * in * japan , there are whole gobs of details about genuine yakuza behavior and ethics , but of course there's no room in this movie for any of that . 	what's funny is that if you watch gangster movies made * in * japan , there are whole gobs of details about genuine yakuza behavior and ethics , but of course there's no room in this movie for any of that .	2	-1	 what's[0] funny[1] is[0] that[0] if[0] you[0] watch[0] gangster[0] movies[0] made[0] in[0] japan[0] there[0] are[0] whole[0] gobs[0] of[0] details[0] about[0] genuine[0] yakuza[0] behavior[0] and[0] ethics[0] but[0] of[0] course[0] there's[0] no[0] room[0] in[0] this[0] movie[0] for[0] any[0] of[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the yakuza are simply used to point guns , wave swords , flaunt tattoos , and grimace menacingly . 	the yakuza are simply used to point guns , wave swords , flaunt tattoos , and grimace menacingly .	1	-3	 the[0] yakuza[0] are[0] simply[0] used[0] to[0] point[0] guns[-1] wave[0] swords[0] flaunt[0] tattoos[0] and[0] grimace[-2] menacingly[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( i could go on about how gangsters and criminals of many other ethnicities have gotten thoughtful examinations in the movies -- bound by honor , sugar hill and american me come to mind -- when asians remain perpetually stereotyped . 	 ( i could go on about how gangsters and criminals of many other ethnicities have gotten thoughtful examinations in the movies - bound by honor , sugar hill and american me come to mind - when asians remain perpetually stereotyped .	2	-2	 i[0] could[0] go[0] on[0] about[0] how[0] gangsters[0] and[0] criminals[-1] of[0] many[0] other[0] ethnicities[0] have[0] gotten[0] thoughtful[1] examinations[0] in[0] the[0] movies[0] bound[0] by[0] honor[0] sugar[0] hill[0] and[0] american[0] me[0] come[0] to[0] mind[0] when[0] asians[0] remain[0] perpetually[0] stereotyped[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
