another formula 'feel good' quirky comedy from the british isles , much like " waking ned devine , " and a host of other popular low budget movies that turned a nifty profit off a thin story line . 	Translation	Positive	Negative	EmotionRationale
it is filled with likable establishment types living in a quaint town , such as tolerant vicars and policemen , plenty of eccentrics , and of locals who stick together through thick and thin . 	it is filled with likable establishment types living in a quaint town , such as tolerant vicars and policemen , plenty of eccentrics , and of locals who stick together through thick and thin .	2	-1	 it[0] is[0] filled[0] with[0] likable[0] establishment[0] types[0] living[0] in[0] a[0] quaint[0] town[0] such[0] as[0] tolerant[1] vicars[0] and[0] policemen[0] plenty[0] of[0] eccentrics[0] and[0] of[0] locals[0] who[0] stick[0] together[0] through[0] thick[0] and[0] thin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the strength of this film lies in its rational theme , that smoking pot should be legalized since it is even less dangerous than drinking alcohol . 	the strength of this film lies in its rational theme , that smoking pot should be legalized since it is even less dangerous than drinking alcohol .	1	-3	 the[0] strength[0] of[0] this[0] film[0] lies[-2] in[0] its[0] rational[0] theme[0] that[0] smoking[0] pot[0] should[0] be[0] legalized[0] since[0] it[0] is[0] even[0] less[0] dangerous[-1] than[0] drinking[0] alcohol[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is tolerable until after its first hour , it then falls completely apart , becoming just too absurd to consider as anything but sitcom fluff gone completely bananas . 	the film is tolerable until after its first hour , it then falls completely apart , becoming just too absurd to consider as anything but sitcom fluff gone completely bananas .	1	-2	 the[0] film[0] is[0] tolerable[0] until[0] after[0] its[0] first[0] hour[0] it[0] then[0] falls[0] completely[0] apart[0] becoming[0] just[0] too[0] absurd[-1] to[0] consider[0] as[0] anything[0] but[0] sitcom[0] fluff[0] gone[0] completely[0] bananas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but its long overdue message of decriminalization for certain drugs is on target and allows the film to , at least , be viewed as containing a pertinent message . 	but its long overdue message of decriminalization for certain drugs is on target and allows the film to , at least , be viewed as containing a pertinent message .	1	-1	 but[0] its[0] long[0] overdue[0] message[0] of[0] decriminalization[0] for[0] certain[0] drugs[0] is[0] on[0] target[0] and[0] allows[0] the[0] film[0] to[0] at[0] least[0] be[0] viewed[0] as[0] containing[0] a[0] pertinent[0] message[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its message is especially appropriate nowadays considering the 'war on drugs' is about to be escalated into colombia . 	its message is especially appropriate nowadays considering the 'war on drugs' is about to be escalated into colombia .	1	-1	 its[0] message[0] is[0] especially[0] appropriate[0] nowadays[0] considering[0] the[0] 'war[0] on[0] drugs'[0] is[0] about[0] to[0] be[0] escalated[0] into[0] colombia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the drug war has been a total failure so far and with no hope of it being won by law enforcement methods in the future , it has so far just ended up causing america's jails to be overcrowded with non-violent drug prisoners and offers zero hope of curtailing america's drug usage and drug supply . 	the drug war has been a total failure so far and with no hope of it being won by law enforcement methods in the future , it has so far just ended up causing america's jails to be overcrowded with non-violent drug prisoners and offers zero hope of curtailing america's drug usage and drug supply .	3	-4	 the[0] drug[0] war[-2] has[0] been[0] a[0] total[0] failure[-2][-1 LastWordBoosterStrength] so[0] far[0] and[0] with[0] no[0] hope[2] of[0] it[0] being[0] won[0] by[0] law[0] enforcement[-1] methods[0] in[0] the[0] future[0] it[0] has[0] so[0] far[0] just[0] ended[0] up[0] causing[0] america's[0] jails[-1] to[0] be[0] overcrowded[0] with[0] non[0] violent[-2] drug[0] prisoners[-1] and[0] offers[0] zero[0] hope[2] of[0] curtailing[-1] america's[0] drug[0] usage[0] and[0] drug[0] supply[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
billions of dollars have just been allocated by congress to get officially involved in the colombian civil war , by backing a corrupt government ( remember vietnam ! ) with the idea that military might could stop the cocaine and marijuana harvests in that country . 	billions of dollars have just been allocated by congress to get officially involved in the colombian civil war , by backing a corrupt government ( remember vietnam !<br> ) with the idea that military might could stop the cocaine and marijuana harvests in that country .	1	-3	 billions[0] of[0] dollars[0] have[0] just[0] been[0] allocated[0] by[0] congress[0] to[0] get[0] officially[0] involved[0] in[0] the[0] colombian[0] civil[0] war[-2] by[0] backing[0] a[0] corrupt[-2] government[0] remember[0] vietnam[0] [[Sentence=-3,1=word max, 1-5]] with[0] the[0] idea[0] that[0] military[0] might[0] could[0] stop[0] the[0] cocaine[0] and[0] marijuana[0] harvests[0] in[0] that[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
everything about this proposed action smacks of vietnam , with this scenario closer to home , so what probably awaits such an effort is a more futile result than the other war . 	everything about this proposed action smacks of vietnam , with this scenario closer to home , so what probably awaits such an effort is a more futile result than the other war .	1	-3	 everything[0] about[0] this[0] proposed[0] action[0] smacks[-1] of[0] vietnam[0] with[0] this[0] scenario[0] closer[0] to[0] home[0] so[0] what[0] probably[0] awaits[0] such[0] an[0] effort[0] is[0] a[0] more[0] futile[0] result[0] than[0] the[0] other[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film's mild theme of showing squares getting into the weed business and finding it acceptable by the public , something that should have been accepted some 40 years ago , is a theme long overdue for public acceptance , but one that is better received late than never . 	the film's mild theme of showing squares getting into the weed business and finding it acceptable by the public , something that should have been accepted some 40 years ago , is a theme long overdue for public acceptance , but one that is better received late than never .	1	-2	 the[0] film's[0] mild[0] theme[0] of[0] showing[0] squares[0] getting[0] into[0] the[0] weed[-1] business[0] and[0] finding[0] it[0] acceptable[0] by[0] the[0] public[0] something[0] that[0] should[0] have[0] been[0] accepted[0] some[0] 40[0] years[0] ago[0] is[0] a[0] theme[0] long[0] overdue[0] for[0] public[0] acceptance[0] but[0] one[0] that[0] is[0] better[0] received[0] late[0] than[0] never[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there has to be some common sense in distinguishing what drugs should be legalized and how to educate the public on this , rather than making it a police matter altogether . 	there has to be some common sense in distinguishing what drugs should be legalized and how to educate the public on this , rather than making it a police matter altogether .	1	-1	 there[0] has[0] to[0] be[0] some[0] common[0] sense[0] in[0] distinguishing[0] what[0] drugs[0] should[0] be[0] legalized[0] and[0] how[0] to[0] educate[0] the[0] public[0] on[0] this[0] rather[0] than[0] making[0] it[0] a[0] police[0] matter[0] altogether[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
