eddie murphy has a lot riding on harlem nights . 	Translation	Positive	Negative	EmotionRationale
as the movie's writer , director , executive producer , and star , murphy will shoulder all of the blame if harlem nights fails . 	as the movie's writer , director , executive producer , and star , murphy will shoulder all of the blame if harlem nights fails .	1	-3	 as[0] the[0] movie's[0] writer[0] director[0] executive[0] producer[0] and[0] star[0] murphy[0] will[0] shoulder[0] all[0] of[0] the[0] blame[-1] if[0] harlem[0] nights[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but at the same time , he'll receive all of the credit if it succeeds . 	but at the same time , he'll receive all of the credit if it succeeds .	3	-1	 but[0] at[0] the[0] same[0] time[0] he'll[0] receive[0] all[0] of[0] the[0] credit[0] if[0] it[0] succeeds[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
should you sacrifice your hard-earned cash to support murphy's risky gamble ? 	should you sacrifice your hard-earned cash to support murphy's risky gamble ?	2	-2	 should[0] you[0] sacrifice[0] your[0] hard[0] earned[0] cash[0] to[0] support[1] murphy's[0] risky[-1] gamble[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
well , that depends on whom you trust more : me or eddie murphy . 	well , that depends on whom you trust more : me or eddie murphy .	2	-1	 well[0] that[0] depends[0] on[0] whom[0] you[0] trust[1] more[0] me[0] or[0] eddie[0] murphy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here's what murphy thinks : " i think the audience is expecting a good time . 	here's what murphy thinks : " i think the audience is expecting a good time .	2	-1	 here's[0] what[0] murphy[0] thinks[0] i[0] think[0] the[0] audience[0] is[0] expecting[0] a[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they gonna get sexy . 	they gonna get sexy .	3	-1	 they[0] gonna[0] get[0] sexy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they gonna get funny . 	they gonna get funny .	2	-1	 they[0] gonna[0] get[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they gonna get drama . 	they gonna get drama .	1	-1	 they[0] gonna[0] get[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they gonna get all of that . 	they gonna get all of that .	1	-1	 they[0] gonna[0] get[0] all[0] of[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think it's the best movie i've done " ( paramount radio network ) . 	i think it's the best movie i've done " ( paramount radio network ) .	2	-1	 i[0] think[0] it's[0] the[0] best[1] movie[0] i've[0] done[0] paramount[0] radio[0] network[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
