who knew that in 16 years eddie murphy , who made such a brash , raucous big-screen splash in _48_hrs . _ , 	Translation	Positive	Negative	EmotionRationale
would become . . . 	would become .<br> .<br> .	1	-1	 would[0] become[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cuddly . 	cuddly .	3	-1	 cuddly[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the disconcerting trend begun in this summer's cutesy , largely laugh-free _doctor_dolittle_ continues with this earnest-to-a-fault dramedy . 	the disconcerting trend begun in this summer's cutesy , largely laugh-free _doctor_dolittle_ continues with this earnest-to-a-fault dramedy .	2	-2	 the[0] disconcerting[0] trend[0] begun[0] in[0] this[0] summer's[0] cutesy[1] largely[0] laugh[1] free[0] _doctor_dolittle_[0] continues[0] with[0] this[0] earnest[0] to[0] a[0] fault[-1] dramedy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although he is top-billed , here murphy is merely support for jeff goldblum , who plays ricky hayman , the programming director at a home shopping network . 	although he is top-billed , here murphy is merely support for jeff goldblum , who plays ricky hayman , the programming director at a home shopping network .	2	-1	 although[0] he[0] is[0] top[0] billed[0] here[0] murphy[0] is[0] merely[0] support[1] for[0] jeff[0] goldblum[0] who[0] plays[1] ricky[0] hayman[0] the[0] programming[0] director[0] at[0] a[0] home[0] shopping[0] network[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sales are way down , and ricky's job hangs by a thread until he meets g ( murphy ) , a mysterious spiritual guru whom a desperate ricky puts on the air . 	sales are way down , and ricky's job hangs by a thread until he meets grin� ( murphy ) , a mysterious spiritual guru whom a desperate ricky puts on the air .	1	-3	 sales[0] are[0] way[0] down[0] and[0] ricky's[0] job[0] hangs[0] by[0] a[0] thread[0] until[0] he[0] meets[0] g[0] murphy[0] a[0] mysterious[0] spiritual[0] guru[0] whom[0] a[0] desperate[-2] ricky[0] puts[0] on[0] the[0] air[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while sales skyrocket and g becomes an overnight sensation , the reinvigorated ricky's greed grows , endangering his budding romance with a goodhearted media research consultant ( kelly preston ) . 	while sales skyrocket and grin� becomes an overnight sensation , the reinvigorated ricky's greed grows , endangering his budding romance with a goodhearted media research consultant ( kelly preston ) .	4	-3	 while[0] sales[0] skyrocket[0] and[0] g[0] becomes[0] an[0] overnight[0] sensation[0] the[0] reinvigorated[0] ricky's[0] greed[-2] grows[0] endangering[-1] his[0] budding[0] romance[3] with[0] a[0] goodhearted[0] media[0] research[0] consultant[0] kelly[0] preston[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
writer tom schulman has some promising ideas , satirizing home shopping and infomercials and the nature of instant celebrity . 	writer tom schulman has some promising ideas , satirizing home shopping and infomercials and the nature of instant celebrity .	1	-1	 writer[0] tom[0] schulman[0] has[0] some[0] promising[1][-1 LastWordBoosterStrength] ideas[0] satirizing[0] home[0] shopping[0] and[0] infomercials[0] and[0] the[0] nature[0] of[0] instant[0] celebrity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but these ideas would have more bite if stephen herek had invested any energy into the direction of the film . 	but these ideas would have more bite if stephen herek had invested any energy into the direction of the film .	1	-1	 but[0] these[0] ideas[0] would[0] have[0] more[0] bite[0] if[0] stephen[0] herek[0] had[0] invested[0] any[0] energy[0] into[0] the[0] direction[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sluggishly paced _holy_man_ is not only slow and overlong ( 113 minutes ) , but an unfunny bore , and murphy can do little to juice up the proceedings ; cleansed of both the attitude _and_ comic sensibility that made him a star ( g is , for the most part , a straight man ) , he is a curiously lifeless presence . 	the sluggishly paced _holy_man_ is not only slow and overlong ( 113 minutes ) , but an unfunny bore , and murphy can do little to juice up the proceedings ; cleansed of both the attitude _and_ comic sensibility that made him a star ( grin� is , for the most part , a straight man ) , he is a curiously lifeless presence .	1	-2	 the[0] sluggishly[-1] paced[0] _holy_man_[0] is[0] not[0] only[0] slow[0] and[0] overlong[0] 113[0] minutes[0] but[0] an[0] unfunny[0] bore[-1] and[0] murphy[0] can[0] do[0] little[0] to[0] juice[0] up[0] the[0] proceedings[0] cleansed[0] of[0] both[0] the[0] attitude[0] _and_[0] comic[0] sensibility[0] that[0] made[0] him[0] a[0] star[0] g[0] is[0] for[0] the[0] most[0] part[0] a[0] straight[0] man[0] he[0] is[0] a[0] curiously[0] lifeless[-1] presence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
goldblum is actually quite good , but it's hard for the audience to sustain much interest in his character and spiritual journey when the director doesn't seem to be much interested , either . 	goldblum is actually quite good , but it's hard for the audience to sustain much interest in his character and spiritual journey when the director doesn't seem to be much interested , either .	2	-1	 goldblum[0] is[0] actually[0] quite[0] good[1] but[0] it's[0] hard[0] for[0] the[0] audience[0] to[0] sustain[0] much[0] interest[1] in[0] his[0] character[0] and[0] spiritual[0] journey[0] when[0] the[0] director[0] doesn't[0] seem[0] to[0] be[0] much[0] interested[1] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
