one of the responses those that enjoy " detroit rock city " ( probably kiss fans , mostly ) might have upon first glance at the rating i've given the film might be something like : " oh , that casey's gone and become a jaded critic on us . 	Translation	Positive	Negative	EmotionRationale
just what did he expect out of a dumb teenage rock n' roll movie like this ? " 	just what did he expect out of a dumb teenage rock n' roll movie like this ?<br> "	2	-2	 just[0] what[0] did[0] he[0] expect[0] out[0] of[0] a[0] dumb[-1] teenage[0] rock[1] n'[0] roll[0] movie[0] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'm wondering the same thing . 	i'm wondering the same thing .	1	-1	 i'm[0] wondering[0] the[0] same[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i feel like i should have had a grand time with " detroit rock city . " 	i feel like i should have had a grand time with " detroit rock city .<br> "	2	-1	 i[0] feel[0] like[1] i[0] should[0] have[0] had[0] a[0] grand[1] time[0] with[0] detroit[0] rock[1] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's the sort of movie i wish i could've had a lot of fun with , but i didn't . 	it's the sort of movie i wish i could've had a lot of fun with , but i didn't .	2	-1	 it's[0] the[0] sort[0] of[0] movie[0] i[0] wish[0] i[0] could've[0] had[0] a[0] lot[0] of[0] fun[1] with[0] but[0] i[0] didn't[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i just didn't . 	i just didn't .	1	-1	 i[0] just[0] didn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
surely this film isn't trying to win any major awards , so should i have expected an oscar-caliber film ? 	surely this film isn't trying to win any major awards , so should i have expected an oscar-caliber film ?	1	-1	 surely[0] this[0] film[0] isn't[0] trying[0] to[0] win[0] any[0] major[0] awards[0] so[0] should[0] i[0] have[0] expected[0] an[0] oscar[0] caliber[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , but i expected something . 	no , but i expected something .	1	-1	 no[0] but[0] i[0] expected[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a funny joke . 	a funny joke .	2	-1	 a[0] funny[1] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a clever prank . 	a clever prank .	1	-1	 a[0] clever[0] prank[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a plot development . 	a plot development .	1	-1	 a[0] plot[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anything . 	anything .	1	-1	 anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie never delivers . 	the movie never delivers .	1	-1	 the[0] movie[0] never[0] delivers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you've got to marvel at how the filmmakers managed to come up with a movie that is truly about nothing . 	you've got to marvel at how the filmmakers managed to come up with a movie that is truly about nothing .	2	-1	 you've[0] got[0] to[0] marvel[0] at[0] how[0] the[0] filmmakers[0] managed[0] to[0] come[0] up[0] with[0] a[0] movie[0] that[0] is[0] truly[1] about[0] nothing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
