of course i knew this going in . 	Translation	Positive	Negative	EmotionRationale
why is it that whenever a tv-star makes a movie it's always a romantic comedy , and then they say on entertainment tonight or something , that they were " attracted to the characters . 	why is it that whenever a tv-star makes a movie it's always a romantic comedy , and then they say on entertainment tonight or something , that they were " attracted to the characters .	4	-1	 why[0] is[0] it[0] that[0] whenever[0] a[0] tv[0] star[0] makes[0] a[0] movie[0] it's[0] always[0] a[0] romantic[3] comedy[0] and[0] then[0] they[0] say[0] on[0] entertainment[0] tonight[0] or[0] something[0] that[0] they[0] were[0] attracted[1] to[0] the[0] characters[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
they were really original . " 	they were really original .<br> "	1	-1	 they[0] were[0] really[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
original ? ! let me give you a run-through of picture perfect : character a ) kate ( jennifer aniston , from tv's friends ) , a smart , beautiful , professional woman wants two things she can't have : a new job-title and the love of her co-worker kevin bacon . 	original ?<br> !<br> let me give you a run-through of picture perfect : character a ) kate ( jennifer aniston , from tv's friends ) , a smart , beautiful , professional woman wants two things she can't have : a new job-title and the love of her co-worker kevin bacon .	3	-1	 original[0] [[Sentence=-1,1=word max, 1-5]] let[0] me[0] give[0] you[0] a[0] run[0] through[0] of[0] picture[0] perfect[1] character[0] a[0] kate[0] jennifer[0] aniston[0] from[0] tv's[0] friends[1] a[0] smart[1] beautiful[2] professional[0] woman[0] wants[0] two[0] things[0] she[0] can't[0] have[0] a[0] new[0] job[0] title[0] and[0] the[0] love[2] of[0] her[0] co[0] worker[0] kevin[0] bacon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her boss will only give her the job if she gets married and gets a mortgage and gets a lease on a german sportscar , and kevin bacon pnly sleeps with married or involved girls . 	her boss will only give her the job if she gets married and gets a mortgage and gets a lease on a german sportscar , and kevin bacon pnly sleeps with married or involved girls .	1	-2	 her[0] boss[0] will[0] only[0] give[0] her[0] the[0] job[0] if[0] she[0] gets[0] married[0] and[0] gets[0] a[0] mortgage[0] and[0] gets[0] a[0] lease[0] on[0] a[0] german[-1] sportscar[0] and[0] kevin[0] bacon[0] pnly[0] sleeps[0] with[0] married[0] or[0] involved[0] girls[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what does she do ? 	what does she do ?	1	-1	 what[0] does[0] she[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she invents a fiance ! 	she invents a fiance !	1	-1	 she[0] invents[0] a[0] fiance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then when everyone wants to meet him , she tells some poor schmoe she met at a wedding that she will pay him  1000 to pretend to be in love with her for a company dinner , and pick a fight with her at the end , thus breaking the engagement but still being able to keep her job , since the guy ends up looking like a jerk and she is the poor , defenceless female . 	then when everyone wants to meet him , she tells some poor schmoe she met at a wedding that she will pay him  100 to pretend to be in love with her for a company dinner , and pick a fight with her at the end , thus breaking the engagement but still being able to keep her job , since the guy ends up looking like a jerk and she is the poor , defenceless female .	3	-3	 then[0] when[0] everyone[0] wants[0] to[0] meet[0] him[0] she[0] tells[0] some[0] poor[-1][--1 LastWordBoosterStrength] schmoe[0] she[0] met[0] at[0] a[0] wedding[0] that[0] she[0] will[0] pay[0] him[0] 1000/100[0] to[0] pretend[-1] to[0] be[0] in[0] love[2] with[0] her[0] for[0] a[0] company[0] dinner[0] and[0] pick[0] a[0] fight[-2] with[0] her[0] at[0] the[0] end[0] thus[0] breaking[0] the[0] engagement[0] but[0] still[0] being[0] able[0] to[0] keep[0] her[0] job[0] since[0] the[0] guy[0] ends[0] up[0] looking[0] like[1] a[0] jerk[-2] and[0] she[0] is[0] the[0] poor[-1] defenceless[0] female[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he , of course , goes along with it . 	he , of course , goes along with it .	1	-1	 he[0] of[0] course[0] goes[0] along[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gee , i wonder if they get together in the end . 	gee , i wonder if they get together in the end .	1	-1	 gee[0] i[0] wonder[0] if[0] they[0] get[0] together[0] in[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've seen more original stuff on the wb . 	i've seen more original stuff on the welcome back� .	1	-1	 i've[0] seen[0] more[0] original[0] stuff[0] on[0] the[0] wb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and better stuff too . 	and better stuff too .	1	-1	 and[0] better[0] stuff[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
picture perfect also makes the mistake of being _wayyyyy_ too long at 100 minutes , and expecting us to like aniston's character , who comes off as a cold , spoiled bitch . 	picture perfect also makes the mistake of being _way_ too long at 100 minutes , and expecting us to like aniston's character , who comes off as a cold , spoiled bitch .	2	-2	 picture[0] perfect[1] also[0] makes[0] the[0] mistake[-1] of[0] being[0] _wayyyyy_/_way_[0][+0.6 MultipleLetters] too[0] long[0] at[0] 100[0] minutes[0] and[0] expecting[0] us[0] to[0] like[1] aniston's[0] character[0] who[0] comes[0] off[0] as[0] a[0] cold[-1] spoiled[-1] bitch[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
