it seemed like the perfect concept . 	Translation	Positive	Negative	EmotionRationale
what better for the farrelly brothers , famous for writing and directing comedies with offensive subject matter , than to make a movie about a guy with a split personality ? 	what better for the farrelly brothers , famous for writing and directing comedies with offensive subject matter , than to make a movie about a guy with a split personality ?	1	-3	 what[0] better[0] for[0] the[0] farrelly[0] brothers[0] famous[0] for[0] writing[0] and[0] directing[0] comedies[0] with[0] offensive[-2] subject[0] matter[0] than[0] to[0] make[0] a[0] movie[0] about[0] a[0] guy[0] with[0] a[0] split[0] personality[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's exactly the sort of thing the brothers relish : poking fun at something serious ( in this case mental illness ) , throwing all care to the wind to get a laugh . 	it's exactly the sort of thing the brothers relish : poking fun at something serious ( in this case mental illness ) , throwing all care to the wind to get a laugh .	2	-2	 it's[0] exactly[0] the[0] sort[0] of[0] thing[0] the[0] brothers[0] relish[0] poking[0] fun[1] at[0] something[0] serious[-1] in[0] this[0] case[0] mental[0] illness[-1] throwing[0] all[0] care[1] to[0] the[0] wind[0] to[0] get[0] a[0] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jim carrey's signed on too ? 	jim carrey's signed on too ?	1	-1	 jim[0] carrey's[0] signed[0] on[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even better . 	even better .	1	-1	 even[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the national alliance for the mentally ill even helped out by levying complaints against the brothers' new film before its opening , claiming it was misrepresenting the condition of split personality , labeling it incorrectly as " schizophrenia , " and so forth . 	the national alliance for the mentally ill even helped out by levying complaints against the brothers' new film before its opening , claiming it was misrepresenting the condition of split personality , labeling it incorrectly as " schizophrenia , " and so forth .	1	-2	 the[0] national[0] alliance[0] for[0] the[0] mentally[0] ill[-1] even[0] helped[0] out[0] by[0] levying[0] complaints[-1] against[-1] the[0] brothers'[0] new[0] film[0] before[0] its[0] opening[0] claiming[0] it[0] was[0] misrepresenting[-1] the[0] condition[0] of[0] split[0] personality[0] labeling[0] it[0] incorrectly[0] as[0] schizophrenia[0] and[0] so[0] forth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
such a protest seemed like just the sort of thing that would , of course , only add more fuel to the farrelly brothers' fire , proving that some people just couldn't take a joke , and that the farrellys would be helping the more enlightened viewers to yet another dose of their brilliantly subversive comedy . 	such a protest seemed like just the sort of thing that would , of course , only add more fuel to the farrelly brothers' fire , proving that some people just couldn't take a joke , and that the farrellys would be helping the more enlightened viewers to yet another dose of their brilliantly subversive comedy .	2	-2	 such[0] a[0] protest[-1] seemed[0] like[1] just[0] the[0] sort[0] of[0] thing[0] that[0] would[0] of[0] course[0] only[0] add[0] more[0] fuel[0] to[0] the[0] farrelly[0] brothers'[0] fire[0] proving[0] that[0] some[0] people[0] just[0] couldn't[0] take[0] a[0] joke[1] and[0] that[0] the[0] farrellys[0] would[0] be[0] helping[0] the[0] more[0] enlightened[0] viewers[0] to[0] yet[0] another[0] dose[0] of[0] their[0] brilliantly[1] subversive[0] comedy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yes , it all seemed perfect , but one thing went wrong : their movie isn't funny . 	yes , it all seemed perfect , but one thing went wrong : their movie isn't funny .	2	-2	 yes[0] it[0] all[0] seemed[0] perfect[1] but[0] one[0] thing[0] went[0] wrong[-1] their[0] movie[0] isn't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not for lack of trying . 	it's not for lack of trying .	2	-1	 it's[0] not[0] for[0] lack[-1][NegatedDueToPreviousWord] of[0] trying[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the farrellys utilize in " me , myself & irene " their most high-concept premise ever : carrey plays charlie baileygaites , a man who after being dumped by his wife for a midget limo driver , decides to bury all his aggressive feelings deep down inside and never release them . 	the farrellys utilize in " me , myself & irene " their most high-concept premise ever : carrey plays charlie baileygaites , a man who after being dumped by his wife for a midget limo driver , decides to bury all his aggressive feelings deep down inside and never release them .	2	-3	 the[0] farrellys[0] utilize[0] in[0] me[0] myself[0] &[0] irene[0] their[0] most[0] high[0] concept[0] premise[0] ever[0] carrey[0] plays[1] charlie[0] baileygaites[-1] a[0] man[0] who[0] after[0] being[0] dumped[-1] by[0] his[0] wife[0] for[0] a[0] midget[0] limo[0] driver[0] decides[0] to[0] bury[-2] all[0] his[0] aggressive[-2] feelings[0] deep[0] down[0] inside[0] and[0] never[0] release[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this , of course , means all his neighbors exploit his entirely too-forgiving nature , making his job as a rhode island state trooper increasingly difficult . 	this , of course , means all his neighbors exploit his entirely too-forgiving nature , making his job as a rhode island state trooper increasingly difficult .	2	-2	 this[0] of[0] course[0] means[0] all[0] his[0] neighbors[0] exploit[0] his[0] entirely[0] too[0] forgiving[1] nature[0] making[0] his[0] job[0] as[0] a[0] rhode[0] island[0] state[0] trooper[0] increasingly[0] difficult[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
soon enough , charlie's repressed aggression manifests itself into a second , independent personality named hank , a deep-voiced , boorish ogre unafraid of taking the assertive actions his predecessor had been unable to muster . 	soon enough , charlie's repressed aggression manifests itself into a second , independent personality named hank , a deep-voiced , boorish ogre unafraid of taking the assertive actions his predecessor had been unable to muster .	1	-3	 soon[0] enough[0] charlie's[0] repressed[-1] aggression[-2] manifests[0] itself[0] into[0] a[0] second[0] independent[0] personality[0] named[0] hank[0] a[0] deep[0] voiced[0] boorish[0] ogre[0] unafraid[0] of[0] taking[0] the[0] assertive[0] actions[0] his[0] predecessor[0] had[0] been[0] unable[0] to[0] muster[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this guy isn't above crashing a car through the wall of the barber shop in which he's been insulted , or holding a little girl's head underwater because she refused to stop jump-roping in the street . 	this guy isn't above crashing a car through the wall of the barber shop in which he's been insulted , or holding a little girl's head underwater because she refused to stop jump-roping in the street .	1	-3	 this[0] guy[0] isn't[0] above[0] crashing[0] a[0] car[0] through[0] the[0] wall[0] of[0] the[0] barber[0] shop[0] in[0] which[0] he's[0] been[0] insulted[-2] or[0] holding[0] a[0] little[0] girl's[0] head[0] underwater[0] because[0] she[0] refused[-1] to[0] stop[0] jump[0] roping[0] in[0] the[0] street[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then things start getting lost in the most complicated plot the farrellys have ever attempted , and the film runs off its tracks . 	then things start getting lost in the most complicated plot the farrellys have ever attempted , and the film runs off its tracks .	1	-2	 then[0] things[0] start[0] getting[0] lost[0] in[0] the[0] most[0] complicated[-1] plot[0] the[0] farrellys[0] have[0] ever[0] attempted[0] and[0] the[0] film[0] runs[0] off[0] its[0] tracks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some have suggested that this isn't a problem , because the farrelly brothers' brand of humor doesn't require plot to work . 	some have suggested that this isn't a problem , because the farrelly brothers' brand of humor doesn't require plot to work .	3	-1	 some[0] have[0] suggested[0] that[0] this[0] isn't[0] a[0] problem[-1][NegatedDueToPreviousWord] because[0] the[0] farrelly[0] brothers'[0] brand[0] of[0] humor[2] doesn't[0] require[0] plot[0] to[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they're wrong , of course : plot was greatly instrumental in building up the kind of rollicking comic energy that infused the farrellys' last effort , 1996's " there's something about mary . " 	they're wrong , of course : plot was greatly instrumental in building up the kind of rollicking comic energy that infused the farrellys' last effort , 1996's " there's something about mary .<br> "	3	-2	 they're[0] wrong[-1] of[0] course[0] plot[0] was[0] greatly[2] instrumental[0] in[0] building[0] up[0] the[0] kind[1] of[0] rollicking[0] comic[0] energy[0] that[0] infused[0] the[0] farrellys'[0] last[0] effort[0] 1996's[0] there's[0] something[0] about[0] mary[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( 1999's " outside providence " was technically an earlier project . ) 	 ( 199's " outside providence " was technically an earlier project .<br> )	1	-1	 1999's/199's[0] outside[0] providence[0] was[0] technically[0] an[0] earlier[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the brothers' earlier film wasn't funny merely because it contained outrageous gags ( despite what some newsmagazine articles would have you believe ) , but rather because its most outrageous gags were entirely unexpected . 	the brothers' earlier film wasn't funny merely because it contained outrageous gags ( despite what some newsmagazine articles would have you believe ) , but rather because its most outrageous gags were entirely unexpected .	2	-3	 the[0] brothers'[0] earlier[0] film[0] wasn't[0] funny[1] merely[0] because[0] it[0] contained[0] outrageous[-2] gags[0] despite[0] what[0] some[0] newsmagazine[0] articles[0] would[0] have[0] you[0] believe[0] but[0] rather[0] because[0] its[0] most[0] outrageous[-2] gags[0] were[0] entirely[0] unexpected[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in " mary , " the farrellys managed several times to pull off a neat sleight-of-hand trick : they'd have you thinking the story was going one way , then reveal its real direction in delightfully surprising fashion . 	in " mary , " the farrellys managed several times to pull off a neat sleight-of-hand trick : they'd have you thinking the story was going one way , then reveal its real direction in delightfully surprising fashion .	3	-2	 in[0] mary[0] the[0] farrellys[0] managed[0] several[0] times[0] to[0] pull[0] off[0] a[0] neat[0] sleight[0] of[0] hand[0] trick[-1] they'd[0] have[0] you[0] thinking[0] the[0] story[0] was[0] going[0] one[0] way[0] then[0] reveal[0] its[0] real[0] direction[0] in[0] delightfully[2] surprising[0] fashion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " me , myself & irene , " by contrast , seems to have been made by folks who looked at " mary " and saw only the surface grossness , missing all of the subtle machinations that really made it work . 	 " me , myself & irene , " by contrast , seems to have been made by folks who looked at " mary " and saw only the surface grossness , missing all of the subtle machinations that really made it work .	1	-2	 me[0] myself[0] &[0] irene[0] by[0] contrast[0] seems[0] to[0] have[0] been[0] made[0] by[0] folks[0] who[0] looked[0] at[0] mary[0] and[0] saw[0] only[0] the[0] surface[0] grossness[-1] missing[0] all[0] of[0] the[0] subtle[0] machinations[0] that[0] really[0] made[0] it[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
having been produced by the same guys who made " mary , " " irene " seems like an even bigger disappointment . 	having been produced by the same guys who made " mary , " " irene " seems like an even bigger disappointment .	2	-2	 having[0] been[0] produced[0] by[0] the[0] same[0] guys[0] who[0] made[0] mary[0] irene[0] seems[0] like[1] an[0] even[0] bigger[0] disappointment[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the brothers pile on the offensive humor , taking shots at race , midgets , albinos , mental illness , and all manner of bathroom jokes . 	the brothers pile on the offensive humor , taking shots at race , midgets , albinos , mental illness , and all manner of bathroom jokes .	3	-3	 the[0] brothers[0] pile[0] on[0] the[0] offensive[-2] humor[2] taking[0] shots[0] at[0] race[0] midgets[0] albinos[0] mental[0] illness[-1] and[0] all[0] manner[0] of[0] bathroom[0] jokes[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but they haven't come up with a way to make any of it fresh ; most of " me , myself & irene " comes off as rote , by-the-numbers , adolescent comedy . 	but they haven't come up with a way to make any of it fresh ; most of " me , myself & irene " comes off as rote , by-the-numbers , adolescent comedy .	1	-1	 but[0] they[0] haven't[0] come[0] up[0] with[0] a[0] way[0] to[0] make[0] any[0] of[0] it[0] fresh[0] most[0] of[0] me[0] myself[0] &[0] irene[0] comes[0] off[0] as[0] rote[0] by[0] the[0] numbers[0] adolescent[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot , with carrey forced to drive alleged fugitive irene p . waters ( renee zellweger ) , who's in more trouble than anyone knows , back to new york , has an ending that's entirely predictable from the get-go . 	the plot , with carrey forced to drive alleged fugitive irene p .<br> waters ( renee zellweger ) , who's in more trouble than anyone knows , back to new york , has an ending that's entirely predictable from the get-go .	1	-2	 the[0] plot[0] with[0] carrey[0] forced[0] to[0] drive[0] alleged[-1] fugitive[-1] irene[0] p[0] [[Sentence=-2,1=word max, 1-5]] waters[0] renee[0] zellweger[0] who's[0] in[0] more[0] trouble[-1] than[0] anyone[0] knows[0] back[0] to[0] new[0] york[0] has[0] an[0] ending[0] that's[0] entirely[0] predictable[0] from[0] the[0] get[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( think charlie and irene will fall in love ? 	 ( think charlie and irene will fall in love ?	3	-1	 think[0] charlie[0] and[0] irene[0] will[0] fall[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yeah , me too . ) 	yeah , me too .<br> )	1	-1	 yeah[0] me[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the farrellys then introduce scores of different characters , and none of them ever manage to do anything you haven't already expected them to do , no matter how outrageous their actions might be . 	the farrellys then introduce scores of different characters , and none of them ever manage to do anything you haven't already expected them to do , no matter how outrageous their actions might be .	1	-3	 the[0] farrellys[0] then[0] introduce[0] scores[0] of[0] different[0] characters[0] and[0] none[0] of[0] them[0] ever[0] manage[0] to[0] do[0] anything[0] you[0] haven't[0] already[0] expected[0] them[0] to[0] do[0] no[0] matter[0] how[0] outrageous[-2] their[0] actions[0] might[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
compared to the curveballs the farrellys are used to throwing , this stuff is almost entirely soft-tossed , presenting an obvious problem : when gross-out humor loses its shock value , it's no longer funny , merely gross . 	compared to the curveballs the farrellys are used to throwing , this stuff is almost entirely soft-tossed , presenting an obvious problem : when gross-out humor loses its shock value , it's no longer funny , merely gross .	3	-3	 compared[0] to[0] the[0] curveballs[0] the[0] farrellys[0] are[0] used[0] to[0] throwing[0] this[0] stuff[0] is[0] almost[0] entirely[0] soft[0] tossed[0] presenting[0] an[0] obvious[0] problem[-1] when[0] gross[-1] out[0] humor[2] loses[-1] its[0] shock[-2] value[1] it's[0] no[0] longer[0] funny[1] merely[0] gross[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the jokes that do work are milked over and over until their effectiveness runs dry . 	the jokes that do work are milked over and over until their effectiveness runs dry .	2	-1	 the[0] jokes[1] that[0] do[0] work[0] are[0] milked[0] over[0] and[0] over[0] until[0] their[0] effectiveness[0] runs[0] dry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
take , for example , the subplot involving charlie's three black sons ( anthony anderson , mongo brownlee , jerod mixon ) . 	take , for example , the subplot involving charlie's three black sons ( anthony anderson , mongo brownlee , jerod mixon ) .	1	-1	 take[0] for[0] example[0] the[0] subplot[0] involving[0] charlie's[0] three[0] black[0] sons[0] anthony[0] anderson[0] mongo[0] brownlee[0] jerod[0] mixon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
