battlefield earth is the worst film of 2000 , and i guarantee you that nothing else this year will even come close . 	Translation	Positive	Negative	EmotionRationale
in fact , i'll be surprised if i see anything this bad in the next ten years . 	in fact , i'll be surprised if i see anything this bad in the next ten years .	1	-2	 in[0] fact[0] i'll[0] be[0] surprised[0] if[0] i[0] see[0] anything[0] this[0] bad[-1] in[0] the[0] next[0] ten[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on the novel by scientology guru l . ron hubbard , battlefield earth begins and we immediately find out two pieces of key information . 	based on the novel by scientology guru l .<br> ron hubbard , battlefield earth begins and we immediately find out two pieces of key information .	1	-2	 based[0] on[0] the[0] novel[0] by[0] scientology[0] guru[0] l[0] [[Sentence=-1,1=word max, 1-5]] ron[0] hubbard[0] battlefield[-1] earth[0] begins[0] and[0] we[0] immediately[0] find[0] out[0] two[0] pieces[0] of[0] key[0] information[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's the year 3000 , and an alien race called the psychlos ( which sounds like a tag team of mexican wrestlers ) conquered our planet in nine minutes . 	it's the year 300 , and an alien race called the psychlos ( which sounds like a tag team of mexican wrestlers ) conquered our planet in nine minutes .	2	-2	 it's[0] the[0] year[0] 3000/300[0] and[0] an[0] alien[-1] race[0] called[0] the[0] psychlos[0] which[0] sounds[0] like[1] a[0] tag[0] team[0] of[0] mexican[0] wrestlers[0] conquered[0] our[0] planet[0] in[0] nine[0] minutes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ok , we are all of 10 seconds in and i have a zillion questions racing through my mind . 	ok , we are all of 10 seconds in and i have a zillion questions racing through my mind .	1	-1	 ok[0] we[0] are[0] all[0] of[0] 10[0] seconds[0] in[0] and[0] i[0] have[0] a[0] zillion[0] questions[0] racing[0] through[0] my[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when were we conquered ? 	when were we conquered ?	1	-1	 when[0] were[0] we[0] conquered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience is led to believe that this happened about 1 , 000 years earlier , and if that is the case then we're going to get into a whole bunch of problems later ( trust me . . . 	the audience is led to believe that this happened about 1 , 00 years earlier , and if that is the case then we're going to get into a whole bunch of problems later ( trust me .<br> .<br> .	2	-2	 the[0] audience[0] is[0] led[0] to[0] believe[0] that[0] this[0] happened[0] about[0] 1[0] 000/00[0] years[0] earlier[0] and[0] if[0] that[0] is[0] the[0] case[0] then[0] we're[0] going[0] to[0] get[0] into[0] a[0] whole[0] bunch[0] of[0] problems[-1] later[0] trust[1] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
keep reading ) . 	keep reading ) .	1	-1	 keep[0] reading[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , why don't we get to see earth get conquered ? 	also , why don't we get to see earth get conquered ?	1	-1	 also[0] why[0] don't[0] we[0] get[0] to[0] see[0] earth[0] get[0] conquered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how the hell do you make a popcorn sci-fi flick and not deliver the goods on the one event that sets up the film ? 	how the hell do you make a popcorn sci-fi flick and not deliver the goods on the one event that sets up the film ?	1	-2	 how[0] the[0] hell[-1] do[0] you[0] make[0] a[0] popcorn[0] sci[0] fi[0] flick[0] and[0] not[0] deliver[0] the[0] goods[0] on[0] the[0] one[0] event[0] that[0] sets[0] up[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
humans now live as cavemen or slave labor , and for the film's first act we focus on one particular cavemen group outside of denver , colorado . 	humans now live as cavemen or slave labor , and for the film's first act we focus on one particular cavemen group outside of denver , colorado .	1	-1	 humans[0] now[0] live[0] as[0] cavemen[0] or[0] slave[0] labor[0] and[0] for[0] the[0] film's[0] first[0] act[0] we[0] focus[0] on[0] one[0] particular[0] cavemen[0] group[0] outside[0] of[0] denver[0] colorado[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they grunt and groan and babble about monsters . 	they grunt and groan and babble about monsters .	1	-2	 they[0] grunt[0] and[0] groan[0] and[0] babble[-1] about[0] monsters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
