one of the first films of 1999 is this mtv pictures release which marks the first leading feature role for james van der beek , the star of the wb's runaway hit dawson's creek . 	Translation	Positive	Negative	EmotionRationale
following in the foot steps of mtv's two other live action films , joe's apartment ( 1996 ) and dead man on campus ( 1998 ) , varsity blues is a bad film and is unlikely to cause much of a sensation in the marketplace . 	following in the foot steps of mtv's two other live action films , joe's apartment ( 1996 ) and dead man on campus ( 1998 ) , varsity blues is a bad film and is unlikely to cause much of a sensation in the marketplace .	1	-3	 following[0] in[0] the[0] foot[0] steps[0] of[0] mtv's[0] two[0] other[0] live[0] action[0] films[0] joe's[0] apartment[0] 1996[0] and[0] dead[-2] man[0] on[0] campus[0] 1998[0] varsity[0] blues[0] is[0] a[0] bad[-1] film[0] and[0] is[0] unlikely[0] to[0] cause[0] much[0] of[0] a[0] sensation[0] in[0] the[0] marketplace[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
set in west cannan , texas , the film examines the small town obsession with high school football through the eyes of second string quarterback john " mox " moxon ( van der beek ) . 	set in west cannan , texas , the film examines the small town obsession with high school football through the eyes of second string quarterback john " mox " moxon ( van der beek ) .	1	-3	 set[0] in[0] west[0] cannan[0] texas[0] the[0] film[0] examines[0] the[0] small[0] town[0] obsession[-2] with[0] high[0] school[0] football[0] through[0] the[0] eyes[0] of[0] second[0] string[0] quarterback[0] john[0] mox[0] moxon[0] van[0] der[0] beek[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we know he's smart because he reads kurt vonnegut instead of the playbook . 	we know he's smart because he reads kurt vonnegut instead of the playbook .	2	-1	 we[0] know[0] he's[0] smart[1] because[0] he[0] reads[0] kurt[0] vonnegut[0] instead[0] of[0] the[0] playbook[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
coach bud kilmer ( jon voight ) has been around so long there is actually a bronze statue commemorating him . 	coach bud kilmer ( jon voight ) has been around so long there is actually a bronze statue commemorating him .	1	-1	 coach[0] bud[0] kilmer[0] jon[0] voight[0] has[0] been[0] around[0] so[0] long[0] there[0] is[0] actually[0] a[0] bronze[0] statue[0] commemorating[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the star quarterback , lance harbor ( paul walker ) , is a handsome , blonde , hero who has his own billboard in his front yard and dates the sexy head cheerleader , darcy ( ali larter ) . 	the star quarterback , lance harbor ( paul walker ) , is a handsome , blonde , hero who has his own billboard in his front yard and dates the sexy head cheerleader , darcy ( ali larter ) .	3	-1	 the[0] star[0] quarterback[0] lance[0] harbor[0] paul[0] walker[0] is[0] a[0] handsome[1] blonde[0] hero[2] who[0] has[0] his[0] own[0] billboard[0] in[0] his[0] front[0] yard[0] and[0] dates[0] the[0] sexy[2] head[0] cheerleader[0] darcy[0] ali[0] larter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also on the team are an enormous guy ( ron lester ) with some health problems and the token african-american team member ( eliel swinton ) whose only real dialogue scene deals directly with the color of his skin . 	also on the team are an enormous guy ( ron lester ) with some health problems and the token african-american team member ( eliel swinton ) whose only real dialogue scene deals directly with the color of his skin .	1	-2	 also[0] on[0] the[0] team[0] are[0] an[0] enormous[0] guy[0] ron[0] lester[0] with[0] some[0] health[0] problems[-1] and[0] the[0] token[0] african[0] american[0] team[0] member[0] eliel[0] swinton[0] whose[0] only[0] real[0] dialogue[0] scene[0] deals[0] directly[0] with[0] the[0] color[0] of[0] his[0] skin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when lance is seriously injured , mox gets his chance to shine and he runs with it , undermining kilmer with his unusual playing strategies . 	when lance is seriously injured , mox gets his chance to shine and he runs with it , undermining kilmer with his unusual playing strategies .	2	-1	 when[0] lance[0] is[0] seriously[0] injured[0] mox[0] gets[0] his[0] chance[0] to[0] shine[0] and[0] he[0] runs[0] with[0] it[0] undermining[0] kilmer[0] with[0] his[0] unusual[0] playing[1] strategies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his relationship with his dutiful girlfriend , jules ( amy smart ) , is threatened and there's a big game at the end . 	his relationship with his dutiful girlfriend , jules ( amy smart ) , is threatened and there's a big game at the end .	2	-3	 his[0] relationship[0] with[0] his[0] dutiful[0] girlfriend[0] jules[0] amy[0] smart[1] is[0] threatened[-2] and[0] there's[0] a[0] big[0] game[0] at[0] the[0] end[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
guess who wins ? 	guess who wins ?	1	-1	 guess[0] who[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing about varsity blues is inspired and the whole film simply moves through the sort of conventional motions that coach kilmer would love . 	nothing about varsity blues is inspired and the whole film simply moves through the sort of conventional motions that coach kilmer would love .	3	-1	 nothing[0] about[0] varsity[0] blues[0] is[0] inspired[2] and[0] the[0] whole[0] film[0] simply[0] moves[0] through[0] the[0] sort[0] of[0] conventional[0] motions[0] that[0] coach[0] kilmer[0] would[0] love[2][-1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's a chance for some smart satire on small town obsessions but the humor here is decidedly lowbrow . 	there's a chance for some smart satire on small town obsessions but the humor here is decidedly lowbrow .	3	-3	 there's[0] a[0] chance[0] for[0] some[0] smart[1][-1 LastWordBoosterStrength] satire[0] on[0] small[0] town[0] obsessions[-2] but[0] the[0] humor[2] here[0] is[0] decidedly[0] lowbrow[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
van der beek does a decent job of carrying his first film although a silly accent trips him up sometimes . 	van der beek does a decent job of carrying his first film although a silly accent trips him up sometimes .	1	-2	 van[0] der[0] beek[0] does[0] a[0] decent[0] job[0] of[0] carrying[0] his[0] first[0] film[0] although[0] a[0] silly[-1] accent[0] trips[0] him[0] up[0] sometimes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , the role isn't very much of a stretch from his dawson leary character . 	also , the role isn't very much of a stretch from his dawson leary character .	1	-1	 also[0] the[0] role[0] isn't[0] very[0] much[0] of[0] a[0] stretch[0] from[0] his[0] dawson[0] leary[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
