it's always a bad sign when the core audience of a film -- children -- are either walking out early or are half-asleep when the credits roll at the end of a film . 	Translation	Positive	Negative	EmotionRationale
that about sums up the dreadful ugliness of 102 dalmatians , a cold pea soup of cute animals , stupid home alone antics , a boring puppy love subplot between dumb humans , and glenn close reprising her best joan crawford impression . 	that about sums up the dreadful ugliness of 102 dalmatians , a cold pea soup of cute animals , stupid home alone antics , a boring puppy love subplot between dumb humans , and glen close reprising her best joan crawford impression .	3	-4	 that[0] about[0] sums[0] up[0] the[0] dreadful[-3] ugliness[-2][-1 MultiplePositiveWords] of[0] 102[0] dalmatians[0] a[0] cold[-1] pea[0] soup[0] of[0] cute[1] animals[0] stupid[-1] home[0] alone[0] antics[0] a[0] boring[-1] puppy[0] love[2] subplot[0] between[0] dumb[-1] humans[0] and[0] glenn/glen[0] close[0] reprising[0] her[0] best[1] joan[0] crawford[0] impression[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
indeed , walt disney is rolling over in his grave again , cursing john hughes' name for making the original live-action 101 dalmatians , one of the worst kiddie flicks of all time , and now its sequel . 	indeed , walt disney is rolling over in his grave again , cursing john hughes' name for making the original live-action 101 dalmatians , one of the worst kiddie flicks of all time , and now its sequel .	1	-3	 indeed[0] walt[0] disney[0] is[0] rolling[0] over[0] in[0] his[0] grave[-2] again[0] cursing[0] john[0] hughes'[0] name[0] for[0] making[0] the[0] original[0] live[0] action[0] 101[0] dalmatians[0] one[0] of[0] the[0] worst[-2] kiddie[0] flicks[0] of[0] all[0] time[0] and[0] now[0] its[0] sequel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the main culprit behind the hideousness of 102 dalmatians is its predecessor , 101 dalmatians . 	the main culprit behind the hideousness of 102 dalmatians is its predecessor , 101 dalmatians .	1	-2	 the[0] main[0] culprit[-1] behind[0] the[0] hideousness[0] of[0] 102[0] dalmatians[0] is[0] its[0] predecessor[0] 101[0] dalmatians[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the original made more than  100 million dollars at the box office , spawned a torrid collection of " collectible " items that ended up months later in the discount bins of wal-marts across the country , and generally made every kid on the planet want a damn dalmatian pup for christmas . 	the original made more than  100 million dollars at the box office , spawned a torrid collection of " collectible " items that ended up months later in the discount bins of wal-marts across the country , and generally made every kid on the planet want a damn dalmatian pup for christmas .	1	-2	 the[0] original[0] made[0] more[0] than[0] 100[0] million[0] dollars[0] at[0] the[0] box[0] office[0] spawned[0] a[0] torrid[0] collection[0] of[0] collectible[0] items[0] that[0] ended[0] up[0] months[0] later[0] in[0] the[0] discount[0] bins[0] of[0] wal[0] marts[0] across[0] the[0] country[0] and[0] generally[0] made[0] every[0] kid[0] on[0] the[0] planet[0] want[0] a[0] damn[-1] dalmatian[0] pup[0] for[0] christmas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , it's been about four years since then , and dalmatian fever is coming back , and this time it's digitally enhanced . 	well , it's been about four years since then , and dalmatian fever is coming back , and this time it's digitally enhanced .	1	-2	 well[0] it's[0] been[0] about[0] four[0] years[0] since[0] then[0] and[0] dalmatian[0] fever[-1] is[0] coming[0] back[0] and[0] this[0] time[0] it's[0] digitally[0] enhanced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here's the story . 	here's the story .	1	-1	 here's[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cruella de vil ( glenn close ) is released from prison due to the " cure " of her puppy homicide urges by one dr . pavlov . 	cruella de vil ( glen close ) is released from prison due to the " cure " of her puppy homicide urges by one dr .<br> pavlov .	1	-4	 cruella[-3] de[0] vil[0] glenn/glen[0] close[0] is[0] released[0] from[0] prison[-1] due[0] to[0] the[0] cure[0] of[0] her[0] puppy[0] homicide[0] urges[0] by[0] one[0] dr[0] [[Sentence=-4,1=word max, 1-5]] pavlov[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( oh , how witty . ) 	 ( oh , how witty .<br> )	1	-1	 oh[0] how[0] witty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she rejoins the world as a dog lover and is assigned to a probation officer , who oddly turns out to be her victim from the original film . 	she rejoins the world as a dog lover and is assigned to a probation officer , who oddly turns out to be her victim from the original film .	4	-3	 she[0] rejoins[0] the[0] world[0] as[0] a[0] dog[0] lover[3] and[0] is[0] assigned[0] to[0] a[0] probation[0] officer[0] who[0] oddly[0] turns[0] out[0] to[0] be[0] her[0] victim[-2] from[0] the[0] original[0] film[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
cruella then becomes ella -- dog lover -- until the plot twists , like a dog with his leash caught on the back of a moving truck , and she becomes the evil vixen again . 	cruella then becomes ella - dog lover - until the plot twists , like a dog with his leash caught on the back of a moving truck , and she becomes the evil vixen again .	4	-4	 cruella[-3] then[0] becomes[0] ella[0] dog[0] lover[3] until[0] the[0] plot[0] twists[0] like[1] a[0] dog[0] with[0] his[0] leash[0] caught[0] on[0] the[0] back[0] of[0] a[0] moving[0] truck[0] and[0] she[0] becomes[0] the[0] evil[-2] vixen[0] again[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
