there was probably a good reason that the warner bros . studio chose not to allow critics to view this steven seagal film when it first opened . 	Translation	Positive	Negative	EmotionRationale
and , after seeing this piece of toxic waste , i now know why . 	and , after seeing this piece of toxic waste , i now know why .	1	-2	 and[0] after[0] seeing[0] this[0] piece[0] of[0] toxic[0] waste[-1] i[0] now[0] know[0] why[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie is by far the worst offering that has hit the screen since possibly those ernest movies years ago . 	this movie is by far the worst offering that has hit the screen since possibly those ernest movies years ago .	1	-3	 this[0] movie[0] is[0] by[0] far[0] the[0] worst[-2] offering[0] that[0] has[0] hit[0] the[0] screen[0] since[0] possibly[0] those[0] ernest[0] movies[0] years[0] ago[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fire down below centers its story on a little mining town in god's country , somewhere in eastern kentucky . 	fire down below centers its story on a little mining town in god's country , somewhere in eastern kentucky .	1	-1	 fire[0] down[0] below[0] centers[0] its[0] story[0] on[0] a[0] little[0] mining[0] town[0] in[0] god's[0] country[0] somewhere[0] in[0] eastern[0] kentucky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's beauty and natural goodness is being slowly destroyed by an uncaring mining magnate ( kris kristopherson , who constantly looks like he wants to kill his agent for getting him this role ) . 	it's beauty and natural goodness is being slowly destroyed by an uncaring mining magnate ( kris kristopherson , who constantly looks like he wants to kill his agent for getting him this role ) .	3	-3	 it's[0] beauty[2] and[0] natural[0] goodness[2] is[0] being[0] slowly[0] destroyed[-2] by[0] an[0] uncaring[0] mining[0] magnate[0] kris[0] kristopherson[0] who[0] constantly[0] looks[0] like[1] he[0] wants[0] to[0] kill[-1] his[0] agent[0] for[0] getting[0] him[0] this[0] role[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it turns out that he's filling the mines throughout kentucky with toxic waste for a tidy profit . 	it turns out that he's filling the mines throughout kentucky with toxic waste for a tidy profit .	2	-2	 it[0] turns[0] out[0] that[0] he's[0] filling[0] the[0] mines[0] throughout[0] kentucky[0] with[0] toxic[0] waste[-1] for[0] a[0] tidy[0] profit[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
seagal plays jack taggert , an aikido-versed , fighting machine , who is an agent with the epa . 	seagal plays jack taggert , an aikido-versed , fighting machine , who is an agent with the epa .	2	-3	 seagal[0] plays[1] jack[0] taggert[0] an[0] aikido[0] versed[0] fighting[-2] machine[0] who[0] is[0] an[0] agent[0] with[0] the[0] epa[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no . . . not the cia nor the fbi nor the nsa . 	no .<br> .<br> .<br> not the cia nor the fbi nor the nsa .	1	-1	 no[0] [[Sentence=-1,1=word max, 1-5]] not[0] the[0] cia[0] nor[0] the[0] fbi[0] nor[0] the[0] nsa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's the environmental protection agency . 	it's the environmental protection agency .	1	-1	 it's[0] the[0] environmental[0] protection[0] agency[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i had no idea that epa agents were trained to be killers ! 	i had no idea that epa agents were trained to be killers !	1	-1	 i[0] had[0] no[0] idea[0] that[0] epa[0] agents[0] were[0] trained[0] to[0] be[0] killers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taggert is sent to find the perpetrators and to bring them to justice . 	taggert is sent to find the perpetrators and to bring them to justice .	1	-1	 taggert[0] is[0] sent[0] to[0] find[0] the[0] perpetrators[0] and[0] to[0] bring[0] them[0] to[0] justice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
