so i went and saw this film right , it was called " battlefield : earth " , i was never interested in the previews , and never too terribly interested in the book , nor do i find scientology interesting , but after reading advanced reviews of how bad this film really is , i had that weird urge just to watch it . 	Translation	Positive	Negative	EmotionRationale
well let me be the first to say , and so far in my view it's safe to say : battlefield : earth might be the worst film i have ever seen , yes even worse than " mr . magoo " , " blue in the face " , or " jaws : the revenge " . 	well let me be the first to say , and so far in my view it's safe to say : battlefield : earth might be the worst film i have ever seen , yes even worse than " mr .<br> magoo " , " blue in the face " , or " jaws : the revenge " .	2	-3	 well[0] let[0] me[0] be[0] the[0] first[0] to[0] say[0] and[0] so[0] far[0] in[0] my[0] view[0] it's[0] safe[1] to[0] say[0] battlefield[-1] earth[0] might[0] be[0] the[0] worst[-2] film[0] i[0] have[0] ever[0] seen[0] yes[0] even[0] worse[-2] than[0] mr[0] [[Sentence=-3,2=word max, 1-5]] magoo[0] blue[0] in[0] the[0] face[0] or[0] jaws[0] the[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[2,-3 max of sentences]]]
roger christianson whos credits include set direction , and art direction for such great films as " alien " and " star wars " , directs this film with such amateurism , that the film looks and feels and in fact sounds so dumb , that it's quite depressing . 	roger christianson whos credits include set direction , and art direction for such great films as " alien " and " star wars " , directs this film with such amateurism , that the film looks and feels and in fact sounds so dumb , that it's quite depressing .	3	-4	 roger[0] christianson[0] whos[0] credits[0] include[0] set[0] direction[0] and[0] art[0] direction[0] for[0] such[0] great[2] films[0] as[0] alien[-1] and[0] star[0] wars[-2] directs[0] this[0] film[0] with[0] such[0] amateurism[0] that[0] the[0] film[0] looks[0] and[0] feels[0] and[0] in[0] fact[0] sounds[0] so[0] dumb[-1] that[0] it's[0] quite[0] depressing[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the look of the film , is dark and drabby at times , but then bright and happy at other times . 	the look of the film , is dark and drabby at times , but then bright and happy at other times .	2	-1	 the[0] look[0] of[0] the[0] film[0] is[0] dark[0] and[0] drabby[0] at[0] times[0] but[0] then[0] bright[0] and[0] happy[1] at[0] other[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sound is terrible , and has the worst surround sound effects i've heard . 	the sound is terrible , and has the worst surround sound effects i've heard .	1	-4	 the[0] sound[0] is[0] terrible[-3] and[0] has[0] the[0] worst[-2] surround[0] sound[0] effects[0] i've[0] heard[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the acting is nothing , the dialogue poor , and the make-up effects hideous . 	the acting is nothing , the dialogue poor , and the make-up effects hideous .	1	-2	 the[0] acting[0] is[0] nothing[0] the[0] dialogue[0] poor[-1] and[0] the[0] make[0] up[0] effects[0] hideous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here's the so-called plot : earth 3000 . . . . man is a endangered species , while aliens from the planet psychlo ( the aliens are named psychlo . . . i 	here's the so-called plot : earth 300 .<br> .<br> .<br> .<br> man is a endangered species , while aliens from the planet psychlo ( the aliens are named psychlo .<br> .<br> .<br> i	1	-2	 here's[0] the[0] so[0] called[0] plot[0] earth[0] 3000/300[0] [[Sentence=-1,1=word max, 1-5]] man[0] is[0] a[0] endangered[-1] species[0] while[0] aliens[0] from[0] the[0] planet[0] psychlo[0] the[0] aliens[0] are[0] named[0] psychlo[0] [[Sentence=-2,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
wonder why ? ! ) are invading earth , destined to put an end to those " man-animals " to an end , and destroy earth once and for all , of course we have our typical hero ( played terrible by barry pepper , who was great in a small role in 1999's " the green mile " ) who is destined to go out , and save his planet ! 	wonder why ?<br> !<br> ) are invading earth , destined to put an end to those " man-animals " to an end , and destroy earth once and for all , of course we have our typical hero ( played terrible by barry pepper , who was great in a small role in 199's " the green mile " ) who is destined to go out , and save his planet !	3	-4	 wonder[0] why[0] [[Sentence=-1,1=word max, 1-5]] are[0] invading[0] earth[0] destined[0] to[0] put[0] an[0] end[0] to[0] those[0] man[0] animals[0] to[0] an[0] end[0] and[0] destroy[-2] earth[0] once[0] and[0] for[0] all[0] of[0] course[0] we[0] have[0] our[0] typical[0] hero[2] played[0] terrible[-3] by[0] barry[0] pepper[0] who[0] was[0] great[2] in[0] a[0] small[0] role[0] in[0] 1999's/199's[0] the[0] green[0] mile[0] who[0] is[0] destined[0] to[0] go[0] out[0] and[0] save[1] his[0] planet[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one thing : he has to go up against , terl , the chief of security psychlo , who is played frankly , quite bad by john travolta , whom with dreadlocks , a big head , and green eyes just doesn't work . 	one thing : he has to go up against , terl , the chief of security psychlo , who is played frankly , quite bad by john travolta , whom with dreadlocks , a big head , and green eyes just doesn't work .	2	-4	 one[0] thing[0] he[0] has[0] to[0] go[0] up[0] against[-1] terl[0] the[0] chief[0] of[0] security[1] psychlo[0] who[0] is[0] played[0] frankly[0] quite[0] bad[-1] by[0] john[0] travolta[0] whom[0] with[0] dreadlocks[-3] a[0] big[0] head[0] and[0] green[0] eyes[0] just[0] doesn't[0] work[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
of course the sidekick to terl , is played by ( lol ! ! ) 	of course the sidekick to terl , is played by ( laugh out loud !<br> !<br> )	2	-1	 of[0] course[0] the[0] sidekick[0] to[0] terl[0] is[0] played[0] by[0] lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
forest whitaker , who looks like a deformed werewolf of some kind . 	forest whitaker , who looks like a deformed werewolf of some kind .	2	-1	 forest[0] whitaker[0] who[0] looks[0] like[1] a[0] deformed[0] werewolf[0] of[0] some[0] kind[1][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
