reindeer games is easily the worst of the three recent films penned by ehren kruger ( scream 3 and arlington rd are the others , each derivative in their own special way ) . 	Translation	Positive	Negative	EmotionRationale
the guy can't seem to write believable dialogue ( sample from reindeer games : " rule #1 : never put a car thief behind the wheel " ) , create multi-faceted characters , or even engineer coherent plots but he sure knows how to pile on numerous nonsensical twists and turns ( no matter if each one deems the actual story increasingly unlikely ) . 	the guy can't seem to write believable dialogue ( sample from reindeer games : " rule #1 : never put a car thief behind the wheel " ) , create multi-faceted characters , or even engineer coherent plots but he sure knows how to pile on numerous nonsensical twists and turns ( no matter if each one deems the actual story increasingly unlikely ) .	1	-2	 the[0] guy[0] can't[0] seem[0] to[0] write[0] believable[0] dialogue[0] sample[0] from[0] reindeer[0] games[0] rule[0] #1[0] never[0] put[0] a[0] car[0] thief[-1] behind[0] the[0] wheel[0] create[0] multi[0] faceted[0] characters[0] or[0] even[0] engineer[0] coherent[0] plots[0] but[0] he[0] sure[0] knows[0] how[0] to[0] pile[0] on[0] numerous[0] nonsensical[-1] twists[0] and[0] turns[0] no[0] matter[0] if[0] each[0] one[0] deems[0] the[0] actual[0] story[0] increasingly[0] unlikely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his screenplay for reindeer games turns the tables on the audience so many times that watching the film becomes something of a punishment with no reward anywhere in sight . 	his screenplay for reindeer games turns the tables on the audience so many times that watching the film becomes something of a punishment with no reward anywhere in sight .	2	-2	 his[0] screenplay[0] for[0] reindeer[0] games[0] turns[0] the[0] tables[0] on[0] the[0] audience[0] so[0] many[0] times[0] that[0] watching[0] the[0] film[0] becomes[0] something[0] of[0] a[0] punishment[-1] with[0] no[0] reward[1] anywhere[0] in[0] sight[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i can just envision kruger laughing behind his keyboard , " oh you thought my movie was gonna go here , f * ck you jack ass , take that twist , decipher this mother f * cker ! " 	i can just envision kruger laughing behind his keyboard , " oh you thought my movie was gonna go here , f * ck you jack ass , take that twist , decipher this mother f * cker !<br> "	2	-1	 i[0] can[0] just[0] envision[0] kruger[0] laughing[1] behind[0] his[0] keyboard[0] oh[0] you[0] thought[0] my[0] movie[0] was[0] gonna[0] go[0] here[0] f[0] ck[0] you[0] jack[0] ass[0] take[0] that[0] twist[0] decipher[0] this[0] mother[0] f[0] cker[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's almost as if the writer were angry at us for shelling out money to see his stupid movie . 	it's almost as if the writer were angry at us for shelling out money to see his stupid movie .	1	-4	 it's[0] almost[0] as[0] if[0] the[0] writer[0] were[0] angry[-3] at[0] us[0] for[0] shelling[0] out[0] money[0] to[0] see[0] his[0] stupid[-1] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and why the hell would anyone want to invest time in a movie when the screenwriter keeps changing his own rules for no reason other than to congratulate himself on how damn clever he is ? 	and why the hell would anyone want to invest time in a movie when the screenwriter keeps changing his own rules for no reason other than to congratulate himself on how damn clever he is ?	2	-2	 and[0] why[0] the[0] hell[-1] would[0] anyone[0] want[0] to[0] invest[0] time[0] in[0] a[0] movie[0] when[0] the[0] screenwriter[0] keeps[0] changing[0] his[0] own[0] rules[0] for[0] no[0] reason[0] other[0] than[0] to[0] congratulate[1] himself[0] on[0] how[0] damn[-1] clever[0] he[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
auteur theory be damned ; it's kruger's " style " , not the director's that winds up on screen . 	auteur theory be damned ; it's kruger's " style " , not the director's that winds up on screen .	1	-2	 auteur[0] theory[0] be[0] damned[-1] it's[0] kruger's[0] style[0] not[0] the[0] director's[0] that[0] winds[0] up[0] on[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kruger has obviously never paid much mind to the old chestnut " sometimes less is more " . 	kruger has obviously never paid much mind to the old chestnut " sometimes less is more " .	1	-1	 kruger[0] has[0] obviously[0] never[0] paid[0] much[0] mind[0] to[0] the[0] old[0] chestnut[0] sometimes[0] less[0] is[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and his numerous twists can't even claim to be originals ; arlington rd's ending is a direct steal from the much better alan j . pakula thriller the parallax view , and in reindeer games we get this ol' gem ; character incriminates themself by saying something they shouldn't know ( pronouns used to protect the gender of the " character " . . . grammar 	and his numerous twists can't even claim to be originals ; arlington rd's ending is a direct steal from the much better alan j .<br> pakula thriller the parallax view , and in reindeer games we get this ol' gem ; character incriminates themself by saying something they shouldn't know ( pronouns used to protect the gender of the " character " .<br> .<br> .<br> grammar	2	-3	 and[0] his[0] numerous[0] twists[0] can't[0] even[0] claim[0] to[0] be[0] originals[0] arlington[0] rd's[0] ending[0] is[0] a[0] direct[0] steal[-2] from[0] the[0] much[0] better[0] alan[0] j[0] [[Sentence=-3,1=word max, 1-5]] pakula[0] thriller[1] the[0] parallax[0] view[0] and[0] in[0] reindeer[0] games[0] we[0] get[0] this[0] ol'[0] gem[0] character[0] incriminates[0] themself[0] by[0] saying[0] something[0] they[0] shouldn't[0] know[0] pronouns[0] used[0] to[0] protect[0] the[0] gender[0] of[0] the[0] character[0] [[Sentence=-1,2=word max, 1-5]] grammar[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
be damned ) . 	be damned ) .	1	-2	 be[0] damned[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " how did you know that ? " 	 " how did you know that ?<br> "	1	-1	 how[0] did[0] you[0] know[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stunned protagonist asks , suddenly realizing that the character was in on the whole thing all along . 	the stunned protagonist asks , suddenly realizing that the character was in on the whole thing all along .	1	-2	 the[0] stunned[-1] protagonist[0] asks[0] suddenly[0] realizing[0] that[0] the[0] character[0] was[0] in[0] on[0] the[0] whole[0] thing[0] all[0] along[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
since twist endings are currently so in vogue , and seeing as how kruger's screenplays usually come equipped with about three twists per ending , i guess it's no wonder why he works so frequently . 	since twist endings are currently so in vogue , and seeing as how kruger's screenplays usually come equipped with about three twists per ending , i guess it's no wonder why he works so frequently .	1	-1	 since[0] twist[0] endings[0] are[0] currently[0] so[0] in[0] vogue[0] and[0] seeing[0] as[0] how[0] kruger's[0] screenplays[0] usually[0] come[0] equipped[0] with[0] about[0] three[0] twists[0] per[0] ending[0] i[0] guess[0] it's[0] no[0] wonder[0] why[0] he[0] works[0] so[0] frequently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's quickly becoming miramax's mickey mouse ; the company has already signed him to work on several of their upcoming projects . 	he's quickly becoming miramax's mickey mouse ; the company has already signed him to work on several of their upcoming projects .	1	-1	 he's[0] quickly[0] becoming[0] miramax's[0] mickey[0] mouse[0] the[0] company[0] has[0] already[0] signed[0] him[0] to[0] work[0] on[0] several[0] of[0] their[0] upcoming[0] projects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
