the general's daughter is a heartless , absurd film , a movie so hopelessly dedicated to its inane plot that it forgets entirely about its own characters . 	Translation	Positive	Negative	EmotionRationale
director simon west treats issues like rape and sexual fetish with ham-handed obscenity , creating a film that banks almost entirely on exploitation and offensive pseudo-depth . 	director simon west treats issues like rape and sexual fetish with ham-handed obscenity , creating a film that banks almost entirely on exploitation and offensive pseudo-depth .	2	-4	 director[0] simon[0] west[0] treats[0] issues[0] like[1] rape[-3] and[0] sexual[0] fetish[0] with[0] ham[0] handed[0] obscenity[0] creating[0] a[0] film[0] that[0] banks[0] almost[0] entirely[0] on[0] exploitation[0] and[0] offensive[-2] pseudo[0] depth[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what's worse is that the movie is haphazardly glued together by two characters who are neither interesting nor sympathetic -- the ridiculous story requires them to do unbelievable things in the interest of reaching a dark conclusion in a sudden rain storm . 	what's worse is that the movie is haphazardly glued together by two characters who are neither interesting nor sympathetic - the ridiculous story requires them to do unbelievable things in the interest of reaching a dark conclusion in a sudden rain storm .	2	-3	 what's[0] worse[-2] is[0] that[0] the[0] movie[0] is[0] haphazardly[-1] glued[0] together[0] by[0] two[0] characters[0] who[0] are[0] neither[0] interesting[1] nor[0] sympathetic[0] the[0] ridiculous[-2] story[0] requires[0] them[0] to[0] do[0] unbelievable[-1] things[0] in[0] the[0] interest[1] of[0] reaching[0] a[0] dark[0] conclusion[0] in[0] a[0] sudden[0] rain[0] storm[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
john travolta finds himself in the middle of the mess , playing warrant officer paul brenner ; brenner is assigned to find the murderer and rape of captain elizabeth campbell ( leslie stefanson ) , daughter of general joe campbell ( james cromwell ) . 	john travolta finds himself in the middle of the mess , playing warrant officer paul brenner ; brenner is assigned to find the murderer and rape of captain elizabeth campbell ( leslie stefanson ) , daughter of general joe campbell ( james cromwell ) .	2	-4	 john[0] travolta[0] finds[0] himself[0] in[0] the[0] middle[0] of[0] the[0] mess[0] playing[1] warrant[0] officer[0] paul[0] brenner[0] brenner[0] is[0] assigned[0] to[0] find[0] the[0] murderer[-3] and[0] rape[-3] of[0] captain[0] elizabeth[0] campbell[0] leslie[0] stefanson[0] daughter[0] of[0] general[0] joe[0] campbell[0] james[0] cromwell[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
brenner is teamed up with ex-spouse sarah sunderland ( madeline stowe ) , and they check out all the suspects on the base , including elizabeth's mentor , colonel moore ( james woods ) . 	brenner is teamed up with ex-spouse sarah sunderland ( madeline stowe ) , and they check out all the suspects on the base , including elizabeth's mentor , colonel more ( james woods ) .	1	-1	 brenner[0] is[0] teamed[0] up[0] with[0] ex[0] spouse[0] sarah[0] sunderland[0] madeline[0] stowe[0] and[0] they[0] check[0] out[0] all[0] the[0] suspects[0] on[0] the[0] base[0] including[0] elizabeth's[0] mentor[0] colonel[0] moore/more[0] james[0] woods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon , it becomes apparent that elizabeth was into kinky sexual stuff , but the question comes down to why -- and , of course , who . 	soon , it becomes apparent that elizabeth was into kinky sexual stuff , but the question comes down to why - and , of course , who .	1	-1	 soon[0] it[0] becomes[0] apparent[0] that[0] elizabeth[0] was[0] into[0] kinky[0] sexual[0] stuff[0] but[0] the[0] question[0] comes[0] down[0] to[0] why[0] and[0] of[0] course[0] who[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ebert's law of the economy of characters can be applied here ; one interesting thing i noted is that not only are all the characters suspects at some point ( including the two protagonists ) , but almost all of them end up directly intertwined with the story . 	ebert's law of the economy of characters can be applied here ; one interesting thing i noted is that not only are all the characters suspects at some point ( including the two protagonists ) , but almost all of them end up directly intertwined with the story .	2	-1	 ebert's[0] law[0] of[0] the[0] economy[0] of[0] characters[0] can[0] be[0] applied[0] here[0] one[0] interesting[1] thing[0] i[0] noted[0] is[0] that[0] not[0] only[0] are[0] all[0] the[0] characters[0] suspects[0] at[0] some[0] point[0] including[0] the[0] two[0] protagonists[0] but[0] almost[0] all[0] of[0] them[0] end[0] up[0] directly[0] intertwined[0] with[0] the[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps i should have issued a spoiler alert before mentioning that , but it's painfully obvious from the beginning that everyone in the film is hiding something . 	perhaps i should have issued a spoiler alert before mentioning that , but it's painfully obvious from the beginning that everyone in the film is hiding something .	1	-4	 perhaps[0] i[0] should[0] have[0] issued[0] a[0] spoiler[-1] alert[0] before[0] mentioning[0] that[0] but[0] it's[0] painfully[-3] obvious[0] from[0] the[0] beginning[0] that[0] everyone[0] in[0] the[0] film[0] is[0] hiding[0] something[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
on a story level , the general's daughter is ineptly constructed . 	on a story level , the general's daughter is ineptly constructed .	1	-1	 on[0] a[0] story[0] level[0] the[0] general's[0] daughter[0] is[0] ineptly[0] constructed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film , adapted by christopher bertolini and william goldman from nelson demille's novel ( which was apparently based on a true story ) , plods along to its conclusion , filling in the blanks with stale , unrealistic dialogue and " shocking " plot developments . 	the film , adapted by christopher bertolini and william goldman from nelson demille's novel ( which was apparently based on a true story ) , plods along to its conclusion , filling in the blanks with stale , unrealistic dialogue and " shocking " plot developments .	2	-3	 the[0] film[0] adapted[0] by[0] christopher[0] bertolini[0] and[0] william[0] goldman[0] from[0] nelson[0] demille's[0] novel[0] which[0] was[0] apparently[0] based[0] on[0] a[0] true[1] story[0] plods[0] along[0] to[0] its[0] conclusion[0] filling[0] in[0] the[0] blanks[0] with[0] stale[-1] unrealistic[0] dialogue[0] and[0] shocking[-2] plot[0] developments[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
having not read the novel , it's difficult to determine if these problems are the fault of the adapters or the original author , but i suppose they all are guilty to some degree . 	having not read the novel , it's difficult to determine if these problems are the fault of the adapters or the original author , but i suppose they all are guilty to some degree .	1	-4	 having[0] not[0] read[0] the[0] novel[0] it's[0] difficult[-1] to[0] determine[0] if[0] these[0] problems[-1] are[0] the[0] fault[-1] of[0] the[0] adapters[0] or[0] the[0] original[0] author[0] but[0] i[0] suppose[0] they[0] all[0] are[0] guilty[-3] to[0] some[0] degree[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
scene after scene stumbles with pointless insincerity ; minutes after finding the dead young woman , brenner and sunderland engage in sarcastic dialogue , which includes endless strings of forced lines . 	scene after scene stumbles with pointless insincerity ; minutes after finding the dead young woman , brenner and sunderland engage in sarcastic dialogue , which includes endless strings of forced lines .	1	-3	 scene[0] after[0] scene[0] stumbles[0] with[0] pointless[-1] insincerity[-2] minutes[0] after[0] finding[0] the[0] dead[-2] young[0] woman[0] brenner[0] and[0] sunderland[0] engage[0] in[0] sarcastic[-2] dialogue[0] which[0] includes[0] endless[0] strings[0] of[0] forced[0] lines[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( sunderland actually asks brenner , " why was she killed ? " 	 ( sunderland actually asks brenner , " why was she killed ?<br> "	1	-4	 sunderland[0] actually[0] asks[0] brenner[0] why[0] was[0] she[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to which i would have answered , " if i knew , then the movie would already be over . " ) 	to which i would have answered , " if i knew , then the movie would already be over .<br> " )	1	-1	 to[0] which[0] i[0] would[0] have[0] answered[0] if[0] i[0] knew[0] then[0] the[0] movie[0] would[0] already[0] be[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only after we've spent twenty minutes or so with these characters do we learn that they have a sordid history together ; this angle , though apparently present to develop their characters , is never explored . 	only after we've spent twenty minutes or so with these characters do we learn that they have a sordid history together ; this angle , though apparently present to develop their characters , is never explored .	1	-1	 only[0] after[0] we've[0] spent[0] twenty[0] minutes[0] or[0] so[0] with[0] these[0] characters[0] do[0] we[0] learn[0] that[0] they[0] have[0] a[0] sordid[0] history[0] together[0] this[0] angle[0] though[0] apparently[0] present[0] to[0] develop[0] their[0] characters[0] is[0] never[0] explored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not that it really matters , since the characters consistently do ludicrous things for no other reason than to drive the plot . 	not that it really matters , since the characters consistently do ludicrous things for no other reason than to drive the plot .	1	-3	 not[0] that[0] it[0] really[0] matters[0] since[0] the[0] characters[0] consistently[0] do[0] ludicrous[-2] things[0] for[0] no[0] other[0] reason[0] than[0] to[0] drive[0] the[0] plot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in one scene , sunderland is attacked by a man in a mask . 	in one scene , sunderland is attacked by a man in a mask .	1	-3	 in[0] one[0] scene[0] sunderland[0] is[0] attacked[-2] by[0] a[0] man[0] in[0] a[0] mask[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she sees one of his rings , and she and brenner find the man later that day based on the ring . 	she sees one of his rings , and she and brenner find the man later that day based on the ring .	1	-1	 she[0] sees[0] one[0] of[0] his[0] rings[0] and[0] she[0] and[0] brenner[0] find[0] the[0] man[0] later[0] that[0] day[0] based[0] on[0] the[0] ring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of questioning him like as they would a real suspect , they take him to brenner's houseboat , beat him up , and pour hot coffee in his lap . 	instead of questioning him like as they would a real suspect , they take him to brenner's houseboat , beat him up , and pour hot coffee in his lap .	2	-2	 instead[0] of[0] questioning[0] him[0] like[1] as[0] they[0] would[0] a[0] real[0] suspect[-1] they[0] take[0] him[0] to[0] brenner's[0] houseboat[0] beat[0] him[0] up[0] and[0] pour[0] hot[0] coffee[0] in[0] his[0] lap[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this scene really pushed me over the edge , not because it's gratuitous and mean-spirited , but because it illustrates the film's complete disregard for the characters and the audience . 	this scene really pushed me over the edge , not because it's gratuitous and mean-spirited , but because it illustrates the film's complete disregard for the characters and the audience .	1	-3	 this[0] scene[0] really[0] pushed[0] me[0] over[0] the[0] edge[0] not[0] because[0] it's[0] gratuitous[-1] and[0] mean[0] spirited[0] but[0] because[0] it[0] illustrates[0] the[0] film's[0] complete[0] disregard[-1][-1 LastWordBoosterStrength] for[0] the[0] characters[0] and[0] the[0] audience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was impossible for me to feel anything for these people beyond this scene , mostly because nothing they do comes as a surprise . 	it was impossible for me to feel anything for these people beyond this scene , mostly because nothing they do comes as a surprise .	1	-1	 it[0] was[0] impossible[0] for[0] me[0] to[0] feel[0] anything[0] for[0] these[0] people[0] beyond[0] this[0] scene[0] mostly[0] because[0] nothing[0] they[0] do[0] comes[0] as[0] a[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i realized that these constructs on screen aren't actually characters , but devices present only to serve the story . 	i realized that these constructs on screen aren't actually characters , but devices present only to serve the story .	1	-1	 i[0] realized[0] that[0] these[0] constructs[0] on[0] screen[0] aren't[0] actually[0] characters[0] but[0] devices[0] present[0] only[0] to[0] serve[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this would have been bad enough without the west's need to hose his movie down in tasteless images of rape and sexual misconduct . 	this would have been bad enough without the west's need to hose his movie down in tasteless images of rape and sexual misconduct .	1	-4	 this[0] would[0] have[0] been[0] bad[-1] enough[0] without[0] the[0] west's[0] need[0] to[0] hose[0] his[0] movie[0] down[0] in[0] tasteless[0] images[0] of[0] rape[-3] and[0] sexual[0] misconduct[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
compelling films about sexual crimes don't spend a lot of time on rape flashbacks , and they certainly don't show as much skin and sweat as a typical pornographic picture . 	compelling films about sexual crimes don't spend a lot of time on rape flashbacks , and they certainly don't show as much skin and sweat as a typical pornographic picture .	1	-4	 compelling[0] films[0] about[0] sexual[0] crimes[-1] don't[0] spend[0] a[0] lot[0] of[0] time[0] on[0] rape[-3] flashbacks[0] and[0] they[0] certainly[0] don't[0] show[0] as[0] much[0] skin[0] and[0] sweat[0] as[0] a[0] typical[0] pornographic[0] picture[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these scenes are not the least bit powerful ; on the contrary , they're intended simply to provide the audience with the necessary resentment for the villain , whomever that may turn out to be . 	these scenes are not the least bit powerful ; on the contrary , they're intended simply to provide the audience with the necessary resentment for the villain , whomever that may turn out to be .	1	-3	 these[0] scenes[0] are[0] not[0] the[0] least[0] bit[0] powerful[0] on[0] the[0] contrary[-1] they're[0] intended[0] simply[0] to[0] provide[0] the[0] audience[0] with[0] the[0] necessary[0] resentment[-2] for[0] the[0] villain[-2] whomever[0] that[0] may[0] turn[0] out[0] to[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in addition , the movie treats sexual fetishes -- and sadomasochism in particular -- as if it's a perversion of everything we know to be pure . 	in addition , the movie treats sexual fetishes - and sadomasochism in particular - as if it's a perversion of everything we know to be pure .	1	-2	 in[0] addition[0] the[0] movie[0] treats[0] sexual[0] fetishes[0] and[0] sadomasochism[0] in[0] particular[0] as[0] if[0] it's[0] a[0] perversion[-1] of[0] everything[0] we[0] know[0] to[0] be[0] pure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this standpoint is certainly allowed , but only in accompaniment with well-developed themes to back it up . 	this standpoint is certainly allowed , but only in accompaniment with well-developed themes to back it up .	1	-1	 this[0] standpoint[0] is[0] certainly[0] allowed[0] but[0] only[0] in[0] accompaniment[0] with[0] well[0] developed[0] themes[0] to[0] back[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it is , the film forgets that a lot of people have sexual fetishes , and that putting on a pair of handcuffs does not make a person insane . 	as it is , the film forgets that a lot of people have sexual fetishes , and that putting on a pair of handcuffs does not make a person insane .	1	-2	 as[0] it[0] is[0] the[0] film[0] forgets[0] that[0] a[0] lot[0] of[0] people[0] have[0] sexual[0] fetishes[0] and[0] that[0] putting[0] on[0] a[0] pair[0] of[0] handcuffs[0] does[0] not[0] make[0] a[0] person[0] insane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the only positive elements in the general's daughter are a couple of the performances . 	perhaps the only positive elements in the general's daughter are a couple of the performances .	3	-1	 perhaps[0] the[0] only[0] positive[2] elements[0] in[0] the[0] general's[0] daughter[0] are[0] a[0] couple[0] of[0] the[0] performances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
james woods has a few terrific scenes , and plays his role with sharp , witty subtlety . 	james woods has a few terrific scenes , and plays his role with sharp , witty subtlety .	4	-1	 james[0] woods[0] has[0] a[0] few[0] terrific[3] scenes[0] and[0] plays[1] his[0] role[0] with[0] sharp[0] witty[0] subtlety[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i also liked james cromwell , mostly because he comes across as slightly sympathetic despite the obvious intent of west to make him villainous . 	i also liked james cromwell , mostly because he comes across as slightly sympathetic despite the obvious intent of west to make him villainous .	3	-3	 i[0] also[0] liked[2] james[0] cromwell[0] mostly[0] because[0] he[0] comes[0] across[0] as[0] slightly[0] sympathetic[0] despite[0] the[0] obvious[0] intent[0] of[0] west[0] to[0] make[0] him[0] villainous[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
nonetheless , these performances are undermined entirely by the dreary , obligatory atmosphere and the senseless neglect of characterization . 	nonetheless , these performances are undermined entirely by the dreary , obligatory atmosphere and the senseless neglect of characterization .	1	-2	 nonetheless[0] these[0] performances[0] are[0] undermined[-1] entirely[0] by[0] the[0] dreary[-1] obligatory[0] atmosphere[0] and[0] the[0] senseless[-1] neglect[0] of[0] characterization[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the general's daughter is the worst kind of hollywood film -- it pretends to have a soul , to be of strict moral code , when in fact it has nothing more than a group of cardboard cut-outs force-feeding the audience a toxic landfill of plot contrivances and one-sided moral judgments . 	the general's daughter is the worst kind of hollywood film - it pretends to have a soul , to be of strict moral code , when in fact it has nothing more than a group of cardboard cut-outs force-feeding the audience a toxic landfill of plot contrivances and one-sided moral judgments .	2	-3	 the[0] general's[0] daughter[0] is[0] the[0] worst[-2] kind[1] of[0] hollywood[0] film[0] it[0] pretends[0] to[0] have[0] a[0] soul[0] to[0] be[0] of[0] strict[-1] moral[0] code[0] when[0] in[0] fact[0] it[0] has[0] nothing[0] more[0] than[0] a[0] group[0] of[0] cardboard[0] cut[0] outs[0] force[-1] feeding[0] the[0] audience[0] a[0] toxic[0] landfill[0] of[0] plot[0] contrivances[0] and[0] one[0] sided[0] moral[0] judgments[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
