i'm a dedicated fan of writer kevin williamson's work . 	Translation	Positive	Negative	EmotionRationale
he always finds a clever way to spice up old material with witty dialogue and fresh ideas that stem from his inventive brain . 	he always finds a clever way to spice up old material with witty dialogue and fresh ideas that stem from his inventive brain .	1	-1	 he[0] always[0] finds[0] a[0] clever[0] way[0] to[0] spice[0] up[0] old[0] material[0] with[0] witty[0] dialogue[0] and[0] fresh[0] ideas[0] that[0] stem[0] from[0] his[0] inventive[0] brain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with teaching mrs . tingle , his directorial debut , williamson has reached the end of his rope . 	with teaching mrs .<br> tingle , his directorial debut , williamson has reached the end of his rope .	1	-1	 with[0] teaching[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] tingle[0] his[0] directorial[0] debut[0] williamson[0] has[0] reached[0] the[0] end[0] of[0] his[0] rope[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what used to be intelligent about his films is hopelessly stale here . 	what used to be intelligent about his films is hopelessly stale here .	2	-4	 what[0] used[0] to[0] be[0] intelligent[1] about[0] his[0] films[0] is[0] hopelessly[-3] stale[-1] here[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the components are all there , including an encouraging premise that all high school students can relate to . 	the components are all there , including an encouraging premise that all high school students can relate to .	2	-1	 the[0] components[0] are[0] all[0] there[0] including[0] an[0] encouraging[1] premise[0] that[0] all[0] high[0] school[0] students[0] can[0] relate[0] to[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but where are the thrills ? 	but where are the thrills ?	4	-1	 but[0] where[0] are[0] the[0] thrills[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the laughs ? 	the laughs ?	2	-1	 the[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both are supposedly absent from this draggy exercise in elaborate revenge . 	both are supposedly absent from this draggy exercise in elaborate revenge .	1	-2	 both[0] are[0] supposedly[0] absent[-1] from[0] this[0] draggy[0] exercise[0] in[0] elaborate[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and what a shame that is . 	and what a shame that is .	1	-3	 and[0] what[0] a[0] shame[-2] that[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i loved the scream films - heck , i even enjoyed the sci-fi goofiness of the faculty . 	i loved the scream films - heck , i even enjoyed the sci-fi goofiness of the faculty .	4	-4	 i[0] loved[3] the[0] scream[-3] films[0] heck[0] i[0] even[0] enjoyed[2] the[0] sci[0] fi[0] goofiness[0] of[0] the[0] faculty[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
kevin williamson was the reason horror films were such a big draw at the box office . 	kevin williamson was the reason horror films were such a big draw at the box office .	1	-4	 kevin[0] williamson[0] was[0] the[0] reason[0] horror[-3] films[0] were[0] such[0] a[0] big[0] draw[0] at[0] the[0] box[0] office[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
