the best thing -- in fact , the only good thing -- i can say about dark city is that it made me want to go see l . a . confidential again . 	Translation	Positive	Negative	EmotionRationale
or go rent body heat , to see william hurt do some real noir . 	or go rent body heat , to see william hurt do some real noir .	1	-3	 or[0] go[0] rent[0] body[0] heat[0] to[0] see[0] william[0] hurt[-2] do[0] some[0] real[0] noir[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or even -- god help me -- palmetto . 	or even - god help me - palmetto .	1	-1	 or[0] even[0] god[0] help[0] me[0] palmetto[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alex proyas's new movie screams atmosphere . 	alex proyas's new movie screams atmosphere .	1	-4	 alex[0] proyas's[0] new[0] movie[0] screams[-3] atmosphere[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i screamed , too , " get me out of this theater ! " 	i screamed , too , " get me out of this theater !<br> "	1	-4	 i[0] screamed[-3] too[0] get[0] me[0] out[0] of[0] this[0] theater[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
new line cinema spent millions of dollars creating the expressionistic film noir visuals and paying the actors , and doesn't have any way to get it back . 	new line cinema spent millions of dollars creating the expressionistic film noir visuals and paying the actors , and doesn't have any way to get it back .	1	-1	 new[0] line[0] cinema[0] spent[0] millions[0] of[0] dollars[0] creating[0] the[0] expressionistic[0] film[0] noir[0] visuals[0] and[0] paying[0] the[0] actors[0] and[0] doesn't[0] have[0] any[0] way[0] to[0] get[0] it[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i paid  4 . 25 for a matinee screening and don't have any way to get my money back , either . 	i paid  4 .<br> 25 for a matinee screening and don't have any way to get my money back , either .	1	-1	 i[0] paid[0] 4[0] [[Sentence=-1,1=word max, 1-5]] 25[0] for[0] a[0] matinee[0] screening[0] and[0] don't[0] have[0] any[0] way[0] to[0] get[0] my[0] money[0] back[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll hear a lot from other critics about the look and feel of this movie . 	you'll hear a lot from other critics about the look and feel of this movie .	1	-1	 you'll[0] hear[0] a[0] lot[0] from[0] other[0] critics[0] about[0] the[0] look[0] and[0] feel[0] of[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i will admit that the cinematographers and costume designers and set artists and cgi graphics geeks all worked hard to create a stunning , nightmarish future world where it's always a late night in 1948 , complete with rotary phones and automats and fedoras . 	i will admit that the cinematographers and costume designers and set artists and cgi graphics geeks all worked hard to create a stunning , nightmarish future world where it's always a late night in 1948 , complete with rotary phones and automats and fedoras .	1	-1	 i[0] will[0] admit[0] that[0] the[0] cinematographers[0] and[0] costume[0] designers[0] and[0] set[0] artists[0] and[0] cgi[0] graphics[0] geeks[0] all[0] worked[0] hard[0] to[0] create[0] a[0] stunning[0] nightmarish[0] future[0] world[0] where[0] it's[0] always[0] a[0] late[0] night[0] in[0] 1948[0] complete[0] with[0] rotary[0] phones[0] and[0] automats[0] and[0] fedoras[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've got news for you fellows -- i don't care how hard you worked , or how visually stunning this movie looks -- you wasted your time and mine , working on a movie without a plot , without a clear sense of direction of where it wanted to go , without a soul or a reason to care . 	i've got news for you fellows - i don't care how hard you worked , or how visually stunning this movie looks - you wasted your time and mine , working on a movie without a plot , without a clear sense of direction of where it wanted to go , without a soul or a reason to care .	2	-2	 i've[0] got[0] news[0] for[0] you[0] fellows[0] i[0] don't[0] care[1][NegatedDueToPreviousWord] how[0] hard[0] you[0] worked[0] or[0] how[0] visually[0] stunning[0] this[0] movie[0] looks[0] you[0] wasted[-1] your[0] time[0] and[0] mine[0] working[0] on[0] a[0] movie[0] without[0] a[0] plot[0] without[0] a[0] clear[0] sense[0] of[0] direction[0] of[0] where[0] it[0] wanted[0] to[0] go[0] without[0] a[0] soul[0] or[0] a[0] reason[0] to[0] care[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie starts out oh-so-promising . 	the movie starts out oh-so-promising .	2	-1	 the[0] movie[0] starts[0] out[0] oh[0] so[0] promising[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
