the original babe gets my vote as the best family film since the princess bride , and it's sequel has been getting rave reviews from most internet critics , both siskel and ebert sighting it more than a month ago as one of the year's finest films . 	Translation	Positive	Negative	EmotionRationale
so , naturally , when i entered the screening room that was to be showing the movie and there was nary another viewer to be found , this notion left me puzzled . 	so , naturally , when i entered the screening room that was to be showing the movie and there was nary another viewer to be found , this notion left me puzled .	1	-1	 so[0] naturally[0] when[0] i[0] entered[0] the[0] screening[0] room[0] that[0] was[0] to[0] be[0] showing[0] the[0] movie[0] and[0] there[0] was[0] nary[0] another[0] viewer[0] to[0] be[0] found[0] this[0] notion[0] left[0] me[0] puzzled/puzled[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a rare thing for a children's movie to be praised this highly , so wouldn't you think that every parent in the entire city would be flocking with their kids to see this supposedly " magical " piece of work ? 	it is a rare thing for a children's movie to be praised this highly , so wouldn't you think that every parent in the entire city would be flocking with their kids to see this supposedly " magical " piece of work ?	3	-1	 it[0] is[0] a[0] rare[0] thing[0] for[0] a[0] children's[0] movie[0] to[0] be[0] praised[2] this[0] highly[0] so[0] wouldn't[0] you[0] think[0] that[0] every[0] parent[0] in[0] the[0] entire[0] city[0] would[0] be[0] flocking[0] with[0] their[0] kids[0] to[0] see[0] this[0] supposedly[0] magical[0] piece[0] of[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a tad bewildered , but pleased to not have to worry about screaming kids and other disruptions that commonly go along with family films , i sat back for 97 minutes and watched intently and with a very open mind , having great expectations for the film . 	a tad bewildered , but pleased to not have to worry about screaming kids and other disruptions that commonly go along with family films , i sat back for 97 minutes and watched intently and with a very open mind , having great expectations for the film .	3	-4	 a[0] tad[0] bewildered[-2] but[0] pleased[1] to[0] not[0] have[0] to[0] worry[-3] about[0] screaming[-3] kids[0] and[0] other[0] disruptions[-1] that[0] commonly[0] go[0] along[0] with[0] family[0] films[0] i[0] sat[0] back[0] for[0] 97[0] minutes[0] and[0] watched[0] intently[0] and[0] with[0] a[0] very[0] open[0] mind[0] having[0] great[2] expectations[0] for[0] the[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
looking back , i should have taken the hint and left right when i entered the theater . 	looking back , i should have taken the hint and left right when i entered the theater .	1	-1	 looking[0] back[0] i[0] should[0] have[0] taken[0] the[0] hint[0] and[0] left[0] right[0] when[0] i[0] entered[0] the[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
believe me ; i wanted to like babe : pig in the city . 	believe me ; i wanted to like babe : pig in the city .	2	-1	 believe[0] me[0] i[0] wanted[0] to[0] like[1] babe[0] pig[0] in[0] the[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot seemed interesting enough ; after the events that took place in the original , babe the sheep-pig has become a legitimate national phenomenon . 	the plot seemed interesting enough ; after the events that took place in the original , babe the sheep-pig has become a legitimate national phenomenon .	2	-1	 the[0] plot[0] seemed[0] interesting[1] enough[0] after[0] the[0] events[0] that[0] took[0] place[0] in[0] the[0] original[0] babe[0] the[0] sheep[0] pig[0] has[0] become[0] a[0] legitimate[0] national[0] phenomenon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but after a fateful encounter with a water well , arthur hogget ( james cromwell , who the movie could have used alot more of ) has been rendered bed-ridden for a number of weeks and the farm begins to go under financially . 	but after a fateful encounter with a water well , arthur hogget ( james cromwell , who the movie could have used alot more of ) has been rendered bed-ridden for a number of weeks and the farm begins to go under financially .	1	-1	 but[0] after[0] a[0] fateful[0] encounter[0] with[0] a[0] water[0] well[0] arthur[0] hogget[0] james[0] cromwell[0] who[0] the[0] movie[0] could[0] have[0] used[0] alot[0] more[0] of[0] has[0] been[0] rendered[0] bed[0] ridden[0] for[0] a[0] number[0] of[0] weeks[0] and[0] the[0] farm[0] begins[0] to[0] go[0] under[0] financially[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only solution that his wife ( magda szubanski , going from delightfully charming to downright annoying ) can come up with is to make an appearance with their new celebrity pet at a national fair ( i think ) and to use the money they earn to pay off the bank ( set aside for the moment the fact that they could get more than enough cash from donations if they just made their case known to the public ) . 	the only solution that his wife ( magda szubanski , going from delightfully charming to downright annoying ) can come up with is to make an appearance with their new celebrity pet at a national fair ( i think ) and to use the money they earn to pay off the bank ( set aside for the moment the fact that they could get more than enough cash from donations if they just made their case known to the public ) .	3	-3	 the[0] only[0] solution[0] that[0] his[0] wife[0] magda[0] szubanski[0] going[0] from[0] delightfully[2] charming[1] to[0] downright[0] annoying[-2] can[0] come[0] up[0] with[0] is[0] to[0] make[0] an[0] appearance[0] with[0] their[0] new[0] celebrity[0] pet[0] at[0] a[0] national[0] fair[0] i[0] think[0] and[0] to[0] use[0] the[0] money[0] they[0] earn[0] to[0] pay[0] off[0] the[0] bank[0] set[0] aside[0] for[0] the[0] moment[0] the[0] fact[0] that[0] they[0] could[0] get[0] more[0] than[0] enough[0] cash[0] from[0] donations[0] if[0] they[0] just[0] made[0] their[0] case[0] known[0] to[0] the[0] public[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
problem is , the fair is being held in the middle of the dreaded " city " , a completely foreign place to both the pig and his companion . 	problem is , the fair is being held in the middle of the dreaded " city " , a completely foreign place to both the pig and his companion .	1	-4	 problem[-1] is[0] the[0] fair[0] is[0] being[0] held[0] in[0] the[0] middle[0] of[0] the[0] dreaded[-3] city[0] a[0] completely[0] foreign[-1][-1 LastWordBoosterStrength] place[0] to[0] both[0] the[0] pig[0] and[0] his[0] companion[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
setting the main plot in motion , mrs . hogget and babe travel to the unnamed city and shack up with a sweet lady who just happens to love to help animals , despite the law that you cannot keep them in hotels . 	setting the main plot in motion , mrs .<br> hogget and babe travel to the unnamed city and shack up with a sweet lady who just happens to love to help animals , despite the law that you cannot keep them in hotels .	3	-1	 setting[0] the[0] main[0] plot[0] in[0] motion[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] hogget[0] and[0] babe[0] travel[0] to[0] the[0] unnamed[0] city[0] and[0] shack[0] up[0] with[0] a[0] sweet[1] lady[0] who[0] just[0] happens[0] to[0] love[2] to[0] help[0] animals[0] despite[0] the[0] law[0] that[0] you[0] cannot[0] keep[0] them[0] in[0] hotels[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is here that we meet an array of eccentric characters , the most memorable being the family of chimps led by steven wright . 	it is here that we meet an array of eccentric characters , the most memorable being the family of chimps led by steven wright .	1	-2	 it[0] is[0] here[0] that[0] we[0] meet[0] an[0] array[0] of[0] eccentric[-1] characters[0] the[0] most[0] memorable[0] being[0] the[0] family[0] of[0] chimps[0] led[0] by[0] steven[0] wright[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here is where the film took a wrong turn . 	here is where the film took a wrong turn .	1	-2	 here[0] is[0] where[0] the[0] film[0] took[0] a[0] wrong[-1] turn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
up until this point , i had being having a rather enjoyable experience . 	up until this point , i had being having a rather enjoyable experience .	3	-1	 up[0] until[0] this[0] point[0] i[0] had[0] being[0] having[0] a[0] rather[0] enjoyable[2] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
