it is with some sad irony that i screened fright night part 2 on the day that one of it's stars , roddy mcdowall passed away at the age of 70 . 	Translation	Positive	Negative	EmotionRationale
mcdowall was one of the most talented and prolific actors in hollywood , having a career that spanned over 60 years and appearing in more than 100 films . 	mcdowall was one of the most talented and prolific actors in hollywood , having a career that spanned over 60 years and appearing in more than 100 films .	2	-1	 mcdowall[0] was[0] one[0] of[0] the[0] most[0] talented[1] and[0] prolific[0] actors[0] in[0] hollywood[0] having[0] a[0] career[0] that[0] spanned[0] over[0] 60[0] years[0] and[0] appearing[0] in[0] more[0] than[0] 100[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fright night part 2 probably will not be counted among his more memorable roles . 	fright night part 2 probably will not be counted among his more memorable roles .	1	-4	 fright[-3] night[0] part[0] 2[0] probably[0] will[0] not[0] be[0] counted[0] among[0] his[0] more[0] memorable[0] roles[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is really sad considering how good the first fright night film was . 	this is really sad considering how good the first fright night film was .	2	-5	 this[0] is[0] really[0] sad[-3][-1 LastWordBoosterStrength] considering[0] how[0] good[1] the[0] first[0] fright[-3] night[0] film[0] was[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
william ragsdale and roddy mcdowall both reprised their roles as the somewhat reluctant vampire killers who seem to be the only ones that realize that vampires walk among us . 	william ragsdale and roddy mcdowall both reprised their roles as the somewhat reluctant vampire killers who seem to be the only ones that realize that vampires walk among us .	1	-2	 william[0] ragsdale[0] and[0] roddy[0] mcdowall[0] both[0] reprised[0] their[0] roles[0] as[0] the[0] somewhat[0] reluctant[-1] vampire[0] killers[0] who[0] seem[0] to[0] be[0] the[0] only[0] ones[0] that[0] realize[0] that[0] vampires[0] walk[0] among[0] us[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( at least in the movies anyway . ) 	 ( at least in the movies anyway .<br> )	1	-1	 at[0] least[0] in[0] the[0] movies[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has been several years since charlie brewster ( ragsdale ) and b-movie actor turned late night horror film host , peter vincent ( mcdowall ) came face to face with a real live vampire who just happened to be charlie's next door neighbor . 	it has been several years since charlie brewster ( ragsdale ) and b-movie actor turned late night horror film host , peter vincent ( mcdowall ) came face to face with a real live vampire who just happened to be charlie's next door neighbor .	1	-4	 it[0] has[0] been[0] several[0] years[0] since[0] charlie[0] brewster[0] ragsdale[0] and[0] b[0] movie[0] actor[0] turned[0] late[0] night[0] horror[-3] film[0] host[0] peter[0] vincent[0] mcdowall[0] came[0] face[0] to[0] face[0] with[0] a[0] real[0] live[0] vampire[0] who[0] just[0] happened[0] to[0] be[0] charlie's[0] next[0] door[0] neighbor[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
charlie and peter won that battle , but apparently even vampires have relatives who get pissed if you kill members of their family . 	charlie and peter won that battle , but apparently even vampires have relatives who get pissed if you kill members of their family .	1	-3	 charlie[0] and[0] peter[0] won[0] that[0] battle[-1] but[0] apparently[0] even[0] vampires[0] have[0] relatives[0] who[0] get[0] pissed[-2] if[0] you[0] kill[-1] members[0] of[0] their[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
apparently charlie's former bloodsucking next door neighbor had a sister who was none too pleased to find out that some kid and an aging actor staked her sibling . 	apparently charlie's former bloodsucking next door neighbor had a sister who was none too pleased to find out that some kid and an aging actor staked her sibling .	2	-1	 apparently[0] charlie's[0] former[0] bloodsucking[0] next[0] door[0] neighbor[0] had[0] a[0] sister[0] who[0] was[0] none[0] too[0] pleased[1] to[0] find[0] out[0] that[0] some[0] kid[0] and[0] an[0] aging[0] actor[0] staked[0] her[0] sibling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so she decides to exact a little bit of revenge . 	so she decides to exact a little bit of revenge .	1	-2	 so[0] she[0] decides[0] to[0] exact[0] a[0] little[0] bit[0] of[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this ends up forcing charlie and peter to battle the forces of darkness yet again . 	this ends up forcing charlie and peter to battle the forces of darkness yet again .	1	-2	 this[0] ends[0] up[0] forcing[0] charlie[0] and[0] peter[0] to[0] battle[-1] the[0] forces[0] of[0] darkness[0] yet[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
