if you're the kind of person who goes to see movies just because you long for some of that overpriced theatre popcorn ( butter optional ) , then this is the movie for you ! 	Translation	Positive	Negative	EmotionRationale
indeed , this has got to be either one of the most unimaginative rip-offs of other recent action movies , or an incredibly unfunny spoof of them . 	indeed , this has got to be either one of the most unimaginative rip-offs of other recent action movies , or an incredibly unfunny spoof of them .	1	-2	 indeed[0] this[0] has[0] got[0] to[0] be[0] either[0] one[0] of[0] the[0] most[0] unimaginative[0] rip[-1] offs[0] of[0] other[0] recent[0] action[0] movies[0] or[0] an[0] incredibly[0] unfunny[0] spoof[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's difficult to fathom such insipidness unless you actually watch this film . 	it's difficult to fathom such insipidness unless you actually watch this film .	1	-2	 it's[0] difficult[-1] to[0] fathom[0] such[0] insipidness[0] unless[0] you[0] actually[0] watch[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but at least we're warned very quickly that we may regret our ticket purchase , giving us an opportunity to sneak on out and into the adjacent show . 	but at least we're warned very quickly that we may regret our ticket purchase , giving us an opportunity to sneak on out and into the adjacent show .	1	-2	 but[0] at[0] least[0] we're[0] warned[0] very[0] quickly[0] that[0] we[0] may[0] regret[-1][--1 LastWordBoosterStrength] our[0] ticket[0] purchase[0] giving[0] us[0] an[0] opportunity[0] to[0] sneak[-1] on[0] out[0] and[0] into[0] the[0] adjacent[0] show[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what are the four ingredients of a really bad action movie ? 	what are the four ingredients of a really bad action movie ?	1	-3	 what[0] are[0] the[0] four[0] ingredients[0] of[0] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] action[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first , the movie gives us an introductory premise . 	first , the movie gives us an introductory premise .	1	-1	 first[0] the[0] movie[0] gives[0] us[0] an[0] introductory[0] premise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
huge caverns exist deep beneath the ocean floor , and in this area , many ships have disappeared . 	huge caverns exist deep beneath the ocean floor , and in this area , many ships have disappeared .	1	-1	 huge[0] caverns[0] exist[0] deep[0] beneath[0] the[0] ocean[0] floor[0] and[0] in[0] this[0] area[0] many[0] ships[0] have[0] disappeared[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oooh . . . scary ! 	ooh .<br> .<br> .<br> scary !	1	-4	 oooh/ooh[0] [[Sentence=-1,1=word max, 1-5]] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
secondly , a cheesy soundtrack tries to connote a tone of mystery , but only succeeds in drowning our ears with an abrasive musical score . 	secondly , a cheesy soundtrack tries to connote a tone of mystery , but only succeeds in drowning our ears with an abrasive musical score .	3	-2	 secondly[0] a[0] cheesy[0] soundtrack[0] tries[0] to[0] connote[0] a[0] tone[0] of[0] mystery[0] but[0] only[0] succeeds[2] in[0] drowning[-1] our[0] ears[0] with[0] an[0] abrasive[-1] musical[0] score[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
third , the main character is a mercenary that delivers goods without asking about the contents of his cargo ( treat williams ) . 	third , the main character is a mercenary that delivers goods without asking about the contents of his cargo ( treat williams ) .	2	-1	 third[0] the[0] main[0] character[0] is[0] a[0] mercenary[0] that[0] delivers[0] goods[0] without[0] asking[0] about[0] the[0] contents[0] of[0] his[0] cargo[0] treat[1] williams[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he operates a sophisticated military-style pt boat and every word that comes out of his mouth is awash in comical flippancy . 	he operates a sophisticated military-style pt boat and every word that comes out of his mouth is awash in comical flippancy .	1	-1	 he[0] operates[0] a[0] sophisticated[0] military[0] style[0] pt[0] boat[0] and[0] every[0] word[0] that[0] comes[0] out[0] of[0] his[0] mouth[0] is[0] awash[0] in[0] comical[0] flippancy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
