any remake of an alfred hitchcock film is at best an uncertain project , as a perfect murder illustrates . 	Translation	Positive	Negative	EmotionRationale
frankly , dial m for murder is not one of the master director's greatest efforts , so there is ample room for improvement . 	frankly , dial m for murder is not one of the master director's greatest efforts , so there is ample room for improvement .	3	-4	 frankly[0] dial[0] m[0] for[0] murder[-3] is[0] not[0] one[0] of[0] the[0] master[0] director's[0] greatest[2] efforts[0] so[0] there[0] is[0] ample[0] room[0] for[0] improvement[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
unfortunately , instead of updating the script , ironing out some of the faults , and speeding up the pace a little , a perfect murder has inexplicably managed to eliminate almost everything that was worthwhile about dial m for murder , leaving behind the nearly- unwatchable wreckage of a would-be '90s thriller . 	unfortunately , instead of updating the script , ironing out some of the faults , and speeding up the pace a little , a perfect murder has inexplicably managed to eliminate almost everything that was worthwhile about dial m for murder , leaving behind the nearly- unwatchable wreckage of a would-be '90s thriller .	2	-4	 unfortunately[-1] instead[0] of[0] updating[0] the[0] script[0] ironing[0] out[0] some[0] of[0] the[0] faults[-1] and[0] speeding[0] up[0] the[0] pace[0] a[0] little[0] a[0] perfect[1] murder[-3] has[0] inexplicably[0] managed[0] to[0] eliminate[-1] almost[0] everything[0] that[0] was[0] worthwhile[1] about[0] dial[0] m[0] for[0] murder[-3] leaving[0] behind[0] the[0] nearly[0] unwatchable[0] wreckage[-1] of[0] a[0] would[0] be[0] '90s[0] thriller[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
almost all suspense films are loaded with plot implausibilities . 	almost all suspense films are loaded with plot implausibilities .	1	-1	 almost[0] all[0] suspense[0] films[0] are[0] loaded[0] with[0] plot[0] implausibilities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best thrillers keep viewers involved enough in what's going on so that these flaws in logic don't become apparent until long after the final credits have rolled . 	the best thrillers keep viewers involved enough in what's going on so that these flaws in logic don't become apparent until long after the final credits have rolled .	2	-1	 the[0] best[1] thrillers[1] keep[0] viewers[0] involved[0] enough[0] in[0] what's[0] going[0] on[0] so[0] that[0] these[0] flaws[0] in[0] logic[0] don't[0] become[0] apparent[0] until[0] long[0] after[0] the[0] final[0] credits[0] have[0] rolled[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , in a perfect murder , the faults are often so overt that we become aware of them as they're happening . 	unfortunately , in a perfect murder , the faults are often so overt that we become aware of them as they're happening .	2	-4	 unfortunately[-1] in[0] a[0] perfect[1] murder[-3] the[0] faults[-1] are[0] often[0] so[0] overt[0] that[0] we[0] become[0] aware[0] of[0] them[0] as[0] they're[0] happening[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is a very bad sign . 	this is a very bad sign .	1	-3	 this[0] is[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] sign[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not only do such occurrences shatter any suspension of disbelief , but they have the astute viewer looking for the next such blunder . 	not only do such occurrences shatter any suspension of disbelief , but they have the astute viewer looking for the next such blunder .	1	-2	 not[0] only[0] do[0] such[0] occurrences[0] shatter[0] any[0] suspension[-1] of[0] disbelief[-1] but[0] they[0] have[0] the[0] astute[0] viewer[0] looking[0] for[0] the[0] next[0] such[0] blunder[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , in the case of a perfect murder , at least that gives an audience member something to do besides concentrating on the inane plot and the lifeless , cardboard characters . 	of course , in the case of a perfect murder , at least that gives an audience member something to do besides concentrating on the inane plot and the lifeless , cardboard characters .	2	-4	 of[0] course[0] in[0] the[0] case[0] of[0] a[0] perfect[1] murder[-3] at[0] least[0] that[0] gives[0] an[0] audience[0] member[0] something[0] to[0] do[0] besides[0] concentrating[0] on[0] the[0] inane[-1] plot[0] and[0] the[0] lifeless[-1] cardboard[0] characters[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
a perfect murder isn't a strict remake of dial m for murder , but it does borrow heavily from frederick knott's play ( which was also the source material for hitchcock's version , as well as a 1981 made-for-tv retelling ) . 	a perfect murder isn't a strict remake of dial m for murder , but it does borrow heavily from frederick knott's play ( which was also the source material for hitchcock's version , as well as a 1981 made-for-tv retelling ) .	2	-4	 a[0] perfect[1] murder[-3] isn't[0] a[0] strict[-1][NegatedDueToPreviousWord] remake[0] of[0] dial[0] m[0] for[0] murder[-3] but[0] it[0] does[0] borrow[0] heavily[0] from[0] frederick[0] knott's[0] play[0] which[0] was[0] also[0] the[0] source[-1] material[0] for[0] hitchcock's[0] version[0] as[0] well[0] as[0] a[0] 1981[0] made[0] for[0] tv[0] retelling[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
emily hayes ( gwyneth paltrow ) is the wealthy wife of powerful wall street mover-and-shaker steven hayes ( michael douglas ) . 	emily hayes ( gwyneth paltrow ) is the wealthy wife of powerful wall street mover-and-shaker steven hayes ( michael douglas ) .	1	-2	 emily[0] hayes[0] gwyneth[0] paltrow[0] is[0] the[0] wealthy[0] wife[0] of[0] powerful[0] wall[0] street[0] mover[0] and[0] shaker[-1] steven[0] hayes[0] michael[0] douglas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
