for a good ten years or so , super cool chow yun fat has enjoyed god hood status in the hong kong action scene . 	Translation	Positive	Negative	EmotionRationale
now , he has followed in the footsteps of director john woo , ( who launched chow's super stardom in the acclaimed 'a better tomorrow' ) by moving to hollywood . 	now , he has followed in the footsteps of director john woo , ( who launched chow's super stardom in the acclaimed 'a better tomorrow' ) by moving to hollywood .	3	-1	 now[0] he[0] has[0] followed[0] in[0] the[0] footsteps[0] of[0] director[0] john[0] woo[0] who[0] launched[0] chow's[0] super[2] stardom[0] in[0] the[0] acclaimed[0] 'a[0] better[0] tomorrow'[0] by[0] moving[0] to[0] hollywood[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i had some reservations about this move and it would seem i was right to have them . 	i had some reservations about this move and it would seem i was right to have them .	1	-1	 i[0] had[0] some[0] reservations[0] about[0] this[0] move[0] and[0] it[0] would[0] seem[0] i[0] was[0] right[0] to[0] have[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chow plays a hitman who is doing jobs in order to repay a debt . 	chow plays a hitman who is doing jobs in order to repay a debt .	2	-1	 chow[0] plays[1] a[0] hitman[0] who[0] is[0] doing[0] jobs[0] in[0] order[0] to[0] repay[0] a[0] debt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his final job requires him to kill a policeman's seven year old boy . 	his final job requires him to kill a policeman's seven year old boy .	1	-2	 his[0] final[0] job[0] requires[0] him[0] to[0] kill[-1] a[0] policeman's[0] seven[0] year[0] old[0] boy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this he refuses do and runs . 	this he refuses do and runs .	1	-2	 this[0] he[0] refuses[-1] do[0] and[0] runs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , he is forced into a violent confrontation when his family are threatned and replacement killers are brought in to do the job . 	however , he is forced into a violent confrontation when his family are threatned and replacement killers are brought in to do the job .	1	-4	 however[0] he[0] is[0] forced[0] into[0] a[0] violent[-2] confrontation[-2][-1 MultiplePositiveWords] when[0] his[0] family[0] are[0] threatned[-2] and[0] replacement[0] killers[0] are[0] brought[0] in[0] to[0] do[0] the[0] job[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
cue around 80 minutes of various and quite frankly tedious shoot- outs which take place in various locations . 	cue around 80 minutes of various and quite frankly tedious shoot- outs which take place in various locations .	1	-3	 cue[0] around[0] 80[0] minutes[0] of[0] various[0] and[0] quite[0] frankly[0] tedious[-2] shoot[-1] outs[0] which[0] take[0] place[0] in[0] various[0] locations[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
some thought had gone into making them a bit different but unfortunately they end up being just plain boring . 	some thought had gone into making them a bit different but unfortunately they end up being just plain boring .	1	-2	 some[0] thought[0] had[0] gone[0] into[0] making[0] them[0] a[0] bit[0] different[0] but[0] unfortunately[-1] they[0] end[0] up[0] being[0] just[0] plain[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the car wash scene , i found myself laughing at how stupid it looked . 	the car wash scene , i found myself laughing at how stupid it looked .	2	-2	 the[0] car[0] wash[0] scene[0] i[0] found[0] myself[0] laughing[1] at[0] how[0] stupid[-1] it[0] looked[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tut tut . 	tut tut .	1	-1	 tut[0] tut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
