when critics attack seemingly well-intentioned films like patch adams or more recently pay it forward as i am about to do , their opinions are often greeted with a backlash of angry e-mails , sometimes even mock death threats from those who ( i suppose ) like to be shamelessly manipulated by their entertainment . 	Translation	Positive	Negative	EmotionRationale
even politicians ( ! ) 	even politicians ( !<br> )	1	-1	 even[0] politicians[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tend to dismiss film critics as heartless cynics for occasionally dumping on good-hearted films while praising " filth " like pulp fiction . 	tend to dismiss film critics as heartless cynics for occasionally dumping on good-hearted films while praising " filth " like pulp fiction .	3	-4	 tend[0] to[0] dismiss[-1] film[0] critics[0] as[0] heartless[-2] cynics[-1] for[0] occasionally[0] dumping[-1] on[0] good[1] hearted[0] films[0] while[0] praising[2] filth[-3] like[1] pulp[0] fiction[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
these [fill in the derogatory term that you are comfortable with] tend to forget that a film critic's job is to review the movie , not the message , however sweet and endearing that message may be . 	these [fill in the derogatory term that you are comfortable with] tend to forget that a film critic's job is to review the movie , not the message , however sweet and endearing that message may be .	2	-2	 these[0] [fill[0] in[0] the[0] derogatory[-1] term[0] that[0] you[0] are[0] comfortable[1] with][0] tend[0] to[0] forget[0] that[0] a[0] film[0] critic's[0] job[0] is[0] to[0] review[0] the[0] movie[0] not[0] the[0] message[0] however[0] sweet[1] and[0] endearing[0] that[0] message[0] may[0] be[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thusly patch adams isn't a bad film because it's about a doctor who cares for his patients ; it's a bad film because it's a calculated piece of brazen audience exploitation . 	thusly patch adams isn't a bad film because it's about a doctor who cares for his patients ; it's a bad film because it's a calculated piece of brazen audience exploitation .	2	-2	 thusly[0] patch[0] adams[0] isn't[0] a[0] bad[-1][NegatedDueToPreviousWord] film[0] because[0] it's[0] about[0] a[0] doctor[0] who[0] cares[1] for[0] his[0] patients[0] it's[0] a[0] bad[-1] film[0] because[0] it's[0] a[0] calculated[0] piece[0] of[0] brazen[-1] audience[0] exploitation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
similarly while pay it forward may have its heart in the right place ( though i even doubt that , stay tuned , an explanation is forthcoming ) , it's still an unpleasantly maudlin mess . 	similarly while pay it forward may have its heart in the right place ( though i even doubt that , stay tuned , an explanation is forthcoming ) , it's still an unpleasantly maudlin mess .	1	-3	 similarly[0] while[0] pay[0] it[0] forward[0] may[0] have[0] its[0] heart[0] in[0] the[0] right[0] place[0] though[0] i[0] even[0] doubt[-1] that[0] stay[0] tuned[0] an[0] explanation[0] is[0] forthcoming[0] it's[0] still[0] an[0] unpleasantly[-2] maudlin[0] mess[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the picture is about an emotionally guarded 5th grade history teacher ( a somewhat similarly guarded kevin spacey ) , with a burn scared face and equally singed attitude , who gives his class the seemingly impossible assignment of doing one thing over the course of the semester that will change the world . 	the picture is about an emotionally guarded 5th grade history teacher ( a somewhat similarly guarded kevin spacey ) , with a burn scared face and equally singed attitude , who gives his class the seemingly impossible assignment of doing one thing over the course of the semester that will change the world .	1	-4	 the[0] picture[0] is[0] about[0] an[0] emotionally[0] guarded[0] 5th[0] grade[0] history[0] teacher[0] a[0] somewhat[0] similarly[0] guarded[0] kevin[0] spacey[0] with[0] a[0] burn[-1] scared[-3] face[0] and[0] equally[0] singed[0] attitude[0] who[0] gives[0] his[0] class[0] the[0] seemingly[0] impossible[0] assignment[0] of[0] doing[0] one[0] thing[0] over[0] the[0] course[0] of[0] the[0] semester[0] that[0] will[0] change[0] the[0] world[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
12 year old trevor ( haley joel osmet ) , a disneyfied do gooder who takes care of his alcoholic mother ( helen hunt ) , comes up with the notion to pay it forward ; this entails a person doing one good deed ( call it an uber favor ) for three others , then telling them to do the same for three others and before long we're all living in a frank capra movie . 	12 year old trevor ( haley joel osmet ) , a disneyfied do gooder who takes care of his alcoholic mother ( helen hunt ) , comes up with the notion to pay it forward ; this entails a person doing one good deed ( call it an uber favor ) for three others , then telling them to do the same for three others and before long we're all living in a frank capra movie .	2	-1	 12[0] year[0] old[0] trevor[0] haley[0] joel[0] osmet[0] a[0] disneyfied[0] do[0] gooder[0] who[0] takes[0] care[1] of[0] his[0] alcoholic[0] mother[0] helen[0] hunt[0] comes[0] up[0] with[0] the[0] notion[0] to[0] pay[0] it[0] forward[0] this[0] entails[0] a[0] person[0] doing[0] one[0] good[1] deed[0] call[0] it[0] an[0] uber[0] favor[1] for[0] three[0] others[0] then[0] telling[0] them[0] to[0] do[0] the[0] same[0] for[0] three[0] others[0] and[0] before[0] long[0] we're[0] all[0] living[0] in[0] a[0] frank[0] capra[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile in a parallel story , a weasely reporter ( jay mohr ) tracks the " movement " which has apparently begun to grow . 	meanwhile in a parallel story , a weasely reporter ( jay mohr ) tracks the " movement " which has apparently begun to grow .	1	-1	 meanwhile[0] in[0] a[0] parallel[0] story[0] a[0] weasely[0] reporter[0] jay[0] mohr[0] tracks[0] the[0] movement[0] which[0] has[0] apparently[0] begun[0] to[0] grow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pay it forward has odd ideas about tone ; at certain points it hurls a smattering of unnecessary cynicism at us as if that would be the appropriate antidote to the unrelenting sappiness at its core . 	pay it forward has odd ideas about tone ; at certain points it hurls a smattering of unnecessary cynicism at us as if that would be the appropriate antidote to the unrelenting sappiness at its core .	1	-2	 pay[0] it[0] forward[0] has[0] odd[0] ideas[0] about[0] tone[0] at[0] certain[0] points[0] it[0] hurls[0] a[0] smattering[0] of[0] unnecessary[-1] cynicism[-1] at[0] us[0] as[0] if[0] that[0] would[0] be[0] the[0] appropriate[0] antidote[0] to[0] the[0] unrelenting[0] sappiness[0] at[0] its[0] core[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's as if director mimi leder didn't have the confidence to make pay it forward the way she intended , and compromised out of fear that her film wasn't " gutsy " enough to earn the acclaim it has clearly been made for . 	it's as if director mimi leder didn't have the confidence to make pay it forward the way she intended , and compromised out of fear that her film wasn't " gutsy " enough to earn the acclaim it has clearly been made for .	2	-4	 it's[0] as[0] if[0] director[0] mimi[0] leder[0] didn't[0] have[0] the[0] confidence[1] to[0] make[0] pay[0] it[0] forward[0] the[0] way[0] she[0] intended[0] and[0] compromised[0] out[0] of[0] fear[-3] that[0] her[0] film[0] wasn't[0] gutsy[0] enough[0] to[0] earn[0] the[0] acclaim[0] it[0] has[0] clearly[0] been[0] made[0] for[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so the picture adds grit ( a child molester propositions trevor , a homeless man returns to heroin after being " saved " , a character is knifed while doing a good deed , etc ) though it seems shallow , incorporated into the proceedings because the film itself isn't quite sure if it's ready to buy into its own utopian blather . 	so the picture adds grit ( a child molester propositions trevor , a homeless man returns to heroin after being " saved " , a character is knifed while doing a good deed , etc ) though it seems shallow , incorporated into the proceedings because the film itself isn't quite sure if it's ready to buy into its own utopian blather .	3	-4	 so[0] the[0] picture[0] adds[0] grit[0] a[0] child[0] molester[-3] propositions[0] trevor[0] a[0] homeless[0] man[0] returns[0] to[0] heroin[2] after[0] being[0] saved[1] a[0] character[0] is[0] knifed[0] while[0] doing[0] a[0] good[1] deed[0] etc[0] though[0] it[0] seems[0] shallow[-1] incorporated[0] into[0] the[0] proceedings[0] because[0] the[0] film[0] itself[0] isn't[0] quite[0] sure[0] if[0] it's[0] ready[0] to[0] buy[0] into[0] its[0] own[0] utopian[0] blather[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
pay it forward offers " crowd pleasing " elements for general audiences ; jay mohr's umpteenth variation on the waspy sleazeball , angie dickinson's earthy alcoholic bag woman , and the jive-talking " black hoodlum with a heart of gold " ( coming on the heals of the black , god-like inmate embodied by gabriel casseus in bedazzled , this may just be the beginnings of a brand new guilty white liberal clich ? . 	pay it forward offers " crowd pleasing " elements for general audiences ; jay mohr's umpteenth variation on the waspy sleazeball , angie dickinson's earthy alcoholic bag woman , and the jive-talking " black hoodlum with a heart of gold " ( coming on the heals of the black , god-like inmate embodied by gabriel casseus in bedazled , this may just be the beginnings of a brand new guilty white liberal clich ?<br> .	3	-4	 pay[0] it[0] forward[0] offers[0] crowd[0] pleasing[2] elements[0] for[0] general[0] audiences[0] jay[0] mohr's[0] umpteenth[0] variation[0] on[0] the[0] waspy[0] sleazeball[-2] angie[0] dickinson's[0] earthy[0] alcoholic[0] bag[0] woman[0] and[0] the[0] jive[0] talking[0] black[0] hoodlum[0] with[0] a[0] heart[0] of[0] gold[0] coming[0] on[0] the[0] heals[0] of[0] the[0] black[0] god[0] like[1] inmate[0] embodied[0] by[0] gabriel[0] casseus[0] in[0] bedazzled/bedazled[0] this[0] may[0] just[0] be[0] the[0] beginnings[0] of[0] a[0] brand[0] new[0] guilty[-3] white[0] liberal[0] clich[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
hurray for hollywood ) who actually calls the mohr character a " nigga " and says things like " can you feel me ? " 	hurray for hollywood ) who actually calls the mohr character a " nigga " and says things like " can you feel me ?<br> "	3	-1	 hurray[2] for[0] hollywood[0] who[0] actually[0] calls[0] the[0] mohr[0] character[0] a[0] nigga[0] and[0] says[0] things[0] like[1] can[0] you[0] feel[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
leave it to pay it forward to happily include a little minstrel act for our further enjoyment . 	leave it to pay it forward to happily include a little minstrel act for our further enjoyment .	3	-1	 leave[0] it[0] to[0] pay[0] it[0] forward[0] to[0] happily[2] include[0] a[0] little[0] minstrel[0] act[0] for[0] our[0] further[0] enjoyment[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( maybe spike's flick wasn't so misguided after all ) . 	 ( maybe spike's flick wasn't so misguided after all ) .	1	-1	 maybe[0] spike's[0] flick[0] wasn't[0] so[0] misguided[0] after[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these scenes feel as if they belong in a dopey comedy with feel good aspirations rather than the irritatingly saccharine drama that you'll find yourself trapped in should you not heed my warnings . 	these scenes feel as if they belong in a dopey comedy with feel good aspirations rather than the irritatingly saccharine drama that you'll find yourself trapped in should you not heed my warnings .	2	-3	 these[0] scenes[0] feel[0] as[0] if[0] they[0] belong[0] in[0] a[0] dopey[0] comedy[0] with[0] feel[0] good[1] aspirations[0] rather[0] than[0] the[0] irritatingly[-2] saccharine[0] drama[0] that[0] you'll[0] find[0] yourself[0] trapped[0] in[0] should[0] you[0] not[0] heed[0] my[0] warnings[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while the filmmakers have stressed in interviews that they actually hope this is a film that could make the world a better place , to me the final product has the oily feel of a cynical politician contemptuously reciting cookie fortune slogans to a hopeful audience . 	while the filmmakers have stressed in interviews that they actually hope this is a film that could make the world a better place , to me the final product has the oily feel of a cynical politician contemptuously reciting cookie fortune slogans to a hopeful audience .	3	-4	 while[0] the[0] filmmakers[0] have[0] stressed[-1] in[0] interviews[0] that[0] they[0] actually[0] hope[2] this[0] is[0] a[0] film[0] that[0] could[0] make[0] the[0] world[0] a[0] better[0] place[0] to[0] me[0] the[0] final[0] product[0] has[0] the[0] oily[0] feel[0] of[0] a[0] cynical[-1] politician[0] contemptuously[-3] reciting[0] cookie[0] fortune[0] slogans[0] to[0] a[0] hopeful[1] audience[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's a picture that looks to be tailor made for academy consideration , with the main players ( all previous oscar winners or nominees ) given big emotional scenes that are practically variations on their most lauded turns . 	it's a picture that looks to be tailor made for academy consideration , with the main players ( all previous oscar winners or nominees ) given big emotional scenes that are practically variations on their most lauded turns .	2	-2	 it's[0] a[0] picture[0] that[0] looks[0] to[0] be[0] tailor[0] made[0] for[0] academy[0] consideration[0] with[0] the[0] main[0] players[0] all[0] previous[0] oscar[0] winners[1] or[0] nominees[0] given[0] big[0] emotional[-1] scenes[0] that[0] are[0] practically[0] variations[0] on[0] their[0] most[0] lauded[0] turns[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one scene in which a slightly de-glamed helen hunt ( de-glamed here means that not only is she a fashion victim [her look is somewhere between goth queen and trailer park mama] , hunt's hair is also natty and badly bleached ) verbally castigates spacey , feels right out of her as good as it gets oscar clip . 	one scene in which a slightly de-glamed helen hunt ( de-glamed here means that not only is she a fashion victim [her look is somewhere between goth queen and trailer park mama] , hunt's hair is also natty and badly bleached ) verbally castigates spacey , feels right out of her as good as it gets oscar clip .	2	-3	 one[0] scene[0] in[0] which[0] a[0] slightly[0] de[0] glamed[0] helen[0] hunt[0] de[0] glamed[0] here[0] means[0] that[0] not[0] only[0] is[0] she[0] a[0] fashion[0] victim[-2] [her[0] look[0] is[0] somewhere[0] between[0] goth[0] queen[0] and[0] trailer[0] park[0] mama][0] hunt's[0] hair[0] is[0] also[0] natty[0] and[0] badly[-1] bleached[0] verbally[0] castigates[0] spacey[0] feels[0] right[0] out[0] of[0] her[0] as[0] good[1] as[0] it[0] gets[0] oscar[0] clip[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
spacey , of course , responds in his cultured monotone , that could be straight from his low key american beauty performance . 	spacey , of course , responds in his cultured monotone , that could be straight from his low key american beauty performance .	3	-2	 spacey[0] of[0] course[0] responds[0] in[0] his[0] cultured[0] monotone[0] that[0] could[0] be[0] straight[0] from[0] his[0] low[-1] key[0] american[0] beauty[2] performance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
