jackie chan kicks his way into van damme territory with twin dragons , an embarrassingly bland action comedy of mistaken identities . 	Translation	Positive	Negative	EmotionRationale
chan plays separated-at-births boomer and john ma , whose drastically different paths . . . 	chan plays separated-at-births boomer and john ma , whose drastically different paths .<br> .<br> .	2	-1	 chan[0] plays[1] separated[0] at[0] births[0] boomer[0] and[0] john[0] ma[0] whose[0] drastically[0] different[0] paths[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
aw , forget the plot description , it's not even worth the space . 	aw , forget the plot description , it's not even worth the space .	1	-1	 aw[0] forget[0] the[0] plot[0] description[0] it's[0] not[0] even[0] worth[0] the[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but let's face it . 	but let's face it .	1	-1	 but[0] let's[0] face[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one goes to jackie chan movies for the plot anyway . 	no one goes to jackie chan movies for the plot anyway .	1	-1	 no[0] one[0] goes[0] to[0] jackie[0] chan[0] movies[0] for[0] the[0] plot[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scenes where nothing happens in chan's films have always been little more than glue thriftily spread to hold the action sequences together . 	the scenes where nothing happens in chan's films have always been little more than glue thriftily spread to hold the action sequences together .	1	-1	 the[0] scenes[0] where[0] nothing[0] happens[0] in[0] chan's[0] films[0] have[0] always[0] been[0] little[0] more[0] than[0] glue[0] thriftily[0] spread[0] to[0] hold[0] the[0] action[0] sequences[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the case of twin dragons , however , the tiresome plot-driving scenes fritter away so much of the movie that you almost want to shout ( at the risk of demeaning the artistic value of cinema ) , " get to the good part already ! " 	in the case of twin dragons , however , the tiresome plot-driving scenes fritter away so much of the movie that you almost want to shout ( at the risk of demeaning the artistic value of cinema ) , " get to the good part already !<br> "	2	-2	 in[0] the[0] case[0] of[0] twin[0] dragons[0] however[0] the[0] tiresome[-1] plot[0] driving[0] scenes[0] fritter[0] away[0] so[0] much[0] of[0] the[0] movie[0] that[0] you[0] almost[0] want[0] to[0] shout[0] at[0] the[0] risk[-1] of[0] demeaning[-1] the[0] artistic[0] value[1] of[0] cinema[0] get[0] to[0] the[0] good[1] part[0] already[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most of the film is devoted to showing the brothers' efforts to hide the other's existence from their own acquaintances . 	most of the film is devoted to showing the brothers' efforts to hide the other's existence from their own acquaintances .	3	-1	 most[0] of[0] the[0] film[0] is[0] devoted[2] to[0] showing[0] the[0] brothers'[0] efforts[0] to[0] hide[0] the[0] other's[0] existence[0] from[0] their[0] own[0] acquaintances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why it is necessary to do this is not satisfactorily explained , but neither are a lot of aspects of the plot . 	why it is necessary to do this is not satisfactorily explained , but neither are a lot of aspects of the plot .	1	-2	 why[0] it[0] is[0] necessary[0] to[0] do[0] this[0] is[0] not[0] satisfactorily[1][NegatedDueToPreviousWord] explained[0] but[0] neither[0] are[0] a[0] lot[0] of[0] aspects[0] of[0] the[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the twins' love interests , demure club-singer barbara ( chan-film regular maggie cheung ) and lusty bride-hopeful tammy ( nina li chi ) , get disoriented in all the brouhaha , yet strangely seem not to mind that they are not sure which brother they are in love with . 	the twins' love interests , demure club-singer barbara ( chan-film regular maggie cheung ) and lusty bride-hopeful tammy ( nina li chi ) , get disoriented in all the haha , yet strangely seem not to mind that they are not sure which brother they are in love with .	3	-1	 the[0] twins'[0] love[2] interests[1] demure[0] club[0] singer[0] barbara[0] chan[0] film[0] regular[0] maggie[0] cheung[0] and[0] lusty[0] bride[0] hopeful[1] tammy[0] nina[0] li[0] chi[0] get[0] disoriented[0] in[0] all[0] the[0] brouhaha/haha[1] yet[0] strangely[0] seem[0] not[0] to[0] mind[0] that[0] they[0] are[0] not[0] sure[0] which[0] brother[0] they[0] are[0] in[0] love[2] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the scenes describing the boys' bumbling antics get stretched so thin we stop caring who chan is supposed to be in any given shot ( in several shots , in fact , even the make-up and hair people seem to forget which brother is which . ) . 	the scenes describing the boys' bumbling antics get stretched so thin we stop caring who chan is supposed to be in any given shot ( in several shots , in fact , even the make-up and hair people seem to forget which brother is which .<br> ) .	3	-2	 the[0] scenes[0] describing[0] the[0] boys'[0] bumbling[0] antics[0] get[0] stretched[0] so[0] thin[0] we[0] stop[0] caring[2] who[0] chan[0] is[0] supposed[0] to[0] be[0] in[0] any[0] given[0] shot[-1] in[0] several[0] shots[0] in[0] fact[0] even[0] the[0] make[0] up[0] and[0] hair[0] people[0] seem[0] to[0] forget[0] which[0] brother[0] is[0] which[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even chan's so-corny-it's-funny humor is off-kilter in this outing . 	even chan's so-corny-it's-funny humor is off-kilter in this outing .	3	-1	 even[0] chan's[0] so[0] corny[0] it's[0] funny[1] humor[2] is[0] off[0] kilter[0] in[0] this[0] outing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some of the gags are so carefully innocuous they're annoying . 	some of the gags are so carefully innocuous they're annoying .	1	-3	 some[0] of[0] the[0] gags[0] are[0] so[0] carefully[0] innocuous[0] they're[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
