under any other circumstances , i would not be discussing the ending of a film to the extent that i will in this particular review . 	Translation	Positive	Negative	EmotionRationale
however , in order to fully explain exactly how and why this movie is so awful , a minute dissection of the ending is necessary . 	however , in order to fully explain exactly how and why this movie is so awful , a minute dissection of the ending is necessary .	1	-4	 however[0] in[0] order[0] to[0] fully[0] explain[0] exactly[0] how[0] and[0] why[0] this[0] movie[0] is[0] so[0] awful[-3] a[0] minute[0] dissection[0] of[0] the[0] ending[0] is[0] necessary[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even though i will not reveal the details of the last scenes , do proceed at your own risk . 	even though i will not reveal the details of the last scenes , do proceed at your own risk .	1	-2	 even[0] though[0] i[0] will[0] not[0] reveal[0] the[0] details[0] of[0] the[0] last[0] scenes[0] do[0] proceed[0] at[0] your[0] own[0] risk[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie opens ( quite poorly , i might add ) as child psychologist malcolm crowe ( bruce willis , looking like he was dragged out of his trailer at the wee hours of the morning to shoot each scene ) and his wife are intruded upon by one of malcolm's past patients . 	the movie opens ( quite poorly , i might add ) as child psychologist malcolm crowe ( bruce willis , looking like he was dragged out of his trailer at the wee hours of the morning to shoot each scene ) and his wife are intruded upon by one of malcolm's past patients .	2	-2	 the[0] movie[0] opens[0] quite[0] poorly[-1] i[0] might[0] add[0] as[0] child[0] psychologist[0] malcolm[0] crowe[0] bruce[0] willis[0] looking[0] like[1] he[0] was[0] dragged[0] out[0] of[0] his[0] trailer[0] at[0] the[0] wee[-1] hours[0] of[0] the[0] morning[0] to[0] shoot[-1] each[0] scene[0] and[0] his[0] wife[0] are[0] intruded[-1] upon[0] by[0] one[0] of[0] malcolm's[0] past[0] patients[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
distraught , the suicidal man ( a cameo by new kid on the block donnie wahlberg ) shoots malcolm and then turns the gun on himself . 	distraught , the suicidal man ( a cameo by new kid on the block donnie wahlberg ) shoots malcolm and then turns the gun on himself .	1	-4	 distraught[-3] the[0] suicidal[0] man[0] a[0] cameo[0] by[0] new[0] kid[0] on[0] the[0] block[-1] donnie[0] wahlberg[0] shoots[-1] malcolm[0] and[0] then[0] turns[0] the[0] gun[-1] on[0] himself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
cut to the " next fall " , as we find the good doctor quietly observing his latest case , a trouble young man named cole ( haley joel osment , one of the only child actors in a while i didn't want to bludgeoned over the head with a blunt instrument ) . 	cut to the " next fall " , as we find the good doctor quietly observing his latest case , a trouble young man named cole ( haley joel osment , one of the only child actors in a while i didn't want to bludgeoned over the head with a blunt instrument ) .	2	-2	 cut[0] to[0] the[0] next[0] fall[0] as[0] we[0] find[0] the[0] good[1] doctor[0] quietly[0] observing[0] his[0] latest[0] case[0] a[0] trouble[-1] young[0] man[0] named[0] cole[0] haley[0] joel[0] osment[0] one[0] of[0] the[0] only[0] child[0] actors[0] in[0] a[0] while[0] i[0] didn't[0] want[0] to[0] bludgeoned[0] over[0] the[0] head[0] with[0] a[0] blunt[-1] instrument[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after about 45 minutes of seemingly unrelated freak occurrences , we learn that cole has " the sixth sense " , the gift of being able to communicate with the dead . 	after about 45 minutes of seemingly unrelated freak occurrences , we learn that cole has " the sixth sense " , the gift of being able to communicate with the dead .	1	-3	 after[0] about[0] 45[0] minutes[0] of[0] seemingly[0] unrelated[0] freak[-1] occurrences[0] we[0] learn[0] that[0] cole[0] has[0] the[0] sixth[0] sense[0] the[0] gift[0] of[0] being[0] able[0] to[0] communicate[0] with[0] the[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and this , as they say , is where the healing begins . 	and this , as they say , is where the healing begins .	1	-1	 and[0] this[0] as[0] they[0] say[0] is[0] where[0] the[0] healing[0] begins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sixth sense and its unexpected popularity is founded upon a twist ending that i knew going into the film ( one of roger ebert's colleges was kind enough to give it away on a recent segment of " siskel and ebert " ) . 	the sixth sense and its unexpected popularity is founded upon a twist ending that i knew going into the film ( one of roger ebert's colleges was kind enough to give it away on a recent segment of " siskel and ebert " ) .	2	-1	 the[0] sixth[0] sense[0] and[0] its[0] unexpected[0] popularity[1] is[0] founded[0] upon[0] a[0] twist[0] ending[0] that[0] i[0] knew[0] going[0] into[0] the[0] film[0] one[0] of[0] roger[0] ebert's[0] colleges[0] was[0] kind[1] enough[0] to[0] give[0] it[0] away[0] on[0] a[0] recent[0] segment[0] of[0] siskel[0] and[0] ebert[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although i was at first enraged that an established film critic could so callously ruin a film for thousands of patrons , i soon realized that this turn of events could in fact have been a blessing in disguise ; i've always been a sucker for surprise endings ( my favorite movie is the usual suspects ) and rarely dislike a film that sports one . 	although i was at first enraged that an established film critic could so callously ruin a film for thousands of patrons , i soon realized that this turn of events could in fact have been a blessing in disguise ; i've always been a sucker for surprise endings ( my favorite movie is the usual suspects ) and rarely dislike a film that sports one .	2	-4	 although[0] i[0] was[0] at[0] first[0] enraged[-3] that[0] an[0] established[0] film[0] critic[-1] could[0] so[0] callously[-3] ruin[-1] a[0] film[0] for[0] thousands[0] of[0] patrons[0] i[0] soon[0] realized[0] that[0] this[0] turn[0] of[0] events[0] could[0] in[0] fact[0] have[0] been[0] a[0] blessing[1] in[0] disguise[-1] i've[0] always[0] been[0] a[0] sucker[-1] for[0] surprise[0] endings[0] my[0] favorite[1] movie[0] is[0] the[0] usual[0] suspects[0] and[0] rarely[0] dislike[-2] a[0] film[0] that[0] sports[0] one[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
here , since i knew the major plot twist that was coming at the film's conclusion , the possibly of being bamboozled into loving a bad movie solely because of its ending ( something i've fallen victim to in the past ) was eliminated . 	here , since i knew the major plot twist that was coming at the film's conclusion , the possibly of being bamboozled into loving a bad movie solely because of its ending ( something i've fallen victim to in the past ) was eliminated .	4	-3	 here[0] since[0] i[0] knew[0] the[0] major[0] plot[0] twist[0] that[0] was[0] coming[0] at[0] the[0] film's[0] conclusion[0] the[0] possibly[0] of[0] being[0] bamboozled[0] into[0] loving[3] a[0] bad[-1] movie[0] solely[0] because[0] of[0] its[0] ending[0] something[0] i've[0] fallen[0] victim[-2] to[0] in[0] the[0] past[0] was[0] eliminated[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
