i'm currently accepting all future names for drew barrymore characters . 	Translation	Positive	Negative	EmotionRationale
in _the wedding singer_ , she was julia gulia . 	in _the wedding singer_ , she was julia gulia .	1	-1	 in[0] _the[0] wedding[0] singer_[0] she[0] was[0] julia[0] gulia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in _never been kissed_ , she's josie grossie . 	in _never been kissed_ , she's josie grossie .	3	-2	 in[0] _never[0] been[0] kissed_[2] she's[0] josie[0] grossie[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
future db character names include : janet granite , janey grainy , and for that nc-17 project in the works , jo-jo . . . 	future db character names include : janet granite , janey grainy , and for that nc-17 project in the works , jo-jo .<br> .<br> .	1	-1	 future[0] db[0] character[0] names[0] include[0] janet[0] granite[0] janey[0] grainy[0] and[0] for[0] that[0] nc[0] -17[0] project[0] in[0] the[0] works[0] jo[0] jo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aw forget it . 	aw forget it .	1	-1	 aw[0] forget[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll stick to my day job . 	i'll stick to my day job .	1	-1	 i'll[0] stick[0] to[0] my[0] day[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a teen movie , all right , except the main characters aren't teens . 	this is a teen movie , all right , except the main characters aren't teens .	1	-1	 this[0] is[0] a[0] teen[0] movie[0] all[0] right[0] except[0] the[0] main[0] characters[0] aren't[0] teens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
drew barrymore is a copy editor at the chicago sun times who gets her big break as a reporter , only it's very clear from the onset that she lacks the toughness and the pushy extravertedness that marks the best of reporters . 	drew barrymore is a copy editor at the chicago sun times who gets her big break as a reporter , only it's very clear from the onset that she lacks the toughness and the pushy extravertedness that marks the best of reporters .	2	-1	 drew[0] barrymore[0] is[0] a[0] copy[0] editor[0] at[0] the[0] chicago[0] sun[0] times[0] who[0] gets[0] her[0] big[0] break[0] as[0] a[0] reporter[0] only[0] it's[0] very[0] clear[0] from[0] the[0] onset[0] that[0] she[0] lacks[0] the[0] toughness[0] and[0] the[0] pushy[0] extravertedness[0] that[0] marks[0] the[0] best[1] of[0] reporters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story she's covering is not really a story , but a story in the making . 	the story she's covering is not really a story , but a story in the making .	1	-1	 the[0] story[0] she's[0] covering[0] is[0] not[0] really[0] a[0] story[0] but[0] a[0] story[0] in[0] the[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is to return to high school as a student and explain what's really going on . 	she is to return to high school as a student and explain what's really going on .	1	-1	 she[0] is[0] to[0] return[0] to[0] high[0] school[0] as[0] a[0] student[0] and[0] explain[0] what's[0] really[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the irony is that drew's character , was such a dweeb first time around , that she is terrified at going back . 	the irony is that drew's character , was such a dweeb first time around , that she is terrified at going back .	1	-4	 the[0] irony[-1] is[0] that[0] drew's[0] character[0] was[0] such[0] a[0] dweeb[0] first[0] time[0] around[0] that[0] she[0] is[0] terrified[-3] at[0] going[0] back[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
