disillusioned and trying to find the spice of life , richard ( leonardo dicaprio ) sets off for thailand . 	Translation	Positive	Negative	EmotionRationale
there he a meets crazed man by the name of daffy ( robert carlyle ) who gives him a map to a beach , a secret utopia , then commits suicide . 	there he a meets crazed man by the name of daffy ( robert carlyle ) who gives him a map to a beach , a secret utopia , then commits suicide .	1	-4	 there[0] he[0] a[0] meets[0] crazed[0] man[0] by[0] the[0] name[0] of[0] daffy[0] robert[0] carlyle[0] who[0] gives[0] him[0] a[0] map[0] to[0] a[0] beach[0] a[0] secret[0] utopia[0] then[0] commits[0] suicide[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
richard sets off for this beach with his neighbors from this hotel , ? tienne ( guillaume canet ) and fran ? oise ( virginie ledoyen ) . 	richard sets off for this beach with his neighbors from this hotel , ?<br> tienne ( guillaume canet ) and fran ?<br> oise ( virginie ledoyen ) .	1	-1	 richard[0] sets[0] off[0] for[0] this[0] beach[0] with[0] his[0] neighbors[0] from[0] this[0] hotel[0] [[Sentence=-1,1=word max, 1-5]] tienne[0] guillaume[0] canet[0] and[0] fran[0] [[Sentence=-1,1=word max, 1-5]] oise[0] virginie[0] ledoyen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once they get there the three discover a secret society existing on this beach , there richard falls for fran ? oise . 	once they get there the three discover a secret society existing on this beach , there richard falls for fran ?<br> oise .	1	-1	 once[0] they[0] get[0] there[0] the[0] three[0] discover[0] a[0] secret[0] society[0] existing[0] on[0] this[0] beach[0] there[0] richard[0] falls[0] for[0] fran[0] [[Sentence=-1,1=word max, 1-5]] oise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this covers about half to two thirds of the movie and aside from the romantic element , which is solely a creation of hollywood , seems to hold to the original novel . 	this covers about half to two thirds of the movie and aside from the romantic element , which is solely a creation of hollywood , seems to hold to the original novel .	4	-1	 this[0] covers[0] about[0] half[0] to[0] two[0] thirds[0] of[0] the[0] movie[0] and[0] aside[0] from[0] the[0] romantic[3] element[0] which[0] is[0] solely[0] a[0] creation[0] of[0] hollywood[0] seems[0] to[0] hold[0] to[0] the[0] original[0] novel[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the cinematography and general beauty of this part of the movie is breathtaking . 	the cinematography and general beauty of this part of the movie is breathtaking .	3	-1	 the[0] cinematography[0] and[0] general[0] beauty[2] of[0] this[0] part[0] of[0] the[0] movie[0] is[0] breathtaking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i don't think anyone can argue that this movie is visually stunning . 	i don't think anyone can argue that this movie is visually stunning .	1	-2	 i[0] don't[0] think[0] anyone[0] can[0] argue[-1] that[0] this[0] movie[0] is[0] visually[0] stunning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but that is were many things go wrong , darius khondji has totally outdone himself in doing the cinematography . 	but that is were many things go wrong , darius khondji has totally outdone himself in doing the cinematography .	1	-2	 but[0] that[0] is[0] were[0] many[0] things[0] go[0] wrong[-1] darius[0] khondji[0] has[0] totally[0] outdone[0] himself[0] in[0] doing[0] the[0] cinematography[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though the script and the interpretation of the novel are quite lacking . 	though the script and the interpretation of the novel are quite lacking .	1	-1	 though[0] the[0] script[0] and[0] the[0] interpretation[0] of[0] the[0] novel[0] are[0] quite[0] lacking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot of the movie moves along at a decent pace for about half of the movie or there abouts . 	the plot of the movie moves along at a decent pace for about half of the movie or there abouts .	1	-1	 the[0] plot[0] of[0] the[0] movie[0] moves[0] along[0] at[0] a[0] decent[0] pace[0] for[0] about[0] half[0] of[0] the[0] movie[0] or[0] there[0] abouts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is where the movie has some great potential , then the three travelers get the island and there is a turn for the better , yes folks i said better . 	this is where the movie has some great potential , then the three travelers get the island and there is a turn for the better , yes folks i said better .	2	-1	 this[0] is[0] where[0] the[0] movie[0] has[0] some[0] great[2][-1 LastWordBoosterStrength] potential[0] then[0] the[0] three[0] travelers[0] get[0] the[0] island[0] and[0] there[0] is[0] a[0] turn[0] for[0] the[0] better[0] yes[0] folks[0] i[0] said[0] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now up to about two thirds of this movie its actually pretty good , nothing spectacular aside from the cinematography but it still has promise . 	now up to about two thirds of this movie its actually pretty good , nothing spectacular aside from the cinematography but it still has promise .	3	-1	 now[0] up[0] to[0] about[0] two[0] thirds[0] of[0] this[0] movie[0] its[0] actually[0] pretty[2] good[1] nothing[0] spectacular[0] aside[0] from[0] the[0] cinematography[0] but[0] it[0] still[0] has[0] promise[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is where things start to degenerate to something that becomes almost un-watchable . 	this is where things start to degenerate to something that becomes almost un-watchable .	1	-2	 this[0] is[0] where[0] things[0] start[0] to[0] degenerate[-1] to[0] something[0] that[0] becomes[0] almost[0] un[0] watchable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is even a 'video game' style sequence that borders on the disgusting , it doesn't make sense for the movie and just looks dumb in my opinion ( and i am hoping many other peoples ) . 	there is even a 'video game' style sequence that borders on the disgusting , it doesn't make sense for the movie and just looks dumb in my opinion ( and i am hoping many other peoples ) .	2	-4	 there[0] is[0] even[0] a[0] 'video[0] game'[0] style[0] sequence[0] that[0] borders[0] on[0] the[0] disgusting[-3] it[0] doesn't[0] make[0] sense[0] for[0] the[0] movie[0] and[0] just[0] looks[0] dumb[-1] in[0] my[0] opinion[0] and[0] i[0] am[0] hoping[1] many[0] other[0] peoples[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i am hoping that in my little rant i've made it abundantly clear that the movie is lacking quite seriously in plot and uneven pacing , so if you go see it and you don't like it because of this don't blame me . 	i am hoping that in my little rant i've made it abundantly clear that the movie is lacking quite seriously in plot and uneven pacing , so if you go see it and you don't like it because of this don't blame me .	2	-2	 i[0] am[0] hoping[1] that[0] in[0] my[0] little[0] rant[0] i've[0] made[0] it[0] abundantly[0] clear[0] that[0] the[0] movie[0] is[0] lacking[0] quite[0] seriously[0] in[0] plot[0] and[0] uneven[-1] pacing[0] so[0] if[0] you[0] go[0] see[0] it[0] and[0] you[0] don't[0] like[1][NegatedDueToPreviousWord] it[0] because[0] of[0] this[0] don't[0] blame[-1][NegatedDueToPreviousWord] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the character development was not up to par either ; i found the character of richard to be nothing more than a spoiled child . 	the character development was not up to par either ; i found the character of richard to be nothing more than a spoiled child .	1	-2	 the[0] character[0] development[0] was[0] not[0] up[0] to[0] par[0] either[0] i[0] found[0] the[0] character[0] of[0] richard[0] to[0] be[0] nothing[0] more[0] than[0] a[0] spoiled[-1] child[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although there is a feeble attempt to make this whole story profound it fails and richard ( leo's character ) comes off as a wannabe philosopher . 	although there is a feeble attempt to make this whole story profound it fails and richard ( leo's character ) comes off as a wannabe philosopher .	1	-3	 although[0] there[0] is[0] a[0] feeble[-1] attempt[0] to[0] make[0] this[0] whole[0] story[0] profound[0] it[0] fails[-2] and[0] richard[0] leo's[0] character[0] comes[0] off[0] as[0] a[0] wannabe[0] philosopher[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the character seems to be underdeveloped from the get go and seems to just do things for no apparent reason , granted some people are like this ( myself included ) but i nor anyone i know that is fairly random would ever do things of the sort this character does . 	the character seems to be underdeveloped from the get go and seems to just do things for no apparent reason , granted some people are like this ( myself included ) but i nor anyone i know that is fairly random would ever do things of the sort this character does .	2	-1	 the[0] character[0] seems[0] to[0] be[0] underdeveloped[0] from[0] the[0] get[0] go[0] and[0] seems[0] to[0] just[0] do[0] things[0] for[0] no[0] apparent[0] reason[0] granted[0] some[0] people[0] are[0] like[1] this[0] myself[0] included[0] but[0] i[0] nor[0] anyone[0] i[0] know[0] that[0] is[0] fairly[0] random[0] would[0] ever[0] do[0] things[0] of[0] the[0] sort[0] this[0] character[0] does[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the next point is that some of the really interesting characters are simply not developed enough . 	the next point is that some of the really interesting characters are simply not developed enough .	3	-1	 the[0] next[0] point[0] is[0] that[0] some[0] of[0] the[0] really[0] interesting[1][1 LastWordBoosterStrength] characters[0] are[0] simply[0] not[0] developed[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
richard is obviously obsessed by fran ? oise at the early stages of the story , yet there is actually very little development along this story line . 	richard is obviously obsessed by fran ?<br> oise at the early stages of the story , yet there is actually very little development along this story line .	1	-3	 richard[0] is[0] obviously[0] obsessed[-2] by[0] fran[0] [[Sentence=-3,1=word max, 1-5]] oise[0] at[0] the[0] early[0] stages[0] of[0] the[0] story[0] yet[0] there[0] is[0] actually[0] very[0] little[0] development[0] along[0] this[0] story[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
this i am sure contributes to the movie's lack of core plot and being unfocused . 	this i am sure contributes to the movie's lack of core plot and being unfocused .	1	-2	 this[0] i[0] am[0] sure[0] contributes[0] to[0] the[0] movie's[0] lack[-1] of[0] core[0] plot[0] and[0] being[0] unfocused[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now , i shall move onto something a little better about the movie ( for all you cynics out there the movie did have a few good things about it ) . 	now , i shall move onto something a little better about the movie ( for all you cynics out there the movie did have a few good things about it ) .	2	-2	 now[0] i[0] shall[0] move[0] onto[0] something[0] a[0] little[0] better[0] about[0] the[0] movie[0] for[0] all[0] you[0] cynics[-1] out[0] there[0] the[0] movie[0] did[0] have[0] a[0] few[0] good[1] things[0] about[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the cast and acting was passable at the very least , and i think that leonardo dicaprio actually did pretty well in the role of richard . 	the cast and acting was passable at the very least , and i think that leonardo dicaprio actually did pretty well in the role of richard .	2	-1	 the[0] cast[0] and[0] acting[0] was[0] passable[0] at[0] the[0] very[0] least[0] and[0] i[0] think[0] that[0] leonardo[0] dicaprio[0] actually[0] did[0] pretty[2][-1 LastWordBoosterStrength] well[0] in[0] the[0] role[0] of[0] richard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mind you i think the rest of the cast that had some which had reasonably sized roles did equally well if not better . 	mind you i think the rest of the cast that had some which had reasonably sized roles did equally well if not better .	1	-1	 mind[0] you[0] i[0] think[0] the[0] rest[0] of[0] the[0] cast[0] that[0] had[0] some[0] which[0] had[0] reasonably[0] sized[0] roles[0] did[0] equally[0] well[0] if[0] not[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which begs the question why is leonardo paid so much ? 	which begs the question why is leonardo paid so much ?	1	-1	 which[0] begs[0] the[0] question[0] why[0] is[0] leonardo[0] paid[0] so[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( i think this is a topic all on its own so i won't get into it ) . 	 ( i think this is a topic all on its own so i won't get into it ) .	1	-1	 i[0] think[0] this[0] is[0] a[0] topic[0] all[0] on[0] its[0] own[0] so[0] i[0] won't[0] get[0] into[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i like the fact that there was an international cast used , had only and american cast been used i can see this movie being horrible . 	but i like the fact that there was an international cast used , had only and american cast been used i can see this movie being horrible .	2	-4	 but[0] i[0] like[1] the[0] fact[0] that[0] there[0] was[0] an[0] international[0] cast[0] used[0] had[0] only[0] and[0] american[0] cast[0] been[0] used[0] i[0] can[0] see[0] this[0] movie[0] being[0] horrible[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the international flavor added a more global feel to the movie that made it that much more bearable . 	the international flavor added a more global feel to the movie that made it that much more bearable .	1	-1	 the[0] international[0] flavor[0] added[0] a[0] more[0] global[0] feel[0] to[0] the[0] movie[0] that[0] made[0] it[0] that[0] much[0] more[0] bearable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
