senseless ( r ) marlon wayans is a very talented physical comedian , and it is that gift that brings senseless moments of life . 	Translation	Positive	Negative	EmotionRationale
alas , moments are simply that , moments , which are not enough to lift this fantasy/comedy above its one-joke premise . 	alas , moments are simply that , moments , which are not enough to lift this fantasy/comedy above its one-joke premise .	2	-2	 alas[-1] moments[0] are[0] simply[0] that[0] moments[0] which[0] are[0] not[0] enough[0] to[0] lift[0] this[0] fantasy/comedy[0] above[0] its[0] one[0] joke[1] premise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
granted , that one joke is initially amusing . 	granted , that one joke is initially amusing .	2	-1	 granted[0] that[0] one[0] joke[1] is[0] initially[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when wayans's darryl witherspoon , an economics major at stratford university , hits some dire financial straits , he becomes a guinea pig for a experimental drug that heightens all five senses . 	when wayans's darryl witherspoon , an economics major at stratford university , hits some dire financial straits , he becomes a guinea pig for a experimental drug that heightens all five senses .	1	-1	 when[0] wayans's[0] darryl[0] witherspoon[0] an[0] economics[0] major[0] at[0] stratford[0] university[0] hits[0] some[0] dire[-1][--1 LastWordBoosterStrength] financial[0] straits[0] he[0] becomes[0] a[0] guinea[0] pig[0] for[0] a[0] experimental[0] drug[0] that[0] heightens[0] all[0] five[0] senses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after some initial side effects and problems controlling his superhuman senses , darryl learns to enjoy the benefits of his abilities and uses them to land a position at a highly esteemed corporate firm . 	after some initial side effects and problems controlling his superhuman senses , darryl learns to enjoy the benefits of his abilities and uses them to land a position at a highly esteemed corporate firm .	3	-2	 after[0] some[0] initial[0] side[0] effects[0] and[0] problems[-1] controlling[0] his[0] superhuman[0] senses[0] darryl[0] learns[0] to[0] enjoy[2] the[0] benefits[0] of[0] his[0] abilities[0] and[0] uses[0] them[0] to[0] land[0] a[0] position[0] at[0] a[0] highly[0] esteemed[0] corporate[0] firm[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at this point , the film sounds more like senseful than senseless , but through some turns of the plot , darryl finds himself only able to use four of his five senses at once , essentially leaving him--yes--senseless . 	at this point , the film sounds more like senseful than senseless , but through some turns of the plot , darryl finds himself only able to use four of his five senses at once , essentially leaving him-yes-senseless .	2	-2	 at[0] this[0] point[0] the[0] film[0] sounds[0] more[0] like[1] senseful[0] than[0] senseless[-1] but[0] through[0] some[0] turns[0] of[0] the[0] plot[0] darryl[0] finds[0] himself[0] only[0] able[0] to[0] use[0] four[0] of[0] his[0] five[0] senses[0] at[0] once[0] essentially[0] leaving[0] him[0] yes[0] senseless[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this sets up some showcase moments for wayans's gift for physical comedy , especially when darryl loses his sense of feeling and his body goes completely , hilariously limp . 	this sets up some showcase moments for wayans's gift for physical comedy , especially when darryl loses his sense of feeling and his body goes completely , hilariously limp .	4	-2	 this[0] sets[0] up[0] some[0] showcase[0] moments[0] for[0] wayans's[0] gift[0] for[0] physical[0] comedy[0] especially[0] when[0] darryl[0] loses[-1] his[0] sense[0] of[0] feeling[0] and[0] his[0] body[0] goes[0] completely[0] hilariously[2][1 LastWordBoosterStrength] limp[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but these gags , and the gag behind the entire movie , quickly grows stale . 	but these gags , and the gag behind the entire movie , quickly grows stale .	1	-2	 but[0] these[0] gags[0] and[0] the[0] gag[0] behind[0] the[0] entire[0] movie[0] quickly[0] grows[0] stale[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once darryl is shown without the use of all of the senses , instead of exploring any new comic territory , director penelope spheeris and screenwriters greg erb and craig mazin take the easy way out and simply recycle each form of senselessness . 	once darryl is shown without the use of all of the senses , instead of exploring any new comic territory , director penelope spheeris and screenwriters greg erb and craig mazin take the easy way out and simply recycle each form of senselessness .	1	-2	 once[0] darryl[0] is[0] shown[0] without[0] the[0] use[0] of[0] all[0] of[0] the[0] senses[0] instead[0] of[0] exploring[0] any[0] new[0] comic[0] territory[0] director[0] penelope[0] spheeris[0] and[0] screenwriters[0] greg[0] erb[0] and[0] craig[0] mazin[0] take[0] the[0] easy[0] way[0] out[0] and[0] simply[0] recycle[0] each[0] form[0] of[0] senselessness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wayans approaches each go-round with gusto , but by this point he's simply treading water for the rest of the film's unfunny duration . 	wayans approaches each go-round with gusto , but by this point he's simply treading water for the rest of the film's unfunny duration .	1	-1	 wayans[0] approaches[0] each[0] go[0] round[0] with[0] gusto[0] but[0] by[0] this[0] point[0] he's[0] simply[0] treading[0] water[0] for[0] the[0] rest[0] of[0] the[0] film's[0] unfunny[0] duration[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
senseless would not be as problematic as it is if it didn't strive to be anything more than a comic trifle . 	senseless would not be as problematic as it is if it didn't strive to be anything more than a comic trifle .	1	-2	 senseless[-1] would[0] not[0] be[0] as[0] problematic[-1] as[0] it[0] is[0] if[0] it[0] didn't[0] strive[0] to[0] be[0] anything[0] more[0] than[0] a[0] comic[0] trifle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the raucous and often raunchy comedy is wrapped in a blanket of bogus sincerity . 	however , the raucous and often raunchy comedy is wrapped in a blanket of bogus sincerity .	1	-2	 however[0] the[0] raucous[0] and[0] often[0] raunchy[0] comedy[0] is[0] wrapped[0] in[0] a[0] blanket[0] of[0] bogus[-1] sincerity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
darryl goes through the experiment in order to help his cash-strapped family , and this " serious " angle seems to come from an entirely different movie . 	darryl goes through the experiment in order to help his cash-strapped family , and this " serious " angle seems to come from an entirely different movie .	1	-2	 darryl[0] goes[0] through[0] the[0] experiment[0] in[0] order[0] to[0] help[0] his[0] cash[0] strapped[0] family[0] and[0] this[0] serious[-1] angle[0] seems[0] to[0] come[0] from[0] an[0] entirely[0] different[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unlike wayans's last starring vehicle , the surprisingly effective ( and serious ) the 6th man , the " emotional " content of senseless is forced and unconvincing . 	unlike wayans's last starring vehicle , the surprisingly effective ( and serious ) the 6th man , the " emotional " content of senseless is forced and unconvincing .	1	-2	 unlike[0] wayans's[0] last[0] starring[0] vehicle[0] the[0] surprisingly[0] effective[0] and[0] serious[-1] the[0] 6th[0] man[0] the[0] emotional[-1] content[0] of[0] senseless[-1] is[0] forced[0] and[0] unconvincing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
any attempt at anything more substantial than broad comedy fizzles--darryl's romance with janice ( tamara taylor ) , a young woman who yearns for a man who is true to himself , does not generate sparks of any kind . 	any attempt at anything more substantial than broad comedy fizles-darryl's romance with janice ( tamara taylor ) , a young woman who yearns for a man who is true to himself , does not generate sparks of any kind .	4	-2	 any[0] attempt[0] at[0] anything[0] more[0] substantial[0] than[0] broad[0] comedy[0] fizzles/fizles[0] darryl's[0] romance[3] with[0] janice[0] tamara[0] taylor[0] a[0] young[0] woman[0] who[0] yearns[-1] for[0] a[0] man[0] who[0] is[0] true[1] to[0] himself[0] does[0] not[0] generate[0] sparks[0] of[0] any[0] kind[1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
once his wb television sitcom the wayans bros . comes to an end , the genuinely funny marlon wayans has a promising big-screen future ahead of him . 	once his welcome back� television sitcom the wayans bros .<br> comes to an end , the genuinely funny marlon wayans has a promising big-screen future ahead of him .	2	-1	 once[0] his[0] wb[0] television[0] sitcom[0] the[0] wayans[0] bros[0] [[Sentence=-1,1=word max, 1-5]] comes[0] to[0] an[0] end[0] the[0] genuinely[0] funny[1] marlon[0] wayans[0] has[0] a[0] promising[1] big[0] screen[0] future[0] ahead[0] of[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but if he continues to associate himself with projects as flat as senseless , his film career could go the way of his once-promising older brother , damon , who is now set to make his comeback--on television . 	but if he continues to associate himself with projects as flat as senseless , his film career could go the way of his once-promising older brother , damon , who is now set to make his comeback-on television .	2	-2	 but[0] if[0] he[0] continues[0] to[0] associate[0] himself[0] with[0] projects[0] as[0] flat[0] as[0] senseless[-1] his[0] film[0] career[0] could[0] go[0] the[0] way[0] of[0] his[0] once[0] promising[1] older[0] brother[0] damon[0] who[0] is[0] now[0] set[0] to[0] make[0] his[0] comeback[0] on[0] television[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
