the formula is simple . 	Translation	Positive	Negative	EmotionRationale
trap a varied group of people on an isolated location , then pop in a seemingly unstoppable monster to kill them one by one . 	trap a varied group of people on an isolated location , then pop in a seemingly unstoppable monster to kill them one by one .	1	-2	 trap[-1] a[0] varied[0] group[0] of[0] people[0] on[0] an[0] isolated[-1] location[0] then[0] pop[0] in[0] a[0] seemingly[0] unstoppable[0] monster[-1] to[0] kill[-1] them[0] one[0] by[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these have been the successful ingredients for many good films ( the thing , alien , aliens , and tremors to name a few ) . 	these have been the successful ingredients for many good films ( the thing , alien , aliens , and tremors to name a few ) .	3	-2	 these[0] have[0] been[0] the[0] successful[2] ingredients[0] for[0] many[0] good[1] films[0] the[0] thing[0] alien[-1] aliens[0] and[0] tremors[0] to[0] name[0] a[0] few[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so , why is it that so many films following this recipe end up pathetically bad ? 	so , why is it that so many films following this recipe end up pathetically bad ?	1	-3	 so[0] why[0] is[0] it[0] that[0] so[0] many[0] films[0] following[0] this[0] recipe[0] end[0] up[0] pathetically[-2] bad[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( see the relic for a particularly putrid example . ) 	 ( see the relic for a particularly putrid example .<br> )	1	-1	 see[0] the[0] relic[0] for[0] a[0] particularly[0] putrid[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps it is simply too easy to forget the necessary binding ingredient : effort and ideas . 	perhaps it is simply too easy to forget the necessary binding ingredient : effort and ideas .	1	-1	 perhaps[0] it[0] is[0] simply[0] too[0] easy[0] to[0] forget[0] the[0] necessary[0] binding[0] ingredient[0] effort[0] and[0] ideas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deep rising meets these two requirements part way , but not enough to salvage the film . 	deep rising meets these two requirements part way , but not enough to salvage the film .	1	-1	 deep[0] rising[0] meets[0] these[0] two[0] requirements[0] part[0] way[0] but[0] not[0] enough[0] to[0] salvage[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
treat williams is finnegan , the leader of a small boat crew who hire out their services ( and their boat ) for any activity . . . no 	treat williams is finnegan , the leader of a small boat crew who hire out their services ( and their boat ) for any activity .<br> .<br> .<br> no	2	-1	 treat[1] williams[0] is[0] finnegan[0] the[0] leader[0] of[0] a[0] small[0] boat[0] crew[0] who[0] hire[0] out[0] their[0] services[0] and[0] their[0] boat[0] for[0] any[0] activity[0] [[Sentence=-1,2=word max, 1-5]] no[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
questions asked . 	questions asked .	1	-1	 questions[0] asked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time , however , they may have gone too far . 	this time , however , they may have gone too far .	1	-1	 this[0] time[0] however[0] they[0] may[0] have[0] gone[0] too[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their passengers , led by the ominous wes studi , are the type of multi-national terrorist squads usually only seen in die hard films . 	their passengers , led by the ominous wes studi , are the type of multi-national terrorist squads usually only seen in die hard films .	1	-3	 their[0] passengers[0] led[0] by[0] the[0] ominous[-2] wes[0] studi[0] are[0] the[0] type[0] of[0] multi[0] national[0] terrorist[-2] squads[0] usually[0] only[0] seen[0] in[0] die[0] hard[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and their cargo . . . let's 	and their cargo .<br> .<br> .<br> let's	1	-1	 and[0] their[0] cargo[0] [[Sentence=-1,1=word max, 1-5]] let's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just say it has very high explosive potential . 	just say it has very high explosive potential .	1	-2	 just[0] say[0] it[0] has[0] very[0] high[0] explosive[-1] potential[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what is the target of these thieves ? 	what is the target of these thieves ?	1	-2	 what[0] is[0] the[0] target[0] of[0] these[0] thieves[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why , the argonauticus , of course , a high tech luxury cruise yacht on its maiden voyage . 	why , the argonauticus , of course , a high tech luxury cruise yacht on its maiden voyage .	1	-1	 why[0] the[0] argonauticus[0] of[0] course[0] a[0] high[0] tech[0] luxury[0] cruise[0] yacht[0] on[0] its[0] maiden[0] voyage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but something else is hunting the argonauticus . . . something 	but something else is hunting the argonauticus .<br> .<br> .<br> something	1	-1	 but[0] something[0] else[0] is[0] hunting[0] the[0] argonauticus[0] [[Sentence=-1,1=word max, 1-5]] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ancient and deadly . 	ancient and deadly .	1	-2	 ancient[0] and[0] deadly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the time the thieves arrive , nearly everyone on board the ship has been killed . 	by the time the thieves arrive , nearly everyone on board the ship has been killed .	1	-4	 by[0] the[0] time[0] the[0] thieves[-1] arrive[0] nearly[0] everyone[0] on[0] board[0] the[0] ship[0] has[0] been[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and now the creature senses fresh meat ! 	and now the creature senses fresh meat !	1	-1	 and[0] now[0] the[0] creature[0] senses[0] fresh[0] meat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , you have the thieves and their mercenary boat crew , joining forces with the surviving passengers ( including the ship owner canton ( anthony heald ) , and a thief with less lofty goals , trillian ( famke janssen ) ) against the terror from the deep . 	so , you have the thieves and their mercenary boat crew , joining forces with the surviving passengers ( including the ship owner canton ( anthony heald ) , and a thief with less lofty goals , trillian ( famke janssen ) ) against the terror from the deep .	1	-2	 so[0] you[0] have[0] the[0] thieves[-1] and[0] their[0] mercenary[0] boat[0] crew[0] joining[0] forces[0] with[0] the[0] surviving[0] passengers[0] including[0] the[0] ship[0] owner[0] canton[0] anthony[0] heald[0] and[0] a[0] thief[-1] with[0] less[0] lofty[0] goals[0] trillian[0] famke[0] janssen[0] against[-1] the[0] terror[-1] from[0] the[0] deep[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the monster gets to pick them off one by one . 	and the monster gets to pick them off one by one .	1	-2	 and[0] the[0] monster[-1] gets[0] to[0] pick[0] them[0] off[0] one[0] by[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fortunately for the creature , this particular band of criminals happens to be the dumbest the world can offer . 	fortunately for the creature , this particular band of criminals happens to be the dumbest the world can offer .	1	-2	 fortunately[0] for[0] the[0] creature[0] this[0] particular[0] band[0] of[0] criminals[-1] happens[0] to[0] be[0] the[0] dumbest[-1] the[0] world[0] can[0] offer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
