in the series of the erotic thrillers that flooded the videoshelves in the early 1990s came this french-canadian co-production by max fischer . 	Translation	Positive	Negative	EmotionRationale
the movie is set in paris where its hero , struggling american author david mirkine ( judd nelson , at the time specialised in playing losers and people at the edge of sanity ) suffers a terrible writers bloc . 	the movie is set in paris where its hero , struggling american author david mirkine ( judd nelson , at the time specialised in playing losers and people at the edge of sanity ) suffers a terrible writers bloc .	3	-4	 the[0] movie[0] is[0] set[0] in[0] paris[0] where[0] its[0] hero[2] struggling[-1] american[0] author[0] david[0] mirkine[0] judd[0] nelson[0] at[0] the[0] time[0] specialised[1] in[0] playing[1] losers[-2] and[0] people[0] at[0] the[0] edge[0] of[0] sanity[0] suffers[-3] a[0] terrible[-3] writers[0] bloc[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he manages to overcome crisis after beginning romantic relationship with beautiful model anabelle ( laurence treill ) . 	he manages to overcome crisis after beginning romantic relationship with beautiful model anabelle ( laurence treill ) .	4	-3	 he[0] manages[0] to[0] overcome[0] crisis[-2] after[0] beginning[0] romantic[3] relationship[0] with[0] beautiful[2] model[0] anabelle[0] laurence[0] treill[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
unfortunately , she hangs out in jet set circles , which gradually makes mirkine pathologically jealous . 	unfortunately , she hangs out in jet set circles , which gradually makes mirkine pathologically jealous .	1	-3	 unfortunately[-1] she[0] hangs[0] out[0] in[0] jet[0] set[0] circles[0] which[0] gradually[0] makes[0] mirkine[0] pathologically[0] jealous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her connection with powerful david caravan ( pierce brosnan ) would make mirkine step the line between reason and sanity and put in motion whole series of violent and tragic events . 	her connection with powerful david caravan ( pierce brosnan ) would make mirkine step the line between reason and sanity and put in motion whole series of violent and tragic events .	1	-3	 her[0] connection[0] with[0] powerful[0] david[0] caravan[0] pierce[0] brosnan[0] would[0] make[0] mirkine[0] step[0] the[0] line[0] between[0] reason[0] and[0] sanity[0] and[0] put[0] in[0] motion[0] whole[0] series[0] of[0] violent[-2] and[0] tragic[-2] events[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although few pseudoerotic scenes and some elements of the plot do indeed make this film an erotic thriller , drama would probably be more appropriate genre label . 	although few pseudoerotic scenes and some elements of the plot do indeed make this film an erotic thriller , drama would probably be more appropriate genre label .	2	-1	 although[0] few[0] pseudoerotic[0] scenes[0] and[0] some[0] elements[0] of[0] the[0] plot[0] do[0] indeed[0] make[0] this[0] film[0] an[0] erotic[0] thriller[1] drama[0] would[0] probably[0] be[0] more[0] appropriate[0] genre[0] label[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pacing of the film is simply too slow to thrill the viewers , and those patient enough to sit through its entirety have to wait a long time between any interesting or significant developments . 	pacing of the film is simply too slow to thrill the viewers , and those patient enough to sit through its entirety have to wait a long time between any interesting or significant developments .	4	-1	 pacing[0] of[0] the[0] film[0] is[0] simply[0] too[0] slow[0] to[0] thrill[3] the[0] viewers[0] and[0] those[0] patient[0] enough[0] to[0] sit[0] through[0] its[0] entirety[0] have[0] to[0] wait[0] a[0] long[0] time[0] between[0] any[0] interesting[1] or[0] significant[0] developments[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
low budget also becomes painfully visible , and physical attributes of laurence treill are the only thing worth watching in this film . 	low budget also becomes painfully visible , and physical attributes of laurence treill are the only thing worth watching in this film .	1	-4	 low[-1] budget[0] also[0] becomes[0] painfully[-3] visible[0] and[0] physical[0] attributes[0] of[0] laurence[0] treill[0] are[0] the[0] only[0] thing[0] worth[0] watching[0] in[0] this[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately , this film has too little of those supposedly erotic scenes , so those who wanted to watch erotic thriller have all the reasons to feel disappointed . 	unfortunately , this film has too little of those supposedly erotic scenes , so those who wanted to watch erotic thriller have all the reasons to feel disappointed .	2	-2	 unfortunately[-1] this[0] film[0] has[0] too[0] little[0] of[0] those[0] supposedly[0] erotic[0] scenes[0] so[0] those[0] who[0] wanted[0] to[0] watch[0] erotic[0] thriller[1] have[0] all[0] the[0] reasons[0] to[0] feel[0] disappointed[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead , they would have to settle with pointless , slow scenes involving nelson , brosnan and laurence treill's attempts of serious acting . 	instead , they would have to settle with pointless , slow scenes involving nelson , brosnan and laurence treill's attempts of serious acting .	1	-2	 instead[0] they[0] would[0] have[0] to[0] settle[0] with[0] pointless[-1] slow[0] scenes[0] involving[0] nelson[0] brosnan[0] and[0] laurence[0] treill's[0] attempts[0] of[0] serious[-1] acting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of those definitely not worth spending hour and half of someone's precious time . 	all of those definitely not worth spending hour and half of someone's precious time .	3	-1	 all[0] of[0] those[0] definitely[0] not[0] worth[0] spending[0] hour[0] and[0] half[0] of[0] someone's[0] precious[2] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
