jet li busted onto the american action movie scene , when he stole the show in 1998's lethal weapon 4 , with his wicked looks , his nasty moves and his undeniable charisma . 	Translation	Positive	Negative	EmotionRationale
it only took another two years for mega-producer joel silver to set him up in an all-american movie , primed to take over some of the empty action-hero seats left by alleged coke-head van damme and that pudgy guy named steven seagal . 	it only took another two years for mega-producer joel silver to set him up in an all-american movie , primed to take over some of the empty action-hero seats left by alleged coke-head van dame and that pudgy guy named steven seagal .	3	-2	 it[0] only[0] took[0] another[0] two[0] years[0] for[0] mega[0] producer[0] joel[0] silver[0] to[0] set[0] him[0] up[0] in[0] an[0] all[0] american[0] movie[0] primed[0] to[0] take[0] over[0] some[0] of[0] the[0] empty[0] action[0] hero[2] seats[0] left[0] by[0] alleged[-1] coke[0] head[0] van[0] damme/dame[0] and[0] that[0] pudgy[0] guy[0] named[0] steven[0] seagal[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
would this film take li past his rival asian action counterparts , namely chow yun-fat and jackie chan ? 	would this film take li past his rival asian action counterparts , namely chow yun-fat and jackie chan ?	1	-2	 would[0] this[0] film[0] take[0] li[0] past[0] his[0] rival[-1] asian[0] action[0] counterparts[0] namely[0] chow[0] yun[0] fat[-1] and[0] jackie[0] chan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let's find out . 	let's find out .	1	-1	 let's[0] find[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plot : rival chinese and black gangster organizations fall further out of favor from one another , when members of their respective families start turning up dead . 	plot : rival chinese and black gangster organizations fall further out of favor from one another , when members of their respective families start turning up dead .	3	-3	 plot[0] rival[-1] chinese[0] and[0] black[0] gangster[0] organizations[0] fall[0] further[0] out[0] of[0] favor[1] from[0] one[0] another[0] when[0] members[0] of[0] their[0] respective[2] families[0] start[0] turning[0] up[0] dead[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that's when badass jet li blasts into the picture to find out who the men were behind his brother's death and to exact some of his own style of revenge . 	that's when badass jet li blasts into the picture to find out who the men were behind his brother's death and to exact some of his own style of revenge .	1	-3	 that's[0] when[0] badass[0] jet[0] li[0] blasts[0] into[0] the[0] picture[0] to[0] find[0] out[0] who[0] the[0] men[0] were[0] behind[0] his[0] brother's[0] death[-2] and[0] to[0] exact[0] some[0] of[0] his[0] own[0] style[0] of[0] revenge[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
critique : three words : not enough action ! 	critique : three words : not enough action !	1	-1	 critique[0] three[0] words[0] not[0] enough[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simple enough ? 	simple enough ?	1	-1	 simple[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not enough hong kong kickass jet li action to compensate for a horribly predictable screenplay , bad actors , crappy dialogue and oh-so many over-the-top melodramatic moments . 	not enough hong kong kickass jet li action to compensate for a horribly predictable screenplay , bad actors , crappy dialogue and oh-so many over-the-top melodramatic moments .	1	-4	 not[0] enough[0] hong[0] kong[0] kickass[-1] jet[0] li[0] action[0] to[0] compensate[0] for[0] a[0] horribly[-3] predictable[0] screenplay[0] bad[-1] actors[0] crappy[-2] dialogue[0] and[0] oh[0] so[0] many[0] over[0] the[0] top[0] melodramatic[-1] moments[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and a romance angle ? 	and a romance angle ?	4	-1	 and[0] a[0] romance[3] angle[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
why , one must ask . . . why ? 	why , one must ask .<br> .<br> .<br> why ?	1	-1	 why[0] one[0] must[0] ask[0] [[Sentence=-1,1=word max, 1-5]] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i love fight scenes and i really dig jet li too , but this little ditty barely contained three memorable action sequences , and jet , well , the poor dude was barely in the movie . 	i love fight scenes and i really dig jet li too , but this little ditty barely contained three memorable action sequences , and jet , well , the poor dude was barely in the movie .	3	-3	 i[0] love[2] fight[-2] scenes[0] and[0] i[0] really[0] dig[0] jet[0] li[0] too[0] but[0] this[0] little[0] ditty[0] barely[0] contained[0] three[0] memorable[0] action[0] sequences[0] and[0] jet[0] well[0] the[0] poor[-1] dude[0] was[0] barely[0] in[0] the[0] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and i thought this was supposed to be his big break ? 	and i thought this was supposed to be his big break ?	1	-1	 and[0] i[0] thought[0] this[0] was[0] supposed[0] to[0] be[0] his[0] big[0] break[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
